2023-08-21 08:21:50 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fd8401c2070>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-21 08:24:01 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fd8401132b0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-21 08:26:12 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fd840113640>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-21 08:30:42 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fd8401131c0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-21 08:32:53 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fd840113b50>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-21 08:35:04 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fd840113eb0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-23 04:02:19 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7febc12a7850>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-23 04:04:30 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7febc6b2f3d0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-23 04:06:41 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7febc0222e80>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-23 04:11:03 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7febc00e3760>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-23 04:13:14 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7febc0103250>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-23 04:15:33 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7febc00b7880>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-23 09:07:15 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f30ac492e80>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-23 09:09:30 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f30ac50b7c0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-23 09:11:41 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f30ac50b280>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-23 09:16:03 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f30ac50b850>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-23 09:18:15 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f30ac50b700>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
2023-08-23 09:20:26 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f30ac6030a0>: Failed to establish a new connection: [Errno 110] Connection timed out')': /api/4504800232407040/envelope/
