step 0: train loss 10.9873, val loss 10.9915
iter 0: loss 10.9988, time 15852.46ms, mfu -100.00%
iter 10: loss 10.4260, time 644.64ms, mfu 4.35%
iter 20: loss 9.8049, time 646.41ms, mfu 4.35%
iter 30: loss 9.5427, time 646.46ms, mfu 4.35%
iter 40: loss 9.3168, time 647.16ms, mfu 4.35%
iter 50: loss 8.9138, time 648.61ms, mfu 4.35%
iter 60: loss 8.9027, time 649.54ms, mfu 4.34%
iter 70: loss 8.7057, time 650.01ms, mfu 4.34%
iter 80: loss 8.6727, time 652.96ms, mfu 4.34%
iter 90: loss 8.0917, time 652.00ms, mfu 4.33%
iter 100: loss 8.0533, time 651.81ms, mfu 4.33%
iter 110: loss 8.2632, time 652.76ms, mfu 4.33%
iter 120: loss 7.6981, time 652.46ms, mfu 4.32%
iter 130: loss 7.6562, time 652.39ms, mfu 4.32%
iter 140: loss 7.2828, time 652.78ms, mfu 4.32%
iter 150: loss 7.1297, time 652.72ms, mfu 4.32%
iter 160: loss 7.0252, time 653.65ms, mfu 4.31%
iter 170: loss 6.8960, time 654.17ms, mfu 4.31%
iter 180: loss 7.0338, time 653.98ms, mfu 4.31%
iter 190: loss 6.8135, time 654.62ms, mfu 4.31%
iter 200: loss 6.6568, time 655.36ms, mfu 4.30%
iter 210: loss 6.8436, time 655.86ms, mfu 4.30%
iter 220: loss 6.9855, time 655.08ms, mfu 4.30%
iter 230: loss 6.9186, time 656.29ms, mfu 4.30%
iter 240: loss 5.9461, time 656.49ms, mfu 4.30%
iter 250: loss 6.1201, time 655.31ms, mfu 4.29%
iter 260: loss 6.3174, time 656.32ms, mfu 4.29%
iter 270: loss 6.8131, time 656.83ms, mfu 4.29%
iter 280: loss 6.2253, time 656.94ms, mfu 4.29%
iter 290: loss 6.3607, time 656.13ms, mfu 4.29%
iter 300: loss 6.2672, time 656.44ms, mfu 4.29%
iter 310: loss 5.6913, time 656.20ms, mfu 4.28%
iter 320: loss 6.3016, time 656.36ms, mfu 4.28%
iter 330: loss 6.4977, time 656.23ms, mfu 4.28%
iter 340: loss 6.6306, time 656.99ms, mfu 4.28%
iter 350: loss 6.1190, time 656.45ms, mfu 4.28%
iter 360: loss 6.2969, time 656.18ms, mfu 4.28%
iter 370: loss 6.2473, time 656.94ms, mfu 4.28%
iter 380: loss 6.1510, time 656.78ms, mfu 4.28%
iter 390: loss 7.4862, time 656.65ms, mfu 4.28%
iter 400: loss 6.1952, time 656.67ms, mfu 4.28%
iter 410: loss 6.2783, time 656.51ms, mfu 4.28%
iter 420: loss 6.8340, time 657.45ms, mfu 4.28%
iter 430: loss 6.6674, time 656.77ms, mfu 4.28%
iter 440: loss 6.4376, time 656.48ms, mfu 4.28%
iter 450: loss 5.9407, time 656.51ms, mfu 4.27%
iter 460: loss 5.7286, time 656.83ms, mfu 4.27%
iter 470: loss 6.9420, time 656.88ms, mfu 4.27%
iter 480: loss 5.9228, time 656.86ms, mfu 4.27%
iter 490: loss 5.9383, time 657.00ms, mfu 4.27%
iter 500: loss 6.5159, time 656.88ms, mfu 4.27%
iter 510: loss 5.9040, time 656.54ms, mfu 4.27%
iter 520: loss 6.4167, time 656.88ms, mfu 4.27%
iter 530: loss 5.8631, time 656.56ms, mfu 4.27%
iter 540: loss 5.9944, time 657.14ms, mfu 4.27%
iter 550: loss 5.9026, time 657.85ms, mfu 4.27%
iter 560: loss 5.8865, time 657.80ms, mfu 4.27%
iter 570: loss 6.0098, time 657.16ms, mfu 4.27%
iter 580: loss 5.6259, time 657.15ms, mfu 4.27%
iter 590: loss 6.3201, time 656.33ms, mfu 4.27%
iter 600: loss 6.3230, time 657.09ms, mfu 4.27%
iter 610: loss 5.7727, time 656.19ms, mfu 4.27%
iter 620: loss 5.8948, time 656.10ms, mfu 4.27%
iter 630: loss 5.6932, time 656.85ms, mfu 4.27%
iter 640: loss 5.6125, time 657.71ms, mfu 4.27%
iter 650: loss 5.5320, time 658.13ms, mfu 4.27%
iter 660: loss 5.7543, time 657.79ms, mfu 4.27%
iter 670: loss 6.3950, time 656.71ms, mfu 4.27%
iter 680: loss 5.8873, time 655.81ms, mfu 4.27%
iter 690: loss 5.1654, time 656.58ms, mfu 4.27%
iter 700: loss 5.8124, time 656.11ms, mfu 4.27%
iter 710: loss 5.7710, time 656.43ms, mfu 4.27%
iter 720: loss 5.7792, time 656.22ms, mfu 4.27%
iter 730: loss 5.9202, time 657.43ms, mfu 4.27%
iter 740: loss 5.5893, time 656.72ms, mfu 4.27%
iter 750: loss 5.9595, time 657.22ms, mfu 4.27%
iter 760: loss 5.7863, time 656.66ms, mfu 4.27%
iter 770: loss 5.6958, time 655.47ms, mfu 4.27%
iter 780: loss 6.2344, time 655.76ms, mfu 4.27%
iter 790: loss 5.4400, time 656.46ms, mfu 4.27%
iter 800: loss 5.7704, time 656.86ms, mfu 4.27%
iter 810: loss 5.5401, time 656.45ms, mfu 4.27%
iter 820: loss 5.8577, time 656.65ms, mfu 4.27%
iter 830: loss 5.6336, time 656.69ms, mfu 4.27%
iter 840: loss 5.1467, time 656.35ms, mfu 4.27%
iter 850: loss 5.5317, time 657.07ms, mfu 4.27%
iter 860: loss 6.2149, time 657.38ms, mfu 4.27%
iter 870: loss 6.1911, time 657.29ms, mfu 4.27%
iter 880: loss 5.7104, time 656.40ms, mfu 4.27%
iter 890: loss 5.3840, time 657.21ms, mfu 4.27%
iter 900: loss 5.9975, time 656.38ms, mfu 4.27%
iter 910: loss 5.5172, time 656.35ms, mfu 4.27%
iter 920: loss 5.2823, time 656.58ms, mfu 4.27%
iter 930: loss 5.9088, time 656.55ms, mfu 4.27%
iter 940: loss 5.3352, time 653.82ms, mfu 4.27%
iter 950: loss 5.5304, time 656.04ms, mfu 4.27%
iter 960: loss 5.4069, time 656.10ms, mfu 4.27%
iter 970: loss 5.6342, time 656.62ms, mfu 4.27%
iter 980: loss 5.2302, time 656.90ms, mfu 4.27%
iter 990: loss 5.0795, time 657.26ms, mfu 4.27%
step 1000: train loss 5.2953, val loss 5.3199
saving checkpoint to out
iter 1000: loss 5.1989, time 20928.14ms, mfu 3.86%
iter 1010: loss 5.1308, time 653.64ms, mfu 3.90%
iter 1020: loss 5.5616, time 653.73ms, mfu 3.94%
iter 1030: loss 5.6396, time 656.95ms, mfu 3.97%
iter 1040: loss 4.4602, time 653.51ms, mfu 4.01%
iter 1050: loss 5.0080, time 654.34ms, mfu 4.03%
iter 1060: loss 4.6019, time 655.79ms, mfu 4.06%
iter 1070: loss 5.3850, time 656.24ms, mfu 4.08%
iter 1080: loss 5.4833, time 655.81ms, mfu 4.10%
iter 1090: loss 5.4020, time 656.38ms, mfu 4.12%
iter 1100: loss 5.1443, time 656.03ms, mfu 4.13%
iter 1110: loss 5.1998, time 655.66ms, mfu 4.15%
iter 1120: loss 4.9464, time 655.56ms, mfu 4.16%
iter 1130: loss 5.2466, time 656.18ms, mfu 4.17%
iter 1140: loss 5.2769, time 656.17ms, mfu 4.18%
iter 1150: loss 5.4495, time 656.32ms, mfu 4.19%
iter 1160: loss 5.1352, time 656.99ms, mfu 4.20%
iter 1170: loss 5.2594, time 656.10ms, mfu 4.21%
iter 1180: loss 5.0700, time 656.43ms, mfu 4.21%
iter 1190: loss 5.2837, time 656.93ms, mfu 4.22%
iter 1200: loss 5.7951, time 655.90ms, mfu 4.23%
iter 1210: loss 5.1983, time 656.66ms, mfu 4.23%
iter 1220: loss 5.3521, time 656.76ms, mfu 4.23%
iter 1230: loss 5.3978, time 655.95ms, mfu 4.24%
iter 1240: loss 4.7575, time 656.85ms, mfu 4.24%
iter 1250: loss 5.3189, time 657.58ms, mfu 4.24%
iter 1260: loss 5.2960, time 656.93ms, mfu 4.25%
iter 1270: loss 5.1267, time 656.35ms, mfu 4.25%
iter 1280: loss 5.2863, time 657.05ms, mfu 4.25%
iter 1290: loss 4.6760, time 657.05ms, mfu 4.25%
iter 1300: loss 4.9969, time 657.36ms, mfu 4.25%
iter 1310: loss 4.9668, time 656.35ms, mfu 4.26%
iter 1320: loss 5.1669, time 657.16ms, mfu 4.26%
iter 1330: loss 4.7393, time 656.57ms, mfu 4.26%
iter 1340: loss 5.0696, time 658.05ms, mfu 4.26%
iter 1350: loss 4.8378, time 656.52ms, mfu 4.26%
iter 1360: loss 4.8415, time 656.86ms, mfu 4.26%
iter 1370: loss 4.4793, time 656.57ms, mfu 4.26%
iter 1380: loss 5.0263, time 657.51ms, mfu 4.26%
iter 1390: loss 4.9023, time 656.84ms, mfu 4.26%
iter 1400: loss 4.5558, time 656.74ms, mfu 4.27%
iter 1410: loss 4.5042, time 656.04ms, mfu 4.27%
iter 1420: loss 5.1218, time 656.20ms, mfu 4.27%
iter 1430: loss 5.1927, time 656.22ms, mfu 4.27%
iter 1440: loss 4.7458, time 656.48ms, mfu 4.27%
iter 1450: loss 4.9866, time 656.96ms, mfu 4.27%
iter 1460: loss 4.8772, time 656.73ms, mfu 4.27%
iter 1470: loss 4.7563, time 656.29ms, mfu 4.27%
iter 1480: loss 4.2726, time 657.35ms, mfu 4.27%
iter 1490: loss 5.5888, time 656.50ms, mfu 4.27%
iter 1500: loss 4.9837, time 656.68ms, mfu 4.27%
iter 1510: loss 5.5440, time 656.82ms, mfu 4.27%
iter 1520: loss 4.7160, time 656.76ms, mfu 4.27%
iter 1530: loss 4.8142, time 656.85ms, mfu 4.27%
iter 1540: loss 5.2326, time 656.03ms, mfu 4.27%
iter 1550: loss 4.3259, time 656.72ms, mfu 4.27%
iter 1560: loss 5.0697, time 656.49ms, mfu 4.27%
iter 1570: loss 4.7043, time 656.36ms, mfu 4.27%
iter 1580: loss 4.5927, time 656.41ms, mfu 4.27%
iter 1590: loss 4.8213, time 656.88ms, mfu 4.27%
iter 1600: loss 4.6023, time 656.65ms, mfu 4.27%
iter 1610: loss 4.8738, time 656.48ms, mfu 4.27%
iter 1620: loss 4.7365, time 656.93ms, mfu 4.27%
iter 1630: loss 4.6495, time 656.34ms, mfu 4.27%
iter 1640: loss 4.9469, time 656.72ms, mfu 4.27%
iter 1650: loss 4.6872, time 656.85ms, mfu 4.27%
iter 1660: loss 4.8579, time 656.82ms, mfu 4.27%
iter 1670: loss 4.4499, time 657.49ms, mfu 4.27%
iter 1680: loss 4.5526, time 656.94ms, mfu 4.27%
iter 1690: loss 4.9963, time 656.51ms, mfu 4.27%
iter 1700: loss 4.9349, time 655.88ms, mfu 4.27%
iter 1710: loss 4.5001, time 656.73ms, mfu 4.27%
iter 1720: loss 4.5518, time 656.26ms, mfu 4.27%
iter 1730: loss 4.3069, time 656.07ms, mfu 4.27%
iter 1740: loss 4.4103, time 656.37ms, mfu 4.27%
iter 1750: loss 4.5118, time 656.28ms, mfu 4.27%
iter 1760: loss 4.7370, time 656.83ms, mfu 4.27%
iter 1770: loss 4.5806, time 656.96ms, mfu 4.27%
iter 1780: loss 4.6473, time 656.21ms, mfu 4.27%
iter 1790: loss 4.4579, time 657.16ms, mfu 4.27%
iter 1800: loss 5.0192, time 657.36ms, mfu 4.27%
iter 1810: loss 5.1022, time 656.94ms, mfu 4.27%
iter 1820: loss 4.8021, time 655.75ms, mfu 4.27%
iter 1830: loss 4.7603, time 657.37ms, mfu 4.27%
iter 1840: loss 4.6800, time 656.25ms, mfu 4.27%
iter 1850: loss 4.7339, time 656.59ms, mfu 4.27%
iter 1860: loss 4.7549, time 656.13ms, mfu 4.27%
iter 1870: loss 4.7306, time 656.65ms, mfu 4.27%
iter 1880: loss 4.6069, time 656.93ms, mfu 4.27%
iter 1890: loss 4.7746, time 656.69ms, mfu 4.27%
iter 1900: loss 4.1294, time 657.00ms, mfu 4.27%
iter 1910: loss 4.1361, time 655.47ms, mfu 4.27%
iter 1920: loss 4.5221, time 657.31ms, mfu 4.27%
iter 1930: loss 4.5801, time 656.19ms, mfu 4.27%
iter 1940: loss 4.7569, time 656.56ms, mfu 4.27%
iter 1950: loss 4.4348, time 656.46ms, mfu 4.27%
iter 1960: loss 4.0767, time 656.18ms, mfu 4.27%
iter 1970: loss 4.6076, time 656.43ms, mfu 4.27%
iter 1980: loss 4.3621, time 656.34ms, mfu 4.27%
iter 1990: loss 4.8446, time 657.08ms, mfu 4.27%
step 2000: train loss 4.5116, val loss 4.5456
saving checkpoint to out
iter 2000: loss 4.5352, time 20123.44ms, mfu 3.86%
iter 2010: loss 4.5380, time 653.06ms, mfu 3.90%
iter 2020: loss 4.3370, time 653.08ms, mfu 3.94%
iter 2030: loss 4.9382, time 653.72ms, mfu 3.98%
iter 2040: loss 5.0951, time 653.35ms, mfu 4.01%
iter 2050: loss 4.5626, time 653.24ms, mfu 4.04%
iter 2060: loss 4.1338, time 655.45ms, mfu 4.06%
iter 2070: loss 4.4491, time 655.45ms, mfu 4.08%
iter 2080: loss 4.2099, time 655.28ms, mfu 4.10%
iter 2090: loss 4.6461, time 655.91ms, mfu 4.12%
iter 2100: loss 4.5107, time 655.85ms, mfu 4.14%
iter 2110: loss 4.5884, time 656.01ms, mfu 4.15%
iter 2120: loss 4.6752, time 656.18ms, mfu 4.16%
iter 2130: loss 4.0748, time 655.87ms, mfu 4.17%
iter 2140: loss 4.6834, time 655.74ms, mfu 4.18%
iter 2150: loss 4.3903, time 655.28ms, mfu 4.19%
iter 2160: loss 4.2143, time 656.25ms, mfu 4.20%
iter 2170: loss 4.5083, time 656.04ms, mfu 4.21%
iter 2180: loss 4.3683, time 656.31ms, mfu 4.22%
iter 2190: loss 4.8669, time 656.40ms, mfu 4.22%
iter 2200: loss 4.4680, time 655.92ms, mfu 4.23%
iter 2210: loss 4.4477, time 655.88ms, mfu 4.23%
iter 2220: loss 4.4493, time 656.12ms, mfu 4.24%
iter 2230: loss 4.3563, time 655.76ms, mfu 4.24%
iter 2240: loss 4.5123, time 655.97ms, mfu 4.24%
iter 2250: loss 4.4455, time 656.18ms, mfu 4.25%
iter 2260: loss 4.5071, time 656.25ms, mfu 4.25%
iter 2270: loss 4.5965, time 656.49ms, mfu 4.25%
iter 2280: loss 4.5114, time 656.04ms, mfu 4.26%
iter 2290: loss 4.3614, time 656.19ms, mfu 4.26%
iter 2300: loss 4.3555, time 656.02ms, mfu 4.26%
iter 2310: loss 4.7175, time 655.82ms, mfu 4.26%
iter 2320: loss 4.3339, time 655.07ms, mfu 4.26%
iter 2330: loss 4.5051, time 655.72ms, mfu 4.26%
iter 2340: loss 4.4632, time 656.18ms, mfu 4.27%
iter 2350: loss 4.0942, time 655.94ms, mfu 4.27%
iter 2360: loss 4.2291, time 655.95ms, mfu 4.27%
iter 2370: loss 4.2530, time 656.33ms, mfu 4.27%
iter 2380: loss 4.5552, time 656.06ms, mfu 4.27%
iter 2390: loss 4.1179, time 657.00ms, mfu 4.27%
iter 2400: loss 4.1550, time 656.92ms, mfu 4.27%
iter 2410: loss 4.9676, time 656.68ms, mfu 4.27%
iter 2420: loss 4.2843, time 655.99ms, mfu 4.27%
iter 2430: loss 4.3937, time 656.22ms, mfu 4.27%
iter 2440: loss 4.5953, time 656.53ms, mfu 4.27%
iter 2450: loss 4.1916, time 655.84ms, mfu 4.27%
iter 2460: loss 4.5548, time 656.14ms, mfu 4.27%
iter 2470: loss 4.4344, time 656.40ms, mfu 4.27%
iter 2480: loss 5.1598, time 655.77ms, mfu 4.27%
iter 2490: loss 4.0007, time 656.86ms, mfu 4.27%
iter 2500: loss 4.5097, time 656.47ms, mfu 4.27%
iter 2510: loss 4.1168, time 655.96ms, mfu 4.27%
iter 2520: loss 4.2111, time 656.25ms, mfu 4.27%
iter 2530: loss 4.4824, time 656.99ms, mfu 4.27%
iter 2540: loss 4.6631, time 656.22ms, mfu 4.27%
iter 2550: loss 4.2580, time 654.94ms, mfu 4.27%
iter 2560: loss 4.5502, time 656.11ms, mfu 4.27%
iter 2570: loss 4.1685, time 655.96ms, mfu 4.27%
iter 2580: loss 3.8800, time 656.01ms, mfu 4.27%
iter 2590: loss 4.2805, time 656.26ms, mfu 4.27%
iter 2600: loss 4.9130, time 657.73ms, mfu 4.27%
iter 2610: loss 4.1423, time 656.67ms, mfu 4.27%
iter 2620: loss 4.0770, time 655.92ms, mfu 4.27%
iter 2630: loss 4.3819, time 655.96ms, mfu 4.27%
iter 2640: loss 4.1138, time 655.83ms, mfu 4.27%
iter 2650: loss 4.1709, time 656.09ms, mfu 4.27%
iter 2660: loss 4.1882, time 656.55ms, mfu 4.27%
