step 0: train loss 10.9873, val loss 10.9915
iter 0: loss 10.9988, time 17059.42ms, mfu -100.00%
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
iter 10: loss 10.9383, time 648.10ms, mfu 4.33%
iter 20: loss 10.9687, time 649.95ms, mfu 4.33%
iter 30: loss 10.9609, time 653.10ms, mfu 4.32%
iter 40: loss 11.0175, time 648.56ms, mfu 4.32%
iter 50: loss 10.9271, time 669.03ms, mfu 4.31%
iter 60: loss 10.9581, time 1208.22ms, mfu 4.11%
iter 70: loss 10.9767, time 1205.97ms, mfu 3.93%
iter 80: loss 10.9362, time 1206.84ms, mfu 3.77%
iter 90: loss 10.8983, time 1213.23ms, mfu 3.63%
iter 100: loss 10.9167, time 1200.56ms, mfu 3.50%
iter 110: loss 10.9054, time 1208.26ms, mfu 3.38%
iter 120: loss 10.8425, time 1207.60ms, mfu 3.27%
iter 130: loss 10.8177, time 1208.96ms, mfu 3.18%
iter 140: loss 10.8427, time 1212.61ms, mfu 3.09%
iter 150: loss 10.7735, time 1205.43ms, mfu 3.02%
iter 160: loss 10.7793, time 1207.33ms, mfu 2.95%
iter 170: loss 10.7241, time 1213.56ms, mfu 2.88%
iter 180: loss 10.7255, time 1212.04ms, mfu 2.83%
iter 190: loss 10.6967, time 1213.13ms, mfu 2.78%
iter 200: loss 10.6032, time 1208.76ms, mfu 2.73%
iter 210: loss 10.6249, time 1210.18ms, mfu 2.69%
iter 220: loss 10.5839, time 1210.39ms, mfu 2.65%
iter 230: loss 10.6033, time 1209.06ms, mfu 2.62%
iter 240: loss 10.4434, time 1212.18ms, mfu 2.59%
iter 250: loss 10.4556, time 1209.32ms, mfu 2.56%
iter 260: loss 10.4917, time 1216.72ms, mfu 2.54%
iter 270: loss 10.5064, time 1213.39ms, mfu 2.51%
iter 280: loss 10.4196, time 1209.51ms, mfu 2.49%
iter 290: loss 10.3200, time 1196.17ms, mfu 2.48%
iter 300: loss 10.3196, time 1205.22ms, mfu 2.46%
iter 310: loss 10.2570, time 653.58ms, mfu 2.65%
iter 320: loss 10.3594, time 652.38ms, mfu 2.81%
iter 330: loss 10.3601, time 650.88ms, mfu 2.96%
iter 340: loss 10.2693, time 651.98ms, mfu 3.10%
iter 350: loss 10.1480, time 666.94ms, mfu 3.21%
iter 360: loss 10.1686, time 653.26ms, mfu 3.32%
iter 370: loss 10.2327, time 651.62ms, mfu 3.41%
iter 380: loss 10.0938, time 650.99ms, mfu 3.50%
iter 390: loss 10.3647, time 654.02ms, mfu 3.58%
iter 400: loss 9.9766, time 651.97ms, mfu 3.65%
iter 410: loss 10.0075, time 673.99ms, mfu 3.71%
iter 420: loss 10.1643, time 654.45ms, mfu 3.76%
iter 430: loss 10.0842, time 654.63ms, mfu 3.82%
iter 440: loss 9.9612, time 654.78ms, mfu 3.86%
iter 450: loss 9.9051, time 655.27ms, mfu 3.90%
iter 460: loss 9.7534, time 653.98ms, mfu 3.94%
iter 470: loss 10.0837, time 655.28ms, mfu 3.98%
iter 480: loss 9.8836, time 706.87ms, mfu 3.98%
iter 490: loss 9.7236, time 654.14ms, mfu 4.01%
step 500: train loss 9.8061, val loss 9.8088
saving checkpoint to out
iter 500: loss 9.7371, time 17584.06ms, mfu 3.62%
iter 510: loss 9.6910, time 649.98ms, mfu 3.69%
iter 520: loss 9.6950, time 652.84ms, mfu 3.75%
iter 530: loss 9.8415, time 653.94ms, mfu 3.81%
iter 540: loss 9.7591, time 650.97ms, mfu 3.86%
iter 550: loss 9.5987, time 653.40ms, mfu 3.90%
iter 560: loss 9.7654, time 652.76ms, mfu 3.94%
iter 570: loss 9.6740, time 650.82ms, mfu 3.98%
iter 580: loss 9.6010, time 654.34ms, mfu 4.01%
iter 590: loss 9.6504, time 652.59ms, mfu 4.04%
iter 600: loss 9.6139, time 653.33ms, mfu 4.06%
iter 610: loss 9.8069, time 650.90ms, mfu 4.09%
iter 620: loss 9.6718, time 655.60ms, mfu 4.11%
iter 630: loss 9.3958, time 655.97ms, mfu 4.12%
iter 640: loss 9.5451, time 655.03ms, mfu 4.14%
iter 650: loss 9.6730, time 655.14ms, mfu 4.15%
iter 660: loss 9.6071, time 654.36ms, mfu 4.17%
iter 670: loss 9.4843, time 748.10ms, mfu 4.13%
iter 680: loss 9.5949, time 655.74ms, mfu 4.14%
iter 690: loss 9.6912, time 1210.12ms, mfu 3.96%
iter 700: loss 9.4990, time 1210.84ms, mfu 3.79%
iter 710: loss 9.6198, time 1205.22ms, mfu 3.65%
iter 720: loss 9.7239, time 1212.82ms, mfu 3.51%
iter 730: loss 9.4290, time 1208.75ms, mfu 3.39%
iter 740: loss 9.3274, time 1215.28ms, mfu 3.29%
iter 750: loss 9.4791, time 1208.06ms, mfu 3.19%
iter 760: loss 9.5604, time 1211.85ms, mfu 3.10%
