step 0: train loss 10.9873, val loss 10.9915
iter 0: loss 10.9988, time 16277.46ms, mfu -100.00%
iter 10: loss 9.9504, time 642.02ms, mfu 4.37%
iter 20: loss 9.4620, time 642.93ms, mfu 4.37%
iter 30: loss 9.0348, time 644.18ms, mfu 4.37%
iter 40: loss 8.5466, time 646.94ms, mfu 4.36%
iter 50: loss 7.9129, time 646.40ms, mfu 4.36%
iter 60: loss 7.8531, time 647.12ms, mfu 4.36%
iter 70: loss 7.4644, time 649.00ms, mfu 4.36%
iter 80: loss 7.4767, time 650.28ms, mfu 4.35%
iter 90: loss 6.6899, time 649.33ms, mfu 4.35%
iter 100: loss 6.7590, time 651.39ms, mfu 4.34%
iter 110: loss 7.3763, time 649.64ms, mfu 4.34%
iter 120: loss 6.7803, time 651.29ms, mfu 4.34%
iter 130: loss 6.8252, time 652.82ms, mfu 4.33%
iter 140: loss 6.4076, time 651.99ms, mfu 4.33%
iter 150: loss 6.3692, time 651.15ms, mfu 4.33%
iter 160: loss 6.3685, time 652.71ms, mfu 4.33%
iter 170: loss 6.3217, time 652.61ms, mfu 4.32%
iter 180: loss 6.3403, time 652.11ms, mfu 4.32%
iter 190: loss 6.2791, time 653.65ms, mfu 4.32%
iter 200: loss 6.1709, time 652.93ms, mfu 4.32%
iter 210: loss 6.3298, time 654.07ms, mfu 4.31%
iter 220: loss 6.5392, time 652.95ms, mfu 4.31%
iter 230: loss 6.4220, time 653.16ms, mfu 4.31%
iter 240: loss 5.5900, time 653.98ms, mfu 4.31%
iter 250: loss 5.7282, time 652.87ms, mfu 4.31%
iter 260: loss 5.9652, time 653.98ms, mfu 4.31%
iter 270: loss 6.4764, time 655.11ms, mfu 4.30%
iter 280: loss 5.9266, time 653.51ms, mfu 4.30%
iter 290: loss 6.0069, time 653.01ms, mfu 4.30%
iter 300: loss 5.9181, time 653.48ms, mfu 4.30%
iter 310: loss 5.4162, time 653.79ms, mfu 4.30%
iter 320: loss 6.0741, time 655.11ms, mfu 4.30%
iter 330: loss 6.1616, time 654.54ms, mfu 4.30%
iter 340: loss 6.2643, time 652.68ms, mfu 4.30%
iter 350: loss 5.7533, time 654.38ms, mfu 4.30%
iter 360: loss 5.9067, time 654.03ms, mfu 4.30%
iter 370: loss 5.9924, time 654.39ms, mfu 4.29%
iter 380: loss 5.7732, time 652.92ms, mfu 4.29%
iter 390: loss 7.0948, time 654.66ms, mfu 4.29%
iter 400: loss 5.8194, time 654.69ms, mfu 4.29%
iter 410: loss 5.9380, time 654.08ms, mfu 4.29%
iter 420: loss 6.4103, time 654.32ms, mfu 4.29%
iter 430: loss 6.2263, time 655.27ms, mfu 4.29%
iter 440: loss 6.1703, time 655.59ms, mfu 4.29%
iter 450: loss 5.6346, time 655.55ms, mfu 4.29%
iter 460: loss 5.4312, time 655.46ms, mfu 4.29%
iter 470: loss 6.5676, time 656.11ms, mfu 4.29%
