step 0: train loss 10.9873, val loss 10.9915
iter 0: loss 10.9988, time 16987.84ms, mfu -100.00%
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
iter 10: loss 10.9276, time 647.59ms, mfu 4.33%
iter 20: loss 10.9198, time 651.45ms, mfu 4.33%
iter 30: loss 10.8473, time 650.54ms, mfu 4.33%
iter 40: loss 10.8050, time 653.48ms, mfu 4.32%
iter 50: loss 10.5874, time 651.73ms, mfu 4.32%
iter 60: loss 10.5202, time 651.91ms, mfu 4.32%
iter 70: loss 10.4518, time 650.36ms, mfu 4.32%
iter 80: loss 10.2926, time 655.64ms, mfu 4.32%
iter 90: loss 10.0678, time 656.26ms, mfu 4.31%
iter 100: loss 10.0983, time 654.34ms, mfu 4.31%
iter 110: loss 9.9377, time 651.76ms, mfu 4.31%
iter 120: loss 9.7634, time 653.71ms, mfu 4.31%
iter 130: loss 9.8093, time 653.22ms, mfu 4.31%
iter 140: loss 9.6619, time 655.83ms, mfu 4.30%
iter 150: loss 9.5202, time 651.49ms, mfu 4.30%
iter 160: loss 9.3841, time 653.67ms, mfu 4.30%
iter 170: loss 9.3935, time 651.45ms, mfu 4.30%
iter 180: loss 9.4615, time 650.44ms, mfu 4.30%
iter 190: loss 9.3684, time 653.72ms, mfu 4.30%
iter 200: loss 9.0398, time 651.02ms, mfu 4.30%
iter 210: loss 9.1948, time 655.61ms, mfu 4.30%
iter 220: loss 9.1548, time 651.26ms, mfu 4.30%
iter 230: loss 9.3062, time 651.51ms, mfu 4.30%
iter 240: loss 8.6421, time 654.91ms, mfu 4.30%
iter 250: loss 8.8230, time 653.75ms, mfu 4.30%
iter 260: loss 9.0018, time 653.05ms, mfu 4.30%
iter 270: loss 9.1747, time 655.05ms, mfu 4.30%
iter 280: loss 8.7417, time 655.76ms, mfu 4.30%
iter 290: loss 8.5641, time 655.32ms, mfu 4.29%
iter 300: loss 8.7787, time 653.89ms, mfu 4.29%
iter 310: loss 8.3536, time 655.26ms, mfu 4.29%
iter 320: loss 8.8304, time 655.49ms, mfu 4.29%
iter 330: loss 9.0700, time 654.69ms, mfu 4.29%
iter 340: loss 8.8665, time 655.77ms, mfu 4.29%
iter 350: loss 8.4633, time 657.56ms, mfu 4.29%
iter 360: loss 8.5845, time 655.42ms, mfu 4.29%
iter 370: loss 8.8564, time 653.38ms, mfu 4.29%
iter 380: loss 8.5160, time 652.77ms, mfu 4.29%
iter 390: loss 9.4454, time 653.65ms, mfu 4.29%
iter 400: loss 8.5469, time 655.60ms, mfu 4.29%
iter 410: loss 8.2529, time 700.43ms, mfu 4.26%
iter 420: loss 8.9774, time 656.67ms, mfu 4.26%
iter 430: loss 8.9207, time 655.28ms, mfu 4.26%
iter 440: loss 8.6145, time 656.40ms, mfu 4.26%
iter 450: loss 8.3577, time 652.27ms, mfu 4.27%
iter 460: loss 8.0084, time 654.03ms, mfu 4.27%
iter 470: loss 9.0467, time 653.28ms, mfu 4.27%
iter 480: loss 8.3362, time 679.25ms, mfu 4.26%
iter 490: loss 8.2404, time 655.03ms, mfu 4.26%
step 500: train loss 8.3045, val loss 8.3361
saving checkpoint to out
iter 500: loss 8.2002, time 17629.18ms, mfu 3.85%
