
step 0: train loss 10.9873, val loss 10.9915
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
iter 0: loss 10.9988, time 17722.15ms, mfu -100.00%
iter 10: loss 10.9384, time 646.73ms, mfu 4.34%
iter 20: loss 10.9692, time 650.56ms, mfu 4.34%
iter 30: loss 10.9622, time 649.09ms, mfu 4.33%
iter 40: loss 11.0198, time 652.41ms, mfu 4.33%
iter 50: loss 10.9311, time 649.32ms, mfu 4.33%
iter 60: loss 10.9632, time 650.74ms, mfu 4.33%
iter 70: loss 10.9831, time 650.31ms, mfu 4.33%
iter 80: loss 10.9447, time 652.11ms, mfu 4.32%
iter 90: loss 10.9105, time 650.44ms, mfu 4.32%
iter 100: loss 10.9300, time 651.81ms, mfu 4.32%
iter 110: loss 10.9223, time 653.19ms, mfu 4.32%
iter 120: loss 10.8640, time 653.08ms, mfu 4.32%
iter 130: loss 10.8390, time 650.90ms, mfu 4.32%
iter 140: loss 10.8704, time 652.27ms, mfu 4.31%
iter 150: loss 10.8047, time 655.00ms, mfu 4.31%
iter 160: loss 10.8164, time 654.06ms, mfu 4.31%
iter 170: loss 10.7639, time 654.13ms, mfu 4.31%
iter 180: loss 10.7649, time 657.14ms, mfu 4.30%
iter 190: loss 10.7413, time 654.43ms, mfu 4.30%
iter 200: loss 10.6616, time 653.07ms, mfu 4.30%
iter 210: loss 10.6823, time 655.05ms, mfu 4.30%
iter 220: loss 10.6456, time 677.61ms, mfu 4.28%
iter 230: loss 10.6594, time 658.35ms, mfu 4.28%
iter 240: loss 10.5202, time 655.68ms, mfu 4.28%
iter 250: loss 10.5266, time 655.25ms, mfu 4.28%
iter 260: loss 10.5581, time 655.26ms, mfu 4.28%
iter 270: loss 10.5695, time 655.03ms, mfu 4.28%
iter 280: loss 10.4988, time 655.41ms, mfu 4.28%
iter 290: loss 10.4076, time 678.64ms, mfu 4.27%
iter 300: loss 10.4035, time 657.19ms, mfu 4.27%
iter 310: loss 10.3542, time 655.10ms, mfu 4.27%
iter 320: loss 10.4405, time 655.71ms, mfu 4.27%
iter 330: loss 10.4331, time 656.57ms, mfu 4.27%
iter 340: loss 10.3568, time 654.92ms, mfu 4.27%
iter 350: loss 10.2461, time 688.07ms, mfu 4.25%
iter 360: loss 10.2630, time 655.37ms, mfu 4.25%
iter 370: loss 10.3184, time 656.96ms, mfu 4.26%
iter 380: loss 10.1935, time 657.77ms, mfu 4.26%
iter 390: loss 10.4241, time 657.28ms, mfu 4.26%
iter 400: loss 10.0842, time 654.99ms, mfu 4.26%
iter 410: loss 10.1074, time 697.70ms, mfu 4.24%
iter 420: loss 10.2464, time 657.95ms, mfu 4.24%
iter 430: loss 10.1676, time 658.16ms, mfu 4.24%
iter 440: loss 10.0596, time 657.04ms, mfu 4.24%
iter 450: loss 10.0042, time 656.52ms, mfu 4.25%
iter 460: loss 9.8691, time 653.70ms, mfu 4.25%
