step 0: train loss 10.9873, val loss 10.9915
iter 0: loss 10.9988, time 17652.60ms, mfu -100.00%
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
iter 10: loss 10.9389, time 759.54ms, mfu 3.69%
iter 20: loss 10.9716, time 760.19ms, mfu 3.69%
iter 30: loss 10.9676, time 759.70ms, mfu 3.69%
iter 40: loss 11.0301, time 758.14ms, mfu 3.69%
iter 50: loss 10.9486, time 755.90ms, mfu 3.70%
iter 60: loss 10.9865, time 757.35ms, mfu 3.70%
iter 70: loss 11.0124, time 755.08ms, mfu 3.70%
iter 80: loss 10.9835, time 752.50ms, mfu 3.70%
iter 90: loss 10.9657, time 747.87ms, mfu 3.71%
iter 100: loss 10.9897, time 748.48ms, mfu 3.71%
iter 110: loss 10.9985, time 748.81ms, mfu 3.71%
iter 120: loss 10.9633, time 749.73ms, mfu 3.72%
iter 130: loss 10.9371, time 746.57ms, mfu 3.72%
iter 140: loss 10.9975, time 746.79ms, mfu 3.72%
iter 150: loss 10.9507, time 745.01ms, mfu 3.73%
iter 160: loss 10.9897, time 742.87ms, mfu 3.73%
iter 170: loss 10.9523, time 745.08ms, mfu 3.74%
iter 180: loss 10.9557, time 745.17ms, mfu 3.74%
iter 190: loss 10.9595, time 741.43ms, mfu 3.74%
iter 200: loss 10.9549, time 739.73ms, mfu 3.75%
iter 210: loss 10.9688, time 740.65ms, mfu 3.75%
iter 220: loss 10.9616, time 741.49ms, mfu 3.76%
iter 230: loss 10.9520, time 739.24ms, mfu 3.76%
iter 240: loss 10.9308, time 737.49ms, mfu 3.76%
iter 250: loss 10.9129, time 740.25ms, mfu 3.77%
iter 260: loss 10.9220, time 736.22ms, mfu 3.77%
iter 270: loss 10.9194, time 738.92ms, mfu 3.77%
iter 280: loss 10.9400, time 733.10ms, mfu 3.78%
iter 290: loss 10.9138, time 739.03ms, mfu 3.78%
iter 300: loss 10.9050, time 736.90ms, mfu 3.78%
iter 310: loss 10.9125, time 733.88ms, mfu 3.79%
iter 320: loss 10.9255, time 735.44ms, mfu 3.79%
iter 330: loss 10.8830, time 733.56ms, mfu 3.79%
iter 340: loss 10.9083, time 733.89ms, mfu 3.80%
iter 350: loss 10.8811, time 734.11ms, mfu 3.80%
iter 360: loss 10.8849, time 735.49ms, mfu 3.80%
iter 370: loss 10.8872, time 734.40ms, mfu 3.80%
iter 380: loss 10.8861, time 731.83ms, mfu 3.81%
iter 390: loss 10.8888, time 732.68ms, mfu 3.81%
iter 400: loss 10.8663, time 732.77ms, mfu 3.81%
iter 410: loss 10.8698, time 745.72ms, mfu 3.81%
iter 420: loss 10.8851, time 731.84ms, mfu 3.81%
iter 430: loss 10.8355, time 730.94ms, mfu 3.81%
iter 440: loss 10.8507, time 726.28ms, mfu 3.82%
iter 450: loss 10.8498, time 729.17ms, mfu 3.82%
iter 460: loss 10.8331, time 728.59ms, mfu 3.82%
iter 470: loss 10.8518, time 727.70ms, mfu 3.83%
iter 480: loss 10.8305, time 739.82ms, mfu 3.82%
iter 490: loss 10.8468, time 731.45ms, mfu 3.82%
step 500: train loss 10.8151, val loss 10.8154
saving checkpoint to out
iter 500: loss 10.8322, time 17734.62ms, mfu 3.46%
iter 510: loss 10.8251, time 726.25ms, mfu 3.50%
iter 520: loss 10.7747, time 727.20ms, mfu 3.53%
iter 530: loss 10.7957, time 726.44ms, mfu 3.57%
iter 540: loss 10.7703, time 727.39ms, mfu 3.60%
iter 550: loss 10.7242, time 723.74ms, mfu 3.62%
iter 560: loss 10.7914, time 727.45ms, mfu 3.65%
iter 570: loss 10.7599, time 725.38ms, mfu 3.67%
iter 580: loss 10.7167, time 726.68ms, mfu 3.69%
iter 590: loss 10.7649, time 725.50ms, mfu 3.71%
iter 600: loss 10.7259, time 727.70ms, mfu 3.72%
iter 610: loss 10.7835, time 723.73ms, mfu 3.74%
iter 620: loss 10.7587, time 722.35ms, mfu 3.75%
iter 630: loss 10.6227, time 723.77ms, mfu 3.76%
iter 640: loss 10.7026, time 727.57ms, mfu 3.77%
iter 650: loss 10.7508, time 723.74ms, mfu 3.78%
iter 660: loss 10.6751, time 723.56ms, mfu 3.79%
iter 670: loss 10.6769, time 746.56ms, mfu 3.79%
iter 680: loss 10.6893, time 723.19ms, mfu 3.80%
iter 690: loss 10.7101, time 721.10ms, mfu 3.81%
iter 700: loss 10.6545, time 723.92ms, mfu 3.81%
iter 710: loss 10.7237, time 722.43ms, mfu 3.82%
iter 720: loss 10.6851, time 723.94ms, mfu 3.83%
iter 730: loss 10.6144, time 722.10ms, mfu 3.83%
iter 740: loss 10.5707, time 723.09ms, mfu 3.84%
iter 750: loss 10.6322, time 722.51ms, mfu 3.84%
