step 0: train loss 10.9873, val loss 10.9915
iter 0: loss 10.9988, time 16626.25ms, mfu -100.00%
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
iter 10: loss 10.8825, time 647.25ms, mfu 4.33%
iter 20: loss 10.7209, time 651.96ms, mfu 4.33%
iter 30: loss 10.4421, time 652.17ms, mfu 4.33%
iter 40: loss 10.1644, time 654.97ms, mfu 4.32%
iter 50: loss 9.7976, time 656.17ms, mfu 4.32%
iter 60: loss 9.6544, time 655.36ms, mfu 4.32%
iter 70: loss 9.6192, time 657.26ms, mfu 4.31%
iter 80: loss 9.4262, time 656.64ms, mfu 4.31%
iter 90: loss 9.1388, time 656.73ms, mfu 4.30%
iter 100: loss 9.2306, time 657.01ms, mfu 4.30%
iter 110: loss 9.1725, time 657.73ms, mfu 4.30%
iter 120: loss 8.8708, time 658.88ms, mfu 4.29%
iter 130: loss 8.9913, time 658.02ms, mfu 4.29%
iter 140: loss 8.7956, time 658.07ms, mfu 4.29%
iter 150: loss 8.6601, time 659.04ms, mfu 4.28%
iter 160: loss 8.5838, time 659.70ms, mfu 4.28%
iter 170: loss 8.5629, time 656.57ms, mfu 4.28%
iter 180: loss 8.7519, time 659.53ms, mfu 4.28%
iter 190: loss 8.6914, time 657.91ms, mfu 4.28%
iter 200: loss 8.2893, time 658.26ms, mfu 4.27%
iter 210: loss 8.5870, time 660.06ms, mfu 4.27%
iter 220: loss 8.5288, time 660.97ms, mfu 4.27%
iter 230: loss 8.7065, time 661.17ms, mfu 4.27%
iter 240: loss 7.7597, time 660.60ms, mfu 4.26%
iter 250: loss 8.0077, time 661.40ms, mfu 4.26%
iter 260: loss 8.2551, time 659.78ms, mfu 4.26%
iter 270: loss 8.6212, time 661.11ms, mfu 4.26%
iter 280: loss 8.0312, time 660.72ms, mfu 4.26%
iter 290: loss 7.9599, time 661.43ms, mfu 4.26%
iter 300: loss 8.1860, time 659.43ms, mfu 4.26%
iter 310: loss 7.6153, time 661.79ms, mfu 4.25%
iter 320: loss 8.1586, time 661.03ms, mfu 4.25%
iter 330: loss 8.5131, time 659.87ms, mfu 4.25%
iter 340: loss 8.3542, time 660.86ms, mfu 4.25%
iter 350: loss 7.8717, time 677.05ms, mfu 4.24%
iter 360: loss 8.0547, time 661.47ms, mfu 4.24%
iter 370: loss 8.1860, time 662.23ms, mfu 4.24%
iter 380: loss 7.8969, time 660.47ms, mfu 4.24%
iter 390: loss 9.0961, time 661.85ms, mfu 4.24%
iter 400: loss 8.0107, time 658.69ms, mfu 4.24%
iter 410: loss 7.6634, time 661.91ms, mfu 4.24%
iter 420: loss 8.5042, time 661.41ms, mfu 4.24%
iter 430: loss 8.4013, time 661.87ms, mfu 4.24%
iter 440: loss 7.9493, time 661.10ms, mfu 4.24%
iter 450: loss 7.6618, time 661.30ms, mfu 4.24%
iter 460: loss 7.3911, time 662.02ms, mfu 4.24%
iter 470: loss 8.5860, time 662.23ms, mfu 4.24%
iter 480: loss 7.6220, time 672.18ms, mfu 4.23%
iter 490: loss 7.6869, time 661.86ms, mfu 4.23%
step 500: train loss 7.7113, val loss 7.7474
saving checkpoint to out
iter 500: loss 7.6832, time 17133.96ms, mfu 3.83%
iter 510: loss 7.7557, time 659.89ms, mfu 3.87%
iter 520: loss 7.3945, time 657.66ms, mfu 3.91%
iter 530: loss 8.0450, time 660.00ms, mfu 3.94%
iter 540: loss 7.9098, time 661.17ms, mfu 3.97%
iter 550: loss 7.5454, time 658.66ms, mfu 4.00%
iter 560: loss 7.5711, time 661.31ms, mfu 4.03%
iter 570: loss 7.4034, time 660.19ms, mfu 4.05%
iter 580: loss 7.4626, time 661.52ms, mfu 4.07%
iter 590: loss 7.2489, time 664.39ms, mfu 4.08%
iter 600: loss 7.3569, time 661.40ms, mfu 4.10%
iter 610: loss 7.9716, time 659.16ms, mfu 4.11%
iter 620: loss 7.5853, time 660.52ms, mfu 4.13%
iter 630: loss 6.7124, time 661.74ms, mfu 4.14%
iter 640: loss 7.4731, time 662.06ms, mfu 4.15%
iter 650: loss 7.3967, time 660.09ms, mfu 4.16%
iter 660: loss 7.4635, time 661.92ms, mfu 4.17%
iter 670: loss 7.5649, time 733.81ms, mfu 4.13%
iter 680: loss 7.2856, time 663.36ms, mfu 4.14%
iter 690: loss 7.5723, time 663.01ms, mfu 4.15%
iter 700: loss 7.6616, time 662.66ms, mfu 4.16%
iter 710: loss 7.6071, time 662.00ms, mfu 4.17%
iter 720: loss 7.9149, time 662.07ms, mfu 4.17%
iter 730: loss 7.2450, time 689.89ms, mfu 4.16%
iter 740: loss 7.5627, time 661.90ms, mfu 4.17%
iter 750: loss 7.1288, time 662.95ms, mfu 4.18%
iter 760: loss 7.7913, time 662.66ms, mfu 4.18%
iter 770: loss 7.3952, time 662.23ms, mfu 4.19%
iter 780: loss 6.9530, time 662.03ms, mfu 4.19%
iter 790: loss 7.3799, time 662.45ms, mfu 4.20%
iter 800: loss 8.1075, time 662.65ms, mfu 4.20%
iter 810: loss 8.6030, time 662.46ms, mfu 4.20%
iter 820: loss 7.4184, time 662.35ms, mfu 4.21%
iter 830: loss 7.0755, time 661.68ms, mfu 4.21%
iter 840: loss 8.2511, time 662.06ms, mfu 4.21%
iter 850: loss 7.6019, time 661.69ms, mfu 4.22%
iter 860: loss 7.1455, time 662.32ms, mfu 4.22%
iter 870: loss 7.5822, time 662.63ms, mfu 4.22%
iter 880: loss 7.0935, time 661.67ms, mfu 4.22%
iter 890: loss 7.2993, time 664.25ms, mfu 4.22%
iter 900: loss 7.2864, time 662.04ms, mfu 4.22%
iter 910: loss 7.6227, time 662.21ms, mfu 4.22%
iter 920: loss 7.0139, time 663.51ms, mfu 4.22%
iter 930: loss 7.0339, time 661.99ms, mfu 4.23%
iter 940: loss 6.7026, time 662.35ms, mfu 4.23%
iter 950: loss 6.7138, time 660.40ms, mfu 4.23%
iter 960: loss 7.2439, time 661.78ms, mfu 4.23%
