step 0: train loss 10.9873, val loss 10.9915
iter 0: loss 10.9988, time 16797.29ms, mfu -100.00%
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
iter 10: loss 10.8936, time 644.64ms, mfu 4.35%
iter 20: loss 10.7687, time 645.39ms, mfu 4.35%
iter 30: loss 10.5293, time 646.72ms, mfu 4.35%
iter 40: loss 10.2848, time 646.80ms, mfu 4.35%
iter 50: loss 9.9260, time 647.30ms, mfu 4.35%
iter 60: loss 9.7759, time 646.78ms, mfu 4.35%
iter 70: loss 9.7313, time 650.18ms, mfu 4.34%
iter 80: loss 9.5403, time 650.07ms, mfu 4.34%
iter 90: loss 9.2781, time 649.92ms, mfu 4.34%
iter 100: loss 9.3729, time 649.98ms, mfu 4.34%
iter 110: loss 9.2582, time 648.37ms, mfu 4.33%
iter 120: loss 8.9705, time 652.96ms, mfu 4.33%
iter 130: loss 9.0839, time 649.00ms, mfu 4.33%
iter 140: loss 8.8836, time 649.91ms, mfu 4.33%
iter 150: loss 8.7344, time 648.82ms, mfu 4.33%
iter 160: loss 8.6458, time 651.58ms, mfu 4.33%
iter 170: loss 8.6324, time 651.35ms, mfu 4.32%
iter 180: loss 8.7928, time 652.85ms, mfu 4.32%
iter 190: loss 8.7497, time 652.10ms, mfu 4.32%
iter 200: loss 8.3732, time 651.89ms, mfu 4.32%
iter 210: loss 8.6660, time 655.67ms, mfu 4.31%
iter 220: loss 8.6099, time 654.37ms, mfu 4.31%
iter 230: loss 8.7677, time 650.85ms, mfu 4.31%
iter 240: loss 7.8430, time 654.29ms, mfu 4.31%
iter 250: loss 8.0908, time 651.93ms, mfu 4.31%
iter 260: loss 8.3445, time 652.07ms, mfu 4.31%
iter 270: loss 8.6807, time 652.60ms, mfu 4.31%
iter 280: loss 8.1338, time 653.85ms, mfu 4.31%
iter 290: loss 8.0215, time 677.27ms, mfu 4.29%
iter 300: loss 8.2717, time 652.05ms, mfu 4.29%
iter 310: loss 7.7323, time 653.62ms, mfu 4.29%
iter 320: loss 8.2708, time 654.17ms, mfu 4.29%
iter 330: loss 8.6131, time 652.29ms, mfu 4.29%
iter 340: loss 8.4499, time 651.99ms, mfu 4.29%
iter 350: loss 7.9630, time 662.67ms, mfu 4.29%
iter 360: loss 8.1309, time 652.50ms, mfu 4.29%
iter 370: loss 8.3153, time 653.32ms, mfu 4.29%
iter 380: loss 7.9915, time 654.52ms, mfu 4.29%
iter 390: loss 9.1481, time 652.87ms, mfu 4.29%
iter 400: loss 8.1063, time 652.85ms, mfu 4.29%
iter 410: loss 7.7523, time 698.64ms, mfu 4.26%
iter 420: loss 8.5611, time 652.09ms, mfu 4.27%
iter 430: loss 8.4782, time 653.92ms, mfu 4.27%
iter 440: loss 8.0796, time 652.85ms, mfu 4.27%
iter 450: loss 7.7855, time 654.08ms, mfu 4.27%
iter 460: loss 7.4733, time 653.09ms, mfu 4.28%
iter 470: loss 8.6529, time 653.25ms, mfu 4.28%
iter 480: loss 7.7357, time 680.24ms, mfu 4.26%
iter 490: loss 7.7832, time 653.08ms, mfu 4.27%
step 500: train loss 7.8035, val loss 7.8388
saving checkpoint to out
iter 500: loss 7.7545, time 17495.29ms, mfu 3.85%
iter 510: loss 7.8448, time 650.12ms, mfu 3.90%
iter 520: loss 7.4909, time 649.62ms, mfu 3.94%
iter 530: loss 8.1241, time 650.18ms, mfu 3.98%
iter 540: loss 7.9946, time 649.88ms, mfu 4.01%
iter 550: loss 7.6250, time 651.32ms, mfu 4.04%
iter 560: loss 7.6839, time 652.01ms, mfu 4.07%
iter 570: loss 7.5108, time 652.99ms, mfu 4.09%
iter 580: loss 7.5748, time 651.52ms, mfu 4.11%
iter 590: loss 7.3750, time 654.92ms, mfu 4.13%
iter 600: loss 7.4682, time 651.38ms, mfu 4.15%
iter 610: loss 8.0618, time 655.39ms, mfu 4.16%
iter 620: loss 7.6770, time 651.51ms, mfu 4.18%
iter 630: loss 6.8272, time 653.62ms, mfu 4.19%
iter 640: loss 7.5594, time 654.17ms, mfu 4.20%
iter 650: loss 7.4803, time 652.96ms, mfu 4.21%
iter 660: loss 7.5607, time 653.91ms, mfu 4.22%
iter 670: loss 7.6631, time 703.56ms, mfu 4.19%
iter 680: loss 7.3944, time 652.29ms, mfu 4.20%
iter 690: loss 7.6486, time 653.80ms, mfu 4.21%
iter 700: loss 7.7306, time 652.91ms, mfu 4.22%
iter 710: loss 7.6990, time 652.61ms, mfu 4.23%
iter 720: loss 8.0100, time 654.35ms, mfu 4.23%
iter 730: loss 7.3291, time 652.32ms, mfu 4.24%
iter 740: loss 7.6270, time 652.86ms, mfu 4.25%
iter 750: loss 7.2132, time 653.25ms, mfu 4.25%
iter 760: loss 7.8991, time 653.21ms, mfu 4.26%
iter 770: loss 7.5028, time 652.50ms, mfu 4.26%
iter 780: loss 7.0600, time 654.53ms, mfu 4.26%
iter 790: loss 7.4433, time 655.72ms, mfu 4.26%
iter 800: loss 8.2364, time 653.57ms, mfu 4.27%
iter 810: loss 8.5870, time 653.56ms, mfu 4.27%
iter 820: loss 7.5023, time 653.25ms, mfu 4.27%
iter 830: loss 7.1781, time 653.21ms, mfu 4.27%
iter 840: loss 8.3391, time 656.43ms, mfu 4.27%
iter 850: loss 7.6964, time 653.23ms, mfu 4.28%
iter 860: loss 7.2254, time 652.03ms, mfu 4.28%
iter 870: loss 7.6522, time 654.43ms, mfu 4.28%
iter 880: loss 7.1827, time 652.64ms, mfu 4.28%
iter 890: loss 7.4039, time 653.93ms, mfu 4.28%
iter 900: loss 7.3764, time 651.43ms, mfu 4.28%
iter 910: loss 7.7152, time 653.15ms, mfu 4.29%
iter 920: loss 7.0885, time 653.43ms, mfu 4.29%
iter 930: loss 7.1033, time 653.72ms, mfu 4.29%
iter 940: loss 6.8007, time 655.43ms, mfu 4.29%
iter 950: loss 6.8091, time 652.77ms, mfu 4.29%
iter 960: loss 7.3455, time 654.80ms, mfu 4.29%
iter 970: loss 7.1708, time 654.19ms, mfu 4.29%
iter 980: loss 7.1287, time 651.92ms, mfu 4.29%
iter 990: loss 7.3127, time 651.73ms, mfu 4.29%
step 1000: train loss 7.1798, val loss 7.1842
saving checkpoint to out
iter 1000: loss 6.5699, time 17425.23ms, mfu 3.88%
iter 1010: loss 7.3989, time 649.52ms, mfu 3.92%
iter 1020: loss 7.4880, time 652.27ms, mfu 3.96%
iter 1030: loss 7.5970, time 652.19ms, mfu 3.99%
iter 1040: loss 7.0979, time 650.16ms, mfu 4.03%
iter 1050: loss 7.1168, time 649.67ms, mfu 4.06%
iter 1060: loss 6.7592, time 650.00ms, mfu 4.08%
iter 1070: loss 6.8016, time 649.55ms, mfu 4.11%
iter 1080: loss 6.9600, time 650.41ms, mfu 4.13%
iter 1090: loss 7.1600, time 651.72ms, mfu 4.14%
iter 1100: loss 6.9625, time 653.20ms, mfu 4.16%
iter 1110: loss 7.0882, time 654.89ms, mfu 4.17%
iter 1120: loss 6.9953, time 653.91ms, mfu 4.18%
iter 1130: loss 7.1895, time 652.92ms, mfu 4.19%
iter 1140: loss 7.4918, time 651.39ms, mfu 4.21%
iter 1150: loss 7.0673, time 651.92ms, mfu 4.22%
iter 1160: loss 7.1743, time 651.91ms, mfu 4.22%
iter 1170: loss 7.2968, time 653.37ms, mfu 4.23%
iter 1180: loss 6.8232, time 651.20ms, mfu 4.24%
iter 1190: loss 6.9931, time 837.09ms, mfu 4.15%
iter 1200: loss 7.3726, time 653.27ms, mfu 4.16%
iter 1210: loss 6.9620, time 652.16ms, mfu 4.18%
iter 1220: loss 6.9232, time 652.41ms, mfu 4.19%
iter 1230: loss 6.7056, time 653.49ms, mfu 4.20%
iter 1240: loss 7.1056, time 653.20ms, mfu 4.21%
iter 1250: loss 6.8600, time 653.91ms, mfu 4.22%
iter 1260: loss 7.0528, time 654.68ms, mfu 4.22%
iter 1270: loss 6.6795, time 656.47ms, mfu 4.23%
iter 1280: loss 6.8946, time 655.37ms, mfu 4.23%
iter 1290: loss 6.9573, time 653.33ms, mfu 4.24%
iter 1300: loss 6.9583, time 653.46ms, mfu 4.25%
iter 1310: loss 6.7637, time 652.22ms, mfu 4.25%
iter 1320: loss 7.0460, time 654.07ms, mfu 4.26%
iter 1330: loss 6.7671, time 654.16ms, mfu 4.26%
iter 1340: loss 6.5314, time 652.24ms, mfu 4.26%
iter 1350: loss 6.6167, time 820.28ms, mfu 4.18%
iter 1360: loss 7.0475, time 652.53ms, mfu 4.19%
iter 1370: loss 7.2885, time 652.08ms, mfu 4.20%
iter 1380: loss 6.5877, time 653.22ms, mfu 4.21%
iter 1390: loss 6.9466, time 655.38ms, mfu 4.22%
iter 1400: loss 6.8792, time 655.41ms, mfu 4.22%
iter 1410: loss 6.6473, time 653.16ms, mfu 4.23%
iter 1420: loss 6.3089, time 653.52ms, mfu 4.24%
iter 1430: loss 7.2929, time 654.60ms, mfu 4.24%
iter 1440: loss 6.8218, time 652.95ms, mfu 4.25%
iter 1450: loss 7.4066, time 652.50ms, mfu 4.25%
iter 1460: loss 6.8334, time 652.48ms, mfu 4.26%
iter 1470: loss 7.0331, time 653.85ms, mfu 4.26%
iter 1480: loss 7.4864, time 655.31ms, mfu 4.26%
iter 1490: loss 6.6350, time 653.43ms, mfu 4.27%
step 1500: train loss 6.8296, val loss 6.8706
saving checkpoint to out
iter 1500: loss 6.7164, time 17506.23ms, mfu 3.86%
iter 1510: loss 6.7813, time 649.90ms, mfu 3.90%
iter 1520: loss 7.0019, time 652.64ms, mfu 3.94%
iter 1530: loss 6.7622, time 649.06ms, mfu 3.98%
