step 0: train loss 10.9873, val loss 10.9915
iter 0: loss 10.9988, time 16793.55ms, mfu -100.00%
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
iter 10: loss 10.6749, time 747.08ms, mfu 3.76%
iter 20: loss 10.0773, time 746.00ms, mfu 3.76%
iter 30: loss 9.6602, time 742.10ms, mfu 3.76%
iter 40: loss 9.3258, time 745.37ms, mfu 3.76%
iter 50: loss 8.9836, time 744.18ms, mfu 3.76%
iter 60: loss 8.9978, time 745.46ms, mfu 3.76%
iter 70: loss 8.9533, time 744.04ms, mfu 3.76%
iter 80: loss 8.9007, time 741.27ms, mfu 3.76%
iter 90: loss 8.4137, time 738.54ms, mfu 3.77%
iter 100: loss 8.5298, time 739.38ms, mfu 3.77%
iter 110: loss 8.7539, time 739.86ms, mfu 3.77%
iter 120: loss 8.3331, time 738.60ms, mfu 3.77%
iter 130: loss 8.4315, time 742.51ms, mfu 3.77%
iter 140: loss 8.1736, time 743.12ms, mfu 3.77%
iter 150: loss 8.1009, time 737.26ms, mfu 3.78%
iter 160: loss 8.0077, time 738.17ms, mfu 3.78%
iter 170: loss 7.9553, time 738.09ms, mfu 3.78%
iter 180: loss 8.1635, time 735.36ms, mfu 3.79%
iter 190: loss 7.9587, time 738.56ms, mfu 3.79%
iter 200: loss 7.6533, time 737.16ms, mfu 3.79%
iter 210: loss 8.0188, time 735.76ms, mfu 3.79%
iter 220: loss 7.9987, time 736.87ms, mfu 3.79%
iter 230: loss 8.1006, time 737.24ms, mfu 3.79%
iter 240: loss 7.0399, time 732.86ms, mfu 3.80%
iter 250: loss 7.2798, time 736.25ms, mfu 3.80%
iter 260: loss 7.4509, time 733.27ms, mfu 3.80%
iter 270: loss 7.9626, time 729.63ms, mfu 3.81%
iter 280: loss 7.2681, time 730.50ms, mfu 3.81%
iter 290: loss 7.4146, time 733.05ms, mfu 3.81%
iter 300: loss 7.4234, time 730.10ms, mfu 3.81%
iter 310: loss 6.7843, time 730.73ms, mfu 3.82%
iter 320: loss 7.3678, time 732.31ms, mfu 3.82%
iter 330: loss 7.8245, time 730.98ms, mfu 3.82%
iter 340: loss 7.7132, time 730.81ms, mfu 3.82%
iter 350: loss 7.2788, time 730.41ms, mfu 3.82%
iter 360: loss 7.4190, time 729.53ms, mfu 3.83%
iter 370: loss 7.3962, time 731.59ms, mfu 3.83%
iter 380: loss 7.2771, time 727.93ms, mfu 3.83%
iter 390: loss 8.7299, time 731.65ms, mfu 3.83%
iter 400: loss 7.3913, time 729.96ms, mfu 3.83%
iter 410: loss 7.1500, time 741.61ms, mfu 3.83%
iter 420: loss 7.9309, time 727.64ms, mfu 3.83%
iter 430: loss 7.8198, time 730.02ms, mfu 3.83%
iter 440: loss 7.4089, time 726.14ms, mfu 3.83%
iter 450: loss 6.9729, time 730.22ms, mfu 3.83%
iter 460: loss 6.9133, time 727.76ms, mfu 3.84%
iter 470: loss 8.1111, time 728.99ms, mfu 3.84%
iter 480: loss 7.0367, time 736.41ms, mfu 3.84%
iter 490: loss 7.1339, time 724.52ms, mfu 3.84%
step 500: train loss 7.2115, val loss 7.2514
saving checkpoint to out
iter 500: loss 7.2402, time 17545.75ms, mfu 3.47%
iter 510: loss 7.2552, time 724.30ms, mfu 3.51%
iter 520: loss 6.7862, time 724.56ms, mfu 3.55%
iter 530: loss 7.5302, time 727.39ms, mfu 3.58%
iter 540: loss 7.3676, time 728.99ms, mfu 3.61%
iter 550: loss 7.1318, time 725.62ms, mfu 3.63%
iter 560: loss 7.0832, time 724.65ms, mfu 3.66%
iter 570: loss 6.8364, time 727.88ms, mfu 3.68%
iter 580: loss 6.8589, time 726.08ms, mfu 3.69%
iter 590: loss 6.6952, time 727.02ms, mfu 3.71%
iter 600: loss 7.0285, time 725.19ms, mfu 3.73%
iter 610: loss 7.6892, time 722.51ms, mfu 3.74%
iter 620: loss 7.1800, time 727.73ms, mfu 3.75%
iter 630: loss 6.2198, time 726.39ms, mfu 3.76%
iter 640: loss 6.9275, time 724.66ms, mfu 3.77%
iter 650: loss 6.9982, time 724.38ms, mfu 3.78%
iter 660: loss 7.1221, time 726.90ms, mfu 3.79%
iter 670: loss 7.2588, time 754.76ms, mfu 3.78%
iter 680: loss 6.9153, time 723.70ms, mfu 3.79%
iter 690: loss 7.2277, time 725.65ms, mfu 3.80%
iter 700: loss 7.2746, time 724.11ms, mfu 3.81%
iter 710: loss 7.2719, time 723.42ms, mfu 3.82%
iter 720: loss 7.6962, time 727.43ms, mfu 3.82%
iter 730: loss 6.8627, time 731.81ms, mfu 3.82%
iter 740: loss 7.2869, time 725.29ms, mfu 3.83%
iter 750: loss 6.7865, time 725.62ms, mfu 3.83%
iter 760: loss 7.3225, time 725.00ms, mfu 3.83%
iter 770: loss 7.1671, time 725.83ms, mfu 3.84%
iter 780: loss 6.5910, time 728.67ms, mfu 3.84%
iter 790: loss 7.0426, time 725.13ms, mfu 3.84%
iter 800: loss 7.7293, time 727.54ms, mfu 3.84%
iter 810: loss 7.9921, time 726.65ms, mfu 3.84%
iter 820: loss 7.2287, time 726.47ms, mfu 3.85%
iter 830: loss 6.7212, time 724.55ms, mfu 3.85%
iter 840: loss 7.8590, time 730.45ms, mfu 3.85%
iter 850: loss 7.1202, time 730.34ms, mfu 3.85%
iter 860: loss 6.8503, time 730.63ms, mfu 3.85%
iter 870: loss 7.4185, time 730.70ms, mfu 3.85%
iter 880: loss 6.6911, time 729.97ms, mfu 3.85%
iter 890: loss 7.0495, time 732.53ms, mfu 3.84%
iter 900: loss 7.0983, time 731.44ms, mfu 3.84%
iter 910: loss 7.1917, time 732.36ms, mfu 3.84%
iter 920: loss 6.8109, time 734.03ms, mfu 3.84%
iter 930: loss 6.6926, time 732.92ms, mfu 3.84%
iter 940: loss 6.5788, time 733.03ms, mfu 3.84%
iter 950: loss 6.4142, time 733.69ms, mfu 3.84%
iter 960: loss 6.9214, time 733.39ms, mfu 3.84%
iter 970: loss 7.1363, time 731.64ms, mfu 3.83%
iter 980: loss 6.7585, time 733.36ms, mfu 3.83%
iter 990: loss 7.0723, time 729.12ms, mfu 3.84%
step 1000: train loss 6.8890, val loss 6.8996
saving checkpoint to out
iter 1000: loss 6.3339, time 17592.13ms, mfu 3.47%
iter 1010: loss 7.0000, time 731.36ms, mfu 3.50%
iter 1020: loss 7.2840, time 731.54ms, mfu 3.54%
iter 1030: loss 7.2216, time 729.51ms, mfu 3.57%
iter 1040: loss 6.9675, time 730.24ms, mfu 3.60%
iter 1050: loss 6.8757, time 729.87ms, mfu 3.62%
iter 1060: loss 6.5371, time 729.50ms, mfu 3.64%
iter 1070: loss 6.5300, time 731.07ms, mfu 3.66%
iter 1080: loss 6.6814, time 732.97ms, mfu 3.68%
iter 1090: loss 7.0014, time 733.71ms, mfu 3.69%
iter 1100: loss 6.7841, time 732.41ms, mfu 3.71%
iter 1110: loss 6.8569, time 732.58ms, mfu 3.72%
iter 1120: loss 6.8266, time 735.57ms, mfu 3.73%
iter 1130: loss 6.8581, time 732.02ms, mfu 3.74%
iter 1140: loss 7.2624, time 732.61ms, mfu 3.75%
iter 1150: loss 6.6318, time 731.04ms, mfu 3.76%
iter 1160: loss 7.0016, time 734.10ms, mfu 3.76%
iter 1170: loss 7.0549, time 731.41ms, mfu 3.77%
iter 1180: loss 6.4228, time 732.31ms, mfu 3.78%
iter 1190: loss 6.8116, time 872.44ms, mfu 3.72%
iter 1200: loss 7.1163, time 730.60ms, mfu 3.73%
iter 1210: loss 6.6867, time 730.61ms, mfu 3.74%
iter 1220: loss 6.7408, time 733.50ms, mfu 3.75%
iter 1230: loss 6.4701, time 735.18ms, mfu 3.76%
iter 1240: loss 6.8489, time 731.20ms, mfu 3.77%
iter 1250: loss 6.6686, time 729.06ms, mfu 3.77%
iter 1260: loss 6.7946, time 732.68ms, mfu 3.78%
iter 1270: loss 6.4081, time 728.14ms, mfu 3.79%
iter 1280: loss 6.5089, time 728.93ms, mfu 3.79%
iter 1290: loss 6.7307, time 728.17ms, mfu 3.80%
iter 1300: loss 6.6011, time 728.15ms, mfu 3.80%
iter 1310: loss 6.3934, time 730.85ms, mfu 3.81%
iter 1320: loss 6.7990, time 726.88ms, mfu 3.81%
iter 1330: loss 6.5369, time 729.39ms, mfu 3.82%
iter 1340: loss 6.2196, time 727.75ms, mfu 3.82%
iter 1350: loss 6.2870, time 854.38ms, mfu 3.77%
iter 1360: loss 6.8099, time 729.33ms, mfu 3.77%
iter 1370: loss 7.0969, time 730.84ms, mfu 3.78%
iter 1380: loss 6.2891, time 729.43ms, mfu 3.79%
iter 1390: loss 6.7236, time 728.75ms, mfu 3.79%
iter 1400: loss 6.5390, time 725.12ms, mfu 3.80%
iter 1410: loss 6.4078, time 726.60ms, mfu 3.81%
