step 0: train loss 10.9873, val loss 10.9915
iter 0: loss 10.9988, time 16690.49ms, mfu -100.00%
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
iter 10: loss 10.5442, time 646.07ms, mfu 4.34%
iter 20: loss 9.8318, time 646.47ms, mfu 4.34%
iter 30: loss 9.4529, time 647.74ms, mfu 4.34%
iter 40: loss 9.1970, time 647.88ms, mfu 4.34%
iter 50: loss 8.8273, time 648.18ms, mfu 4.34%
iter 60: loss 8.8442, time 648.29ms, mfu 4.34%
iter 70: loss 8.7864, time 650.22ms, mfu 4.34%
iter 80: loss 8.7336, time 650.85ms, mfu 4.33%
iter 90: loss 8.1652, time 648.91ms, mfu 4.33%
iter 100: loss 8.2889, time 649.64ms, mfu 4.33%
iter 110: loss 8.5939, time 651.17ms, mfu 4.33%
iter 120: loss 8.1023, time 649.67ms, mfu 4.33%
iter 130: loss 8.2168, time 649.30ms, mfu 4.33%
iter 140: loss 7.9343, time 649.56ms, mfu 4.33%
iter 150: loss 7.8826, time 649.57ms, mfu 4.33%
iter 160: loss 7.7821, time 649.41ms, mfu 4.32%
iter 170: loss 7.7477, time 651.69ms, mfu 4.32%
iter 180: loss 7.9950, time 650.21ms, mfu 4.32%
iter 190: loss 7.7637, time 650.78ms, mfu 4.32%
iter 200: loss 7.5674, time 651.18ms, mfu 4.32%
iter 210: loss 7.8234, time 651.91ms, mfu 4.32%
iter 220: loss 7.8178, time 651.25ms, mfu 4.32%
iter 230: loss 7.8982, time 652.06ms, mfu 4.32%
iter 240: loss 6.9322, time 652.15ms, mfu 4.31%
iter 250: loss 7.2009, time 648.76ms, mfu 4.32%
iter 260: loss 7.3745, time 651.34ms, mfu 4.31%
iter 270: loss 7.8196, time 652.53ms, mfu 4.31%
