step 0: train loss 10.9873, val loss 10.9915
iter 0: loss 10.9988, time 17838.73ms, mfu -100.00%
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
iter 10: loss 10.5442, time 649.77ms, mfu 4.32%
iter 20: loss 9.8318, time 652.15ms, mfu 4.32%
iter 30: loss 9.4529, time 652.08ms, mfu 4.31%
iter 40: loss 9.1970, time 654.19ms, mfu 4.31%
iter 50: loss 8.8273, time 655.37ms, mfu 4.31%
iter 60: loss 8.8442, time 654.62ms, mfu 4.31%
iter 70: loss 8.7864, time 659.84ms, mfu 4.30%
iter 80: loss 8.7336, time 658.61ms, mfu 4.30%
iter 90: loss 8.1652, time 659.53ms, mfu 4.29%
iter 100: loss 8.2889, time 662.37ms, mfu 4.29%
iter 110: loss 8.5939, time 660.29ms, mfu 4.28%
iter 120: loss 8.1023, time 662.42ms, mfu 4.28%
iter 130: loss 8.2168, time 661.25ms, mfu 4.27%
iter 140: loss 7.9343, time 663.25ms, mfu 4.27%
iter 150: loss 7.8826, time 663.49ms, mfu 4.27%
iter 160: loss 7.7821, time 663.34ms, mfu 4.26%
iter 170: loss 7.7477, time 663.75ms, mfu 4.26%
iter 180: loss 7.9950, time 664.00ms, mfu 4.26%
iter 190: loss 7.7637, time 664.22ms, mfu 4.25%
iter 200: loss 7.5674, time 662.30ms, mfu 4.25%
iter 210: loss 7.8234, time 664.95ms, mfu 4.25%
iter 220: loss 7.8178, time 662.73ms, mfu 4.25%
iter 230: loss 7.8982, time 665.03ms, mfu 4.24%
iter 240: loss 6.9322, time 664.81ms, mfu 4.24%
iter 250: loss 7.2009, time 664.45ms, mfu 4.24%
iter 260: loss 7.3745, time 663.90ms, mfu 4.24%
iter 270: loss 7.8196, time 666.78ms, mfu 4.23%
iter 280: loss 7.1311, time 664.86ms, mfu 4.23%
iter 290: loss 7.3312, time 664.84ms, mfu 4.23%
iter 300: loss 7.3642, time 665.41ms, mfu 4.23%
iter 310: loss 6.6317, time 665.98ms, mfu 4.23%
iter 320: loss 7.2905, time 665.47ms, mfu 4.23%
iter 330: loss 7.6415, time 664.24ms, mfu 4.23%
iter 340: loss 7.5809, time 666.38ms, mfu 4.23%
iter 350: loss 7.1736, time 666.03ms, mfu 4.22%
iter 360: loss 7.3896, time 665.86ms, mfu 4.22%
iter 370: loss 7.2417, time 665.53ms, mfu 4.22%
iter 380: loss 7.1921, time 663.03ms, mfu 4.22%
iter 390: loss 8.5448, time 666.09ms, mfu 4.22%
iter 400: loss 7.4209, time 664.20ms, mfu 4.22%
iter 410: loss 7.0545, time 677.03ms, mfu 4.21%
iter 420: loss 7.8629, time 666.05ms, mfu 4.21%
iter 430: loss 7.8015, time 663.43ms, mfu 4.22%
iter 440: loss 7.4797, time 664.82ms, mfu 4.22%
iter 450: loss 6.9504, time 664.56ms, mfu 4.22%
iter 460: loss 6.8473, time 661.54ms, mfu 4.22%
iter 470: loss 7.9856, time 665.31ms, mfu 4.22%
iter 480: loss 7.0695, time 703.24ms, mfu 4.20%
iter 490: loss 7.1920, time 665.11ms, mfu 4.20%
step 500: train loss 7.2207, val loss 7.2646
saving checkpoint to out
iter 500: loss 7.2805, time 17775.44ms, mfu 3.79%
iter 510: loss 7.1860, time 662.61ms, mfu 3.84%
iter 520: loss 6.8307, time 665.46ms, mfu 3.88%
iter 530: loss 7.5143, time 663.73ms, mfu 3.91%
iter 540: loss 7.4457, time 665.49ms, mfu 3.94%
iter 550: loss 7.0048, time 663.64ms, mfu 3.97%
iter 560: loss 6.9728, time 664.17ms, mfu 4.00%
iter 570: loss 6.7384, time 664.21ms, mfu 4.02%
iter 580: loss 6.8730, time 665.97ms, mfu 4.04%
iter 590: loss 6.6883, time 666.72ms, mfu 4.05%
iter 600: loss 6.9779, time 667.01ms, mfu 4.07%
iter 610: loss 7.6644, time 665.56ms, mfu 4.08%
iter 620: loss 7.3460, time 663.29ms, mfu 4.10%
iter 630: loss 6.0992, time 667.15ms, mfu 4.11%
iter 640: loss 7.0695, time 662.95ms, mfu 4.12%
iter 650: loss 7.1559, time 665.99ms, mfu 4.13%
iter 660: loss 7.2545, time 666.66ms, mfu 4.14%
iter 670: loss 7.3452, time 705.01ms, mfu 4.12%
iter 680: loss 7.0042, time 666.43ms, mfu 4.13%
iter 690: loss 7.2847, time 664.90ms, mfu 4.14%
