step 0: train loss 10.9873, val loss 10.9915
iter 0: loss 10.9988, time 16778.49ms, mfu -100.00%
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
iter 10: loss 10.9191, time 642.40ms, mfu 4.37%
iter 20: loss 10.8811, time 642.48ms, mfu 4.37%
iter 30: loss 10.7603, time 644.49ms, mfu 4.37%
iter 40: loss 10.6491, time 644.52ms, mfu 4.36%
iter 50: loss 10.3684, time 646.21ms, mfu 4.36%
iter 60: loss 10.2555, time 645.61ms, mfu 4.36%
iter 70: loss 10.1726, time 644.96ms, mfu 4.36%
iter 80: loss 9.9821, time 647.74ms, mfu 4.36%
iter 90: loss 9.7415, time 647.51ms, mfu 4.35%
iter 100: loss 9.8194, time 647.74ms, mfu 4.35%
iter 110: loss 9.6509, time 648.86ms, mfu 4.35%
iter 120: loss 9.4644, time 647.98ms, mfu 4.35%
iter 130: loss 9.5345, time 647.75ms, mfu 4.35%
iter 140: loss 9.3665, time 647.61ms, mfu 4.34%
iter 150: loss 9.1969, time 648.76ms, mfu 4.34%
iter 160: loss 9.0404, time 651.78ms, mfu 4.34%
iter 170: loss 9.0423, time 649.48ms, mfu 4.34%
iter 180: loss 9.1370, time 648.97ms, mfu 4.34%
iter 190: loss 9.0541, time 650.43ms, mfu 4.33%
iter 200: loss 8.6891, time 650.18ms, mfu 4.33%
iter 210: loss 8.9051, time 648.79ms, mfu 4.33%
iter 220: loss 8.8589, time 651.52ms, mfu 4.33%
iter 230: loss 9.0105, time 650.51ms, mfu 4.33%
iter 240: loss 8.1863, time 650.66ms, mfu 4.32%
iter 250: loss 8.3888, time 651.30ms, mfu 4.32%
iter 260: loss 8.6660, time 653.69ms, mfu 4.32%
iter 270: loss 8.9299, time 655.04ms, mfu 4.32%
iter 280: loss 8.4354, time 652.71ms, mfu 4.31%
iter 290: loss 8.2884, time 652.06ms, mfu 4.31%
iter 300: loss 8.5473, time 652.77ms, mfu 4.31%
iter 310: loss 8.0922, time 651.41ms, mfu 4.31%
iter 320: loss 8.6093, time 650.41ms, mfu 4.31%
iter 330: loss 8.8856, time 651.72ms, mfu 4.31%
iter 340: loss 8.7041, time 651.23ms, mfu 4.31%
iter 350: loss 8.2599, time 655.18ms, mfu 4.31%
iter 360: loss 8.4108, time 653.48ms, mfu 4.31%
iter 370: loss 8.6716, time 653.15ms, mfu 4.31%
iter 380: loss 8.3198, time 651.94ms, mfu 4.30%
iter 390: loss 9.3392, time 650.77ms, mfu 4.31%
iter 400: loss 8.3985, time 651.66ms, mfu 4.31%
iter 410: loss 8.0478, time 689.86ms, mfu 4.28%
iter 420: loss 8.8334, time 652.62ms, mfu 4.28%
iter 430: loss 8.7583, time 653.83ms, mfu 4.28%
iter 440: loss 8.4379, time 654.04ms, mfu 4.28%
iter 450: loss 8.1658, time 653.50ms, mfu 4.29%
iter 460: loss 7.8154, time 651.33ms, mfu 4.29%
iter 470: loss 8.9246, time 651.07ms, mfu 4.29%
iter 480: loss 8.1313, time 678.62ms, mfu 4.27%
iter 490: loss 8.0843, time 653.77ms, mfu 4.28%
step 500: train loss 8.1286, val loss 8.1618
saving checkpoint to out
iter 500: loss 8.0460, time 17380.07ms, mfu 3.86%
iter 510: loss 8.1557, time 648.28ms, mfu 3.91%
iter 520: loss 7.8476, time 649.57ms, mfu 3.95%
iter 530: loss 8.4086, time 650.05ms, mfu 3.99%
iter 540: loss 8.2945, time 651.92ms, mfu 4.02%
iter 550: loss 7.9258, time 654.21ms, mfu 4.05%
iter 560: loss 8.0497, time 653.67ms, mfu 4.07%
iter 570: loss 7.8840, time 653.26ms, mfu 4.09%
iter 580: loss 7.9799, time 651.98ms, mfu 4.11%
iter 590: loss 7.7730, time 652.10ms, mfu 4.13%
iter 600: loss 7.8326, time 651.66ms, mfu 4.15%
iter 610: loss 8.3344, time 651.91ms, mfu 4.17%
iter 620: loss 8.0445, time 655.84ms, mfu 4.18%
iter 630: loss 7.2716, time 653.07ms, mfu 4.19%
iter 640: loss 7.8963, time 651.70ms, mfu 4.20%
iter 650: loss 7.8746, time 653.61ms, mfu 4.21%
