step 0: train loss 10.9873, val loss 10.9915
iter 0: loss 10.9988, time 16719.09ms, mfu -100.00%
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
iter 10: loss 10.0364, time 646.87ms, mfu 4.34%
iter 20: loss 9.4647, time 648.16ms, mfu 4.34%
iter 30: loss 9.0313, time 647.47ms, mfu 4.34%
iter 40: loss 8.7445, time 647.56ms, mfu 4.34%
iter 50: loss 8.3806, time 647.73ms, mfu 4.33%
iter 60: loss 8.5379, time 648.19ms, mfu 4.33%
iter 70: loss 8.3876, time 648.56ms, mfu 4.33%
iter 80: loss 8.2811, time 648.02ms, mfu 4.33%
iter 90: loss 7.7835, time 649.92ms, mfu 4.33%
iter 100: loss 7.8350, time 651.12ms, mfu 4.33%
iter 110: loss 8.3412, time 649.23ms, mfu 4.33%
iter 120: loss 7.7280, time 650.21ms, mfu 4.33%
iter 130: loss 8.0415, time 649.20ms, mfu 4.33%
iter 140: loss 7.8782, time 651.90ms, mfu 4.32%
iter 150: loss 7.6532, time 650.46ms, mfu 4.32%
iter 160: loss 7.9353, time 650.52ms, mfu 4.32%
iter 170: loss 7.6210, time 649.70ms, mfu 4.32%
iter 180: loss 8.1581, time 650.29ms, mfu 4.32%
iter 190: loss 7.9971, time 651.31ms, mfu 4.32%
iter 200: loss 7.4360, time 650.49ms, mfu 4.32%
iter 210: loss 8.0457, time 649.89ms, mfu 4.32%
iter 220: loss 7.8256, time 651.83ms, mfu 4.32%
iter 230: loss 8.2435, time 649.84ms, mfu 4.32%
iter 240: loss 6.9678, time 650.70ms, mfu 4.32%
iter 250: loss 7.2249, time 651.79ms, mfu 4.32%
iter 260: loss 7.6030, time 651.30ms, mfu 4.31%
iter 270: loss 8.0030, time 651.48ms, mfu 4.31%
iter 280: loss 8.1123, time 649.92ms, mfu 4.31%
iter 290: loss 7.6979, time 653.79ms, mfu 4.31%
iter 300: loss 7.7451, time 653.59ms, mfu 4.31%
iter 310: loss 7.5648, time 651.19ms, mfu 4.31%
iter 320: loss 7.8435, time 650.71ms, mfu 4.31%
iter 330: loss 8.1180, time 650.75ms, mfu 4.31%
