step 0: train loss 10.9873, val loss 10.9915
iter 0: loss 10.9988, time 16489.09ms, mfu -100.00%
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
iter 10: loss 9.6900, time 648.92ms, mfu 4.32%
iter 20: loss 9.2235, time 648.41ms, mfu 4.32%
iter 30: loss 8.7293, time 651.98ms, mfu 4.32%
iter 40: loss 8.5939, time 654.31ms, mfu 4.32%
iter 50: loss 9.0169, time 653.49ms, mfu 4.32%
iter 60: loss 8.7210, time 654.17ms, mfu 4.31%
iter 70: loss 8.2891, time 655.94ms, mfu 4.31%
iter 80: loss 8.8532, time 656.45ms, mfu 4.31%
iter 90: loss 8.7493, time 657.73ms, mfu 4.30%
iter 100: loss 11.7830, time 658.50ms, mfu 4.30%
iter 110: loss 9.7451, time 658.77ms, mfu 4.29%
iter 120: loss 8.6560, time 659.28ms, mfu 4.29%
iter 130: loss 10.0659, time 657.62ms, mfu 4.29%
iter 140: loss 8.8439, time 659.49ms, mfu 4.28%
iter 150: loss 10.5064, time 658.11ms, mfu 4.28%
iter 160: loss 9.3398, time 660.39ms, mfu 4.28%
iter 170: loss 8.2273, time 658.25ms, mfu 4.28%
iter 180: loss 8.2425, time 660.58ms, mfu 4.27%
iter 190: loss 7.9952, time 660.41ms, mfu 4.27%
iter 200: loss 7.7512, time 660.93ms, mfu 4.27%
iter 210: loss 7.9996, time 661.26ms, mfu 4.27%
iter 220: loss 8.2037, time 660.82ms, mfu 4.26%
iter 230: loss 8.0392, time 661.34ms, mfu 4.26%
iter 240: loss 7.0742, time 661.24ms, mfu 4.26%
iter 250: loss 7.1895, time 660.86ms, mfu 4.26%
iter 260: loss 8.6142, time 661.14ms, mfu 4.26%
iter 270: loss 8.2838, time 661.49ms, mfu 4.26%
iter 280: loss 7.3203, time 661.78ms, mfu 4.25%
iter 290: loss 7.1899, time 662.03ms, mfu 4.25%
iter 300: loss 7.4330, time 661.30ms, mfu 4.25%
iter 310: loss 6.9298, time 662.55ms, mfu 4.25%
iter 320: loss 7.3220, time 662.79ms, mfu 4.25%
iter 330: loss 7.7460, time 661.96ms, mfu 4.25%
iter 340: loss 7.6330, time 663.58ms, mfu 4.24%
iter 350: loss 7.3607, time 663.16ms, mfu 4.24%
iter 360: loss 7.4645, time 660.52ms, mfu 4.24%
iter 370: loss 7.3798, time 662.43ms, mfu 4.24%
iter 380: loss 7.3142, time 661.25ms, mfu 4.24%
iter 390: loss 8.7938, time 662.98ms, mfu 4.24%
iter 400: loss 7.3624, time 662.84ms, mfu 4.24%
