step 0: train loss 10.9873, val loss 10.9915
iter 0: loss 10.9988, time 16791.34ms, mfu -100.00%
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
iter 10: loss 9.0560, time 641.85ms, mfu 4.37%
iter 20: loss 10.0491, time 642.43ms, mfu 4.37%
iter 30: loss 8.9237, time 642.79ms, mfu 4.37%
iter 40: loss 9.0455, time 645.45ms, mfu 4.37%
iter 50: loss 8.9232, time 643.84ms, mfu 4.37%
iter 60: loss 8.6262, time 645.19ms, mfu 4.36%
iter 70: loss 9.3864, time 646.68ms, mfu 4.36%
iter 80: loss 8.9412, time 644.78ms, mfu 4.36%
iter 90: loss 8.8870, time 649.86ms, mfu 4.36%
iter 100: loss 9.6063, time 645.69ms, mfu 4.36%
iter 110: loss 8.8950, time 646.71ms, mfu 4.35%
iter 120: loss 10.3585, time 647.21ms, mfu 4.35%
iter 130: loss 8.1849, time 647.94ms, mfu 4.35%
iter 140: loss 8.6847, time 648.02ms, mfu 4.35%
iter 150: loss 8.0945, time 657.25ms, mfu 4.34%
iter 160: loss 7.8374, time 649.23ms, mfu 4.34%
iter 170: loss 8.1289, time 651.36ms, mfu 4.33%
iter 180: loss 8.6252, time 650.77ms, mfu 4.33%
iter 190: loss 8.0032, time 650.40ms, mfu 4.33%
iter 200: loss 7.7395, time 653.80ms, mfu 4.33%
iter 210: loss 8.0423, time 650.87ms, mfu 4.32%
iter 220: loss 7.9306, time 666.91ms, mfu 4.31%
iter 230: loss 7.9200, time 649.99ms, mfu 4.31%
iter 240: loss 7.0285, time 650.15ms, mfu 4.31%
iter 250: loss 7.2352, time 653.43ms, mfu 4.31%
iter 260: loss 7.3825, time 651.46ms, mfu 4.31%
iter 270: loss 8.0428, time 650.10ms, mfu 4.31%
iter 280: loss 7.3180, time 651.16ms, mfu 4.31%
iter 290: loss 7.4746, time 674.43ms, mfu 4.30%
iter 300: loss 7.4359, time 652.47ms, mfu 4.30%
iter 310: loss 6.8030, time 652.07ms, mfu 4.30%
iter 320: loss 7.4002, time 654.44ms, mfu 4.30%
iter 330: loss 7.6886, time 650.54ms, mfu 4.30%
iter 340: loss 7.8082, time 650.49ms, mfu 4.30%
iter 350: loss 7.4722, time 693.17ms, mfu 4.27%
iter 360: loss 7.4394, time 649.28ms, mfu 4.28%
iter 370: loss 7.2271, time 652.50ms, mfu 4.28%
iter 380: loss 7.3579, time 652.04ms, mfu 4.28%
iter 390: loss 8.8268, time 650.54ms, mfu 4.29%
iter 400: loss 7.3228, time 649.44ms, mfu 4.29%
iter 410: loss 7.2248, time 689.16ms, mfu 4.27%
iter 420: loss 7.8236, time 652.67ms, mfu 4.27%
iter 430: loss 7.7716, time 651.81ms, mfu 4.27%
iter 440: loss 7.4962, time 651.65ms, mfu 4.28%
iter 450: loss 6.9925, time 652.61ms, mfu 4.28%
iter 460: loss 6.6370, time 652.45ms, mfu 4.28%
iter 470: loss 8.0000, time 650.85ms, mfu 4.28%
iter 480: loss 6.9062, time 699.30ms, mfu 4.26%
iter 490: loss 7.0342, time 651.77ms, mfu 4.26%
step 500: train loss 7.0158, val loss 7.0520
saving checkpoint to out
iter 500: loss 7.0625, time 17455.45ms, mfu 3.85%
iter 510: loss 7.1119, time 649.25ms, mfu 3.90%
iter 520: loss 6.7725, time 651.53ms, mfu 3.94%
iter 530: loss 7.3878, time 651.39ms, mfu 3.98%
iter 540: loss 7.3032, time 648.98ms, mfu 4.01%
iter 550: loss 7.0446, time 650.41ms, mfu 4.04%
iter 560: loss 6.9967, time 652.67ms, mfu 4.07%
iter 570: loss 6.7434, time 650.49ms, mfu 4.09%
iter 580: loss 6.9094, time 649.31ms, mfu 4.11%
iter 590: loss 6.6166, time 652.41ms, mfu 4.13%
iter 600: loss 6.9323, time 650.99ms, mfu 4.15%
iter 610: loss 7.4230, time 652.10ms, mfu 4.17%
iter 620: loss 7.0464, time 650.65ms, mfu 4.18%
iter 630: loss 6.2915, time 651.65ms, mfu 4.19%
iter 640: loss 6.8998, time 653.92ms, mfu 4.20%
iter 650: loss 6.8659, time 650.71ms, mfu 4.21%
iter 660: loss 7.0612, time 652.25ms, mfu 4.22%
iter 670: loss 7.1431, time 699.63ms, mfu 4.20%
iter 680: loss 6.7422, time 653.60ms, mfu 4.21%
iter 690: loss 7.0450, time 653.43ms, mfu 4.22%
iter 700: loss 7.0746, time 655.09ms, mfu 4.22%
iter 710: loss 7.1094, time 651.74ms, mfu 4.23%
iter 720: loss 7.3869, time 654.26ms, mfu 4.24%
iter 730: loss 6.5921, time 653.05ms, mfu 4.24%
iter 740: loss 7.1493, time 653.75ms, mfu 4.25%
iter 750: loss 6.7005, time 656.31ms, mfu 4.25%
iter 760: loss 7.2834, time 652.43ms, mfu 4.26%
iter 770: loss 6.9556, time 653.59ms, mfu 4.26%
iter 780: loss 6.3852, time 655.30ms, mfu 4.26%
iter 790: loss 7.0016, time 654.89ms, mfu 4.26%
iter 800: loss 7.6301, time 653.28ms, mfu 4.27%
iter 810: loss 7.7428, time 653.11ms, mfu 4.27%
iter 820: loss 7.0590, time 653.36ms, mfu 4.27%
iter 830: loss 6.6307, time 653.63ms, mfu 4.27%
iter 840: loss 7.7744, time 652.75ms, mfu 4.28%
iter 850: loss 6.9229, time 653.33ms, mfu 4.28%
iter 860: loss 6.6968, time 653.26ms, mfu 4.28%
iter 870: loss 7.1057, time 653.23ms, mfu 4.28%
iter 880: loss 6.6260, time 653.49ms, mfu 4.28%
iter 890: loss 6.7796, time 654.17ms, mfu 4.28%
iter 900: loss 6.7856, time 653.96ms, mfu 4.28%
iter 910: loss 6.9908, time 655.14ms, mfu 4.28%
iter 920: loss 6.6199, time 653.09ms, mfu 4.28%
iter 930: loss 6.6014, time 655.25ms, mfu 4.28%
iter 940: loss 6.2498, time 653.34ms, mfu 4.29%
iter 950: loss 6.4653, time 652.09ms, mfu 4.29%
iter 960: loss 6.8334, time 654.57ms, mfu 4.29%
iter 970: loss 6.7120, time 653.15ms, mfu 4.29%
iter 980: loss 6.6190, time 652.68ms, mfu 4.29%
iter 990: loss 6.7907, time 652.88ms, mfu 4.29%
step 1000: train loss 6.5956, val loss 6.6110
saving checkpoint to out
iter 1000: loss 5.9967, time 17446.57ms, mfu 3.88%
iter 1010: loss 6.8404, time 650.08ms, mfu 3.92%
iter 1020: loss 6.8610, time 649.28ms, mfu 3.96%
iter 1030: loss 7.1481, time 651.58ms, mfu 4.00%
iter 1040: loss 6.5326, time 650.54ms, mfu 4.03%
iter 1050: loss 6.5498, time 652.37ms, mfu 4.05%
iter 1060: loss 6.2703, time 651.20ms, mfu 4.08%
iter 1070: loss 6.3873, time 650.28ms, mfu 4.10%
iter 1080: loss 6.5224, time 649.79ms, mfu 4.12%
iter 1090: loss 6.7646, time 652.36ms, mfu 4.14%
iter 1100: loss 6.5222, time 651.52ms, mfu 4.16%
iter 1110: loss 6.6618, time 651.62ms, mfu 4.17%
iter 1120: loss 6.4096, time 653.51ms, mfu 4.19%
iter 1130: loss 6.6323, time 652.75ms, mfu 4.20%
iter 1140: loss 6.9954, time 653.06ms, mfu 4.21%
iter 1150: loss 6.4561, time 653.74ms, mfu 4.21%
iter 1160: loss 6.7014, time 653.51ms, mfu 4.22%
iter 1170: loss 6.7936, time 654.22ms, mfu 4.23%
iter 1180: loss 6.2610, time 652.30ms, mfu 4.24%
iter 1190: loss 6.6183, time 832.28ms, mfu 4.15%
iter 1200: loss 6.7749, time 654.20ms, mfu 4.16%
iter 1210: loss 6.5786, time 655.02ms, mfu 4.18%
iter 1220: loss 6.5263, time 652.14ms, mfu 4.19%
iter 1230: loss 6.2436, time 653.28ms, mfu 4.20%
iter 1240: loss 6.7574, time 653.68ms, mfu 4.21%
iter 1250: loss 6.3154, time 655.12ms, mfu 4.22%
iter 1260: loss 6.6425, time 654.23ms, mfu 4.22%
iter 1270: loss 6.1726, time 652.24ms, mfu 4.23%
iter 1280: loss 6.3405, time 653.63ms, mfu 4.24%
iter 1290: loss 6.6105, time 655.91ms, mfu 4.24%
iter 1300: loss 6.5552, time 653.79ms, mfu 4.25%
iter 1310: loss 6.1741, time 653.70ms, mfu 4.25%
iter 1320: loss 6.5114, time 653.15ms, mfu 4.25%
iter 1330: loss 6.2498, time 652.92ms, mfu 4.26%
iter 1340: loss 6.0327, time 655.84ms, mfu 4.26%
iter 1350: loss 5.9735, time 823.14ms, mfu 4.18%
iter 1360: loss 6.5621, time 654.85ms, mfu 4.19%
iter 1370: loss 6.8505, time 652.16ms, mfu 4.20%
iter 1380: loss 6.1667, time 654.41ms, mfu 4.21%
iter 1390: loss 6.4007, time 654.04ms, mfu 4.22%
iter 1400: loss 6.4062, time 652.06ms, mfu 4.22%
iter 1410: loss 6.1870, time 651.87ms, mfu 4.23%
iter 1420: loss 5.8709, time 651.81ms, mfu 4.24%
iter 1430: loss 6.8540, time 652.93ms, mfu 4.24%
iter 1440: loss 6.3887, time 653.59ms, mfu 4.25%
iter 1450: loss 7.0554, time 653.13ms, mfu 4.25%
iter 1460: loss 6.4513, time 652.51ms, mfu 4.26%
iter 1470: loss 6.7124, time 654.80ms, mfu 4.26%
iter 1480: loss 6.9240, time 655.33ms, mfu 4.26%
iter 1490: loss 6.3425, time 655.67ms, mfu 4.26%
step 1500: train loss 6.3590, val loss 6.3895
saving checkpoint to out
iter 1500: loss 6.2579, time 17572.11ms, mfu 3.85%
iter 1510: loss 6.3949, time 651.18ms, mfu 3.90%
iter 1520: loss 6.5122, time 650.22ms, mfu 3.94%
iter 1530: loss 6.4190, time 651.66ms, mfu 3.98%
iter 1540: loss 6.6145, time 649.77ms, mfu 4.01%
iter 1550: loss 5.9956, time 650.98ms, mfu 4.04%
iter 1560: loss 6.1955, time 651.61ms, mfu 4.07%
iter 1570: loss 7.1553, time 649.98ms, mfu 4.09%
iter 1580: loss 6.3075, time 650.09ms, mfu 4.11%
iter 1590: loss 6.1433, time 651.27ms, mfu 4.13%
iter 1600: loss 6.3707, time 650.70ms, mfu 4.15%
iter 1610: loss 6.2577, time 650.41ms, mfu 4.17%
iter 1620: loss 6.1613, time 652.29ms, mfu 4.18%
iter 1630: loss 6.0820, time 653.29ms, mfu 4.19%
iter 1640: loss 6.2698, time 652.21ms, mfu 4.20%
iter 1650: loss 6.2636, time 653.12ms, mfu 4.21%
iter 1660: loss 6.3512, time 652.91ms, mfu 4.22%
iter 1670: loss 6.0757, time 653.66ms, mfu 4.23%
iter 1680: loss 6.6175, time 654.74ms, mfu 4.23%
iter 1690: loss 6.6605, time 653.28ms, mfu 4.24%
iter 1700: loss 6.4726, time 654.64ms, mfu 4.24%
iter 1710: loss 6.4482, time 654.49ms, mfu 4.25%
iter 1720: loss 6.4637, time 655.55ms, mfu 4.25%
iter 1730: loss 6.3017, time 653.28ms, mfu 4.26%
iter 1740: loss 6.7834, time 654.12ms, mfu 4.26%
iter 1750: loss 6.7619, time 655.47ms, mfu 4.26%
iter 1760: loss 6.1066, time 655.61ms, mfu 4.26%
iter 1770: loss 6.3980, time 653.54ms, mfu 4.27%
iter 1780: loss 6.2222, time 653.28ms, mfu 4.27%
iter 1790: loss 5.8025, time 651.22ms, mfu 4.27%
iter 1800: loss 6.2737, time 652.27ms, mfu 4.28%
iter 1810: loss 6.3441, time 655.50ms, mfu 4.28%
iter 1820: loss 6.1946, time 654.05ms, mfu 4.28%
iter 1830: loss 5.9171, time 653.78ms, mfu 4.28%
iter 1840: loss 6.1550, time 653.93ms, mfu 4.28%
iter 1850: loss 6.0662, time 653.41ms, mfu 4.28%
iter 1860: loss 6.0234, time 653.65ms, mfu 4.28%
iter 1870: loss 6.5671, time 653.84ms, mfu 4.28%
iter 1880: loss 6.2720, time 651.75ms, mfu 4.29%
iter 1890: loss 6.5884, time 654.73ms, mfu 4.29%
iter 1900: loss 6.2622, time 654.19ms, mfu 4.29%
iter 1910: loss 6.0078, time 652.54ms, mfu 4.29%
iter 1920: loss 5.6731, time 653.66ms, mfu 4.29%
iter 1930: loss 6.1199, time 652.44ms, mfu 4.29%
iter 1940: loss 6.2165, time 653.81ms, mfu 4.29%
iter 1950: loss 6.3786, time 652.96ms, mfu 4.29%
iter 1960: loss 5.9976, time 654.34ms, mfu 4.29%
iter 1970: loss 6.3878, time 656.64ms, mfu 4.29%
iter 1980: loss 6.7819, time 654.23ms, mfu 4.29%
iter 1990: loss 5.9692, time 655.57ms, mfu 4.29%
step 2000: train loss 6.1661, val loss 6.1720
saving checkpoint to out
iter 2000: loss 6.5925, time 17531.31ms, mfu 3.87%
iter 2010: loss 5.9789, time 651.80ms, mfu 3.92%
iter 2020: loss 6.5710, time 652.00ms, mfu 3.96%
iter 2030: loss 6.0225, time 650.44ms, mfu 3.99%
iter 2040: loss 5.9207, time 651.31ms, mfu 4.02%
iter 2050: loss 6.1841, time 650.57ms, mfu 4.05%
iter 2060: loss 5.9592, time 652.51ms, mfu 4.08%
iter 2070: loss 6.5424, time 651.03ms, mfu 4.10%
iter 2080: loss 6.4814, time 650.05ms, mfu 4.12%
iter 2090: loss 5.9950, time 651.59ms, mfu 4.14%
iter 2100: loss 6.0309, time 651.96ms, mfu 4.16%
iter 2110: loss 5.9733, time 651.62ms, mfu 4.17%
iter 2120: loss 6.1482, time 652.31ms, mfu 4.18%
iter 2130: loss 6.3885, time 650.32ms, mfu 4.20%
iter 2140: loss 6.1248, time 651.37ms, mfu 4.21%
iter 2150: loss 6.6086, time 651.43ms, mfu 4.22%
iter 2160: loss 5.9199, time 651.02ms, mfu 4.23%
iter 2170: loss 6.1170, time 651.44ms, mfu 4.23%
iter 2180: loss 6.0649, time 652.06ms, mfu 4.24%
iter 2190: loss 6.4294, time 652.19ms, mfu 4.25%
iter 2200: loss 6.1884, time 651.83ms, mfu 4.25%
iter 2210: loss 6.0999, time 651.34ms, mfu 4.26%
iter 2220: loss 6.2295, time 652.63ms, mfu 4.26%
iter 2230: loss 6.0535, time 653.11ms, mfu 4.27%
iter 2240: loss 6.1834, time 652.58ms, mfu 4.27%
iter 2250: loss 5.8933, time 651.30ms, mfu 4.27%
iter 2260: loss 6.3323, time 654.25ms, mfu 4.27%
iter 2270: loss 5.6393, time 652.89ms, mfu 4.28%
iter 2280: loss 5.8724, time 652.60ms, mfu 4.28%
iter 2290: loss 6.4303, time 652.66ms, mfu 4.28%
iter 2300: loss 5.9380, time 652.53ms, mfu 4.28%
iter 2310: loss 6.2194, time 653.06ms, mfu 4.28%
iter 2320: loss 6.4258, time 651.24ms, mfu 4.29%
iter 2330: loss 5.8246, time 652.43ms, mfu 4.29%
iter 2340: loss 6.5390, time 654.94ms, mfu 4.29%
iter 2350: loss 6.0983, time 651.28ms, mfu 4.29%
iter 2360: loss 6.6934, time 651.49ms, mfu 4.29%
iter 2370: loss 6.1018, time 651.86ms, mfu 4.29%
iter 2380: loss 6.1734, time 651.72ms, mfu 4.29%
iter 2390: loss 5.9136, time 651.77ms, mfu 4.29%
iter 2400: loss 6.0500, time 650.17ms, mfu 4.30%
iter 2410: loss 5.9915, time 653.36ms, mfu 4.30%
iter 2420: loss 6.3661, time 652.63ms, mfu 4.30%
iter 2430: loss 5.8230, time 651.14ms, mfu 4.30%
iter 2440: loss 6.8110, time 650.73ms, mfu 4.30%
iter 2450: loss 5.8478, time 653.48ms, mfu 4.30%
iter 2460: loss 5.2325, time 652.28ms, mfu 4.30%
iter 2470: loss 5.8403, time 652.57ms, mfu 4.30%
iter 2480: loss 6.4775, time 653.16ms, mfu 4.30%
iter 2490: loss 5.7529, time 651.37ms, mfu 4.30%
step 2500: train loss 6.1051, val loss 6.1461
saving checkpoint to out
iter 2500: loss 6.2897, time 17522.97ms, mfu 3.89%
iter 2510: loss 5.9757, time 647.50ms, mfu 3.93%
iter 2520: loss 6.0522, time 648.25ms, mfu 3.97%
iter 2530: loss 5.7408, time 649.96ms, mfu 4.00%
iter 2540: loss 6.5338, time 651.43ms, mfu 4.03%
iter 2550: loss 5.9195, time 652.46ms, mfu 4.06%
iter 2560: loss 6.1781, time 651.12ms, mfu 4.09%
iter 2570: loss 6.2438, time 649.37ms, mfu 4.11%
iter 2580: loss 6.1618, time 652.13ms, mfu 4.13%
iter 2590: loss 6.0856, time 653.98ms, mfu 4.14%
iter 2600: loss 5.2398, time 650.05ms, mfu 4.16%
iter 2610: loss 5.9284, time 651.76ms, mfu 4.18%
iter 2620: loss 6.6890, time 654.29ms, mfu 4.19%
iter 2630: loss 6.3063, time 651.87ms, mfu 4.20%
iter 2640: loss 5.5426, time 651.42ms, mfu 4.21%
iter 2650: loss 5.5591, time 653.97ms, mfu 4.22%
iter 2660: loss 6.1780, time 651.04ms, mfu 4.23%
iter 2670: loss 5.9315, time 649.95ms, mfu 4.24%
iter 2680: loss 6.0434, time 653.37ms, mfu 4.24%
