step 0: train loss 10.9873, val loss 10.9915
iter 0: loss 10.9988, time 16378.42ms, mfu -100.00%
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
iter 10: loss 9.8349, time 647.37ms, mfu 4.33%
iter 20: loss 9.4180, time 648.40ms, mfu 4.33%
iter 30: loss 8.8790, time 651.24ms, mfu 4.33%
iter 40: loss 8.7514, time 654.62ms, mfu 4.33%
iter 50: loss 8.2067, time 654.96ms, mfu 4.32%
iter 60: loss 8.4322, time 656.31ms, mfu 4.32%
iter 70: loss 8.4324, time 656.87ms, mfu 4.31%
iter 80: loss 8.1339, time 657.67ms, mfu 4.31%
iter 90: loss 7.9304, time 658.41ms, mfu 4.30%
iter 100: loss 7.9666, time 659.80ms, mfu 4.30%
iter 110: loss 8.5696, time 658.68ms, mfu 4.29%
iter 120: loss 8.3044, time 660.11ms, mfu 4.29%
iter 130: loss 8.3162, time 660.44ms, mfu 4.29%
iter 140: loss 8.1504, time 657.33ms, mfu 4.28%
iter 150: loss 8.1517, time 660.27ms, mfu 4.28%
iter 160: loss 8.2206, time 659.32ms, mfu 4.28%
iter 170: loss 8.5854, time 660.38ms, mfu 4.27%
iter 180: loss 8.5362, time 661.17ms, mfu 4.27%
iter 190: loss 10.8602, time 660.76ms, mfu 4.27%
iter 200: loss 7.9999, time 662.18ms, mfu 4.27%
iter 210: loss 8.7814, time 661.89ms, mfu 4.26%
iter 220: loss 8.5609, time 662.16ms, mfu 4.26%
iter 230: loss 8.4626, time 661.72ms, mfu 4.26%
iter 240: loss 8.0057, time 662.13ms, mfu 4.26%
iter 250: loss 7.8255, time 662.62ms, mfu 4.25%
iter 260: loss 7.6287, time 664.43ms, mfu 4.25%
iter 270: loss 7.9377, time 663.56ms, mfu 4.25%
iter 280: loss 7.7619, time 661.43ms, mfu 4.25%
iter 290: loss 7.5559, time 658.58ms, mfu 4.25%
iter 300: loss 7.6232, time 661.47ms, mfu 4.25%
iter 310: loss 6.8613, time 664.72ms, mfu 4.25%
iter 320: loss 7.3941, time 661.71ms, mfu 4.24%
iter 330: loss 7.7196, time 660.95ms, mfu 4.24%
iter 340: loss 8.1568, time 661.36ms, mfu 4.24%
iter 350: loss 7.1449, time 663.35ms, mfu 4.24%
iter 360: loss 7.5024, time 661.56ms, mfu 4.24%
iter 370: loss 7.6254, time 661.94ms, mfu 4.24%
iter 380: loss 7.2490, time 663.32ms, mfu 4.24%
iter 390: loss 8.5736, time 665.24ms, mfu 4.24%
iter 400: loss 7.6075, time 662.09ms, mfu 4.24%
iter 410: loss 7.3764, time 662.91ms, mfu 4.24%
iter 420: loss 7.8161, time 662.31ms, mfu 4.24%
iter 430: loss 7.8373, time 662.46ms, mfu 4.24%
iter 440: loss 7.4388, time 662.93ms, mfu 4.24%
iter 450: loss 6.9569, time 662.07ms, mfu 4.24%
iter 460: loss 6.9519, time 663.63ms, mfu 4.24%
iter 470: loss 8.0353, time 664.52ms, mfu 4.23%
iter 480: loss 6.9321, time 674.39ms, mfu 4.23%
iter 490: loss 7.1653, time 661.29ms, mfu 4.23%
step 500: train loss 7.0275, val loss 7.0703
saving checkpoint to out
iter 500: loss 7.1005, time 17235.84ms, mfu 3.82%
iter 510: loss 7.2170, time 658.90ms, mfu 3.87%
iter 520: loss 6.7516, time 658.89ms, mfu 3.90%
iter 530: loss 7.6519, time 661.53ms, mfu 3.94%
iter 540: loss 7.4557, time 662.76ms, mfu 3.97%
iter 550: loss 7.1854, time 661.79ms, mfu 3.99%
iter 560: loss 7.0996, time 662.79ms, mfu 4.02%
iter 570: loss 6.7459, time 661.94ms, mfu 4.04%
iter 580: loss 6.7074, time 662.59ms, mfu 4.06%
iter 590: loss 6.6347, time 661.55ms, mfu 4.08%
iter 600: loss 6.8189, time 662.91ms, mfu 4.09%
iter 610: loss 7.5826, time 664.05ms, mfu 4.11%
iter 620: loss 7.1563, time 663.13ms, mfu 4.12%
iter 630: loss 6.0955, time 664.03ms, mfu 4.13%
iter 640: loss 7.1007, time 664.28ms, mfu 4.14%
iter 650: loss 6.7628, time 663.60ms, mfu 4.15%
iter 660: loss 6.8949, time 663.17ms, mfu 4.16%
iter 670: loss 7.0493, time 687.32ms, mfu 4.15%
iter 680: loss 6.8578, time 664.06ms, mfu 4.16%
iter 690: loss 7.0484, time 664.77ms, mfu 4.16%
iter 700: loss 7.2311, time 664.67ms, mfu 4.17%
iter 710: loss 7.1570, time 662.65ms, mfu 4.17%
iter 720: loss 7.4304, time 663.76ms, mfu 4.18%
iter 730: loss 6.5004, time 702.56ms, mfu 4.16%
iter 740: loss 7.1602, time 665.33ms, mfu 4.17%
iter 750: loss 6.6029, time 664.66ms, mfu 4.17%
iter 760: loss 7.3182, time 662.46ms, mfu 4.18%
iter 770: loss 6.9271, time 665.73ms, mfu 4.18%
iter 780: loss 6.3524, time 662.66ms, mfu 4.19%
iter 790: loss 7.0836, time 664.77ms, mfu 4.19%
iter 800: loss 7.6584, time 662.25ms, mfu 4.20%
iter 810: loss 7.6510, time 662.44ms, mfu 4.20%
iter 820: loss 6.9166, time 665.29ms, mfu 4.20%
iter 830: loss 6.5295, time 662.80ms, mfu 4.20%
iter 840: loss 7.5915, time 664.69ms, mfu 4.21%
iter 850: loss 7.0833, time 665.19ms, mfu 4.21%
iter 860: loss 6.6781, time 664.86ms, mfu 4.21%
iter 870: loss 7.1389, time 665.28ms, mfu 4.21%
iter 880: loss 6.7134, time 664.24ms, mfu 4.21%
iter 890: loss 6.6842, time 664.78ms, mfu 4.21%
iter 900: loss 6.6986, time 665.65ms, mfu 4.21%
iter 910: loss 6.9401, time 664.57ms, mfu 4.21%
iter 920: loss 6.6423, time 665.56ms, mfu 4.21%
iter 930: loss 6.5030, time 664.98ms, mfu 4.21%
iter 940: loss 6.2496, time 665.69ms, mfu 4.21%
iter 950: loss 6.2479, time 664.95ms, mfu 4.21%
iter 960: loss 6.7854, time 663.46ms, mfu 4.22%
iter 970: loss 6.6116, time 665.30ms, mfu 4.22%
iter 980: loss 6.5616, time 662.66ms, mfu 4.22%
iter 990: loss 6.6508, time 663.17ms, mfu 4.22%
step 1000: train loss 6.7620, val loss 6.7737
saving checkpoint to out
iter 1000: loss 6.1767, time 17138.19ms, mfu 3.81%
iter 1010: loss 6.6341, time 659.15ms, mfu 3.86%
iter 1020: loss 6.7822, time 659.49ms, mfu 3.90%
iter 1030: loss 7.0302, time 661.38ms, mfu 3.93%
iter 1040: loss 6.6177, time 663.49ms, mfu 3.96%
iter 1050: loss 6.4904, time 662.83ms, mfu 3.99%
iter 1060: loss 6.3394, time 662.70ms, mfu 4.01%
iter 1070: loss 6.3447, time 663.57ms, mfu 4.03%
iter 1080: loss 6.4595, time 664.85ms, mfu 4.05%
iter 1090: loss 6.8284, time 662.18ms, mfu 4.07%
iter 1100: loss 6.3920, time 663.46ms, mfu 4.09%
iter 1110: loss 6.6217, time 663.14ms, mfu 4.10%
iter 1120: loss 6.5037, time 663.18ms, mfu 4.11%
iter 1130: loss 6.6998, time 662.57ms, mfu 4.13%
iter 1140: loss 6.9386, time 662.36ms, mfu 4.14%
iter 1150: loss 6.5734, time 664.17ms, mfu 4.15%
iter 1160: loss 6.8040, time 662.45ms, mfu 4.15%
iter 1170: loss 6.9377, time 663.16ms, mfu 4.16%
iter 1180: loss 6.3377, time 661.89ms, mfu 4.17%
iter 1190: loss 6.5850, time 808.06ms, mfu 4.10%
iter 1200: loss 6.8187, time 663.49ms, mfu 4.11%
iter 1210: loss 6.5095, time 664.05ms, mfu 4.12%
iter 1220: loss 6.4588, time 663.80ms, mfu 4.13%
iter 1230: loss 6.3117, time 662.29ms, mfu 4.14%
iter 1240: loss 6.4859, time 662.88ms, mfu 4.15%
iter 1250: loss 6.3017, time 663.57ms, mfu 4.16%
iter 1260: loss 6.5160, time 662.61ms, mfu 4.17%
iter 1270: loss 6.2683, time 665.29ms, mfu 4.17%
iter 1280: loss 6.3844, time 664.17ms, mfu 4.18%
iter 1290: loss 6.5675, time 664.29ms, mfu 4.18%
iter 1300: loss 6.3919, time 664.28ms, mfu 4.19%
iter 1310: loss 6.2008, time 662.83ms, mfu 4.19%
iter 1320: loss 6.5583, time 664.95ms, mfu 4.19%
iter 1330: loss 6.2240, time 661.98ms, mfu 4.20%
iter 1340: loss 5.9622, time 662.22ms, mfu 4.20%
iter 1350: loss 6.0446, time 665.57ms, mfu 4.20%
