step 0: train loss 10.9873, val loss 10.9915
iter 0: loss 10.9988, time 16399.11ms, mfu -100.00%
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
iter 10: loss 9.3312, time 641.29ms, mfu 4.37%
iter 20: loss 9.0838, time 642.84ms, mfu 4.37%
iter 30: loss 8.5819, time 645.34ms, mfu 4.37%
iter 40: loss 8.7113, time 644.50ms, mfu 4.37%
iter 50: loss 9.2012, time 644.88ms, mfu 4.37%
iter 60: loss 9.3800, time 644.57ms, mfu 4.37%
iter 70: loss 8.7173, time 646.68ms, mfu 4.36%
iter 80: loss 8.6663, time 645.51ms, mfu 4.36%
iter 90: loss 8.4899, time 645.92ms, mfu 4.36%
iter 100: loss 9.3640, time 646.01ms, mfu 4.36%
iter 110: loss 8.2622, time 646.75ms, mfu 4.36%
iter 120: loss 8.4405, time 646.63ms, mfu 4.35%
iter 130: loss 8.3068, time 646.67ms, mfu 4.35%
iter 140: loss 8.0142, time 646.31ms, mfu 4.35%
iter 150: loss 7.9572, time 649.54ms, mfu 4.35%
iter 160: loss 8.2434, time 650.12ms, mfu 4.34%
iter 170: loss 7.8576, time 650.48ms, mfu 4.34%
iter 180: loss 7.7376, time 647.60ms, mfu 4.34%
iter 190: loss 7.7512, time 647.92ms, mfu 4.34%
iter 200: loss 7.6290, time 649.93ms, mfu 4.34%
iter 210: loss 7.7790, time 647.53ms, mfu 4.34%
iter 220: loss 8.2248, time 651.71ms, mfu 4.33%
iter 230: loss 8.0090, time 647.09ms, mfu 4.33%
iter 240: loss 7.0022, time 648.92ms, mfu 4.33%
iter 250: loss 7.0055, time 647.50ms, mfu 4.33%
iter 260: loss 7.4022, time 648.24ms, mfu 4.33%
iter 270: loss 7.8024, time 647.63ms, mfu 4.33%
iter 280: loss 7.1296, time 648.57ms, mfu 4.33%
iter 290: loss 7.3227, time 661.36ms, mfu 4.32%
iter 300: loss 7.3279, time 648.65ms, mfu 4.32%
iter 310: loss 6.8314, time 647.98ms, mfu 4.32%
iter 320: loss 7.1041, time 648.52ms, mfu 4.32%
iter 330: loss 7.9976, time 649.54ms, mfu 4.32%
iter 340: loss 7.5445, time 648.04ms, mfu 4.32%
iter 350: loss 6.9091, time 649.62ms, mfu 4.32%
iter 360: loss 7.3405, time 648.01ms, mfu 4.32%
iter 370: loss 7.2423, time 649.88ms, mfu 4.32%
iter 380: loss 7.1251, time 649.97ms, mfu 4.32%
iter 390: loss 8.9492, time 649.52ms, mfu 4.32%
iter 400: loss 7.3067, time 647.30ms, mfu 4.32%
iter 410: loss 6.9054, time 658.13ms, mfu 4.32%
iter 420: loss 7.8417, time 650.50ms, mfu 4.32%
iter 430: loss 7.6641, time 649.33ms, mfu 4.32%
iter 440: loss 7.2557, time 647.67ms, mfu 4.32%
iter 450: loss 6.7277, time 649.82ms, mfu 4.32%
iter 460: loss 6.6069, time 648.75ms, mfu 4.32%
iter 470: loss 7.8147, time 650.20ms, mfu 4.32%
iter 480: loss 6.8551, time 670.34ms, mfu 4.31%
iter 490: loss 6.9488, time 649.31ms, mfu 4.31%
step 500: train loss 6.9983, val loss 7.0432
saving checkpoint to out
iter 500: loss 7.0939, time 17394.37ms, mfu 3.89%
iter 510: loss 7.1151, time 646.59ms, mfu 3.94%
iter 520: loss 6.5331, time 647.63ms, mfu 3.98%
iter 530: loss 7.3383, time 647.79ms, mfu 4.01%
iter 540: loss 7.2462, time 647.85ms, mfu 4.04%
iter 550: loss 6.9287, time 649.37ms, mfu 4.07%
iter 560: loss 6.8513, time 648.21ms, mfu 4.10%
iter 570: loss 6.6662, time 649.90ms, mfu 4.12%
iter 580: loss 6.6974, time 648.81ms, mfu 4.14%
iter 590: loss 6.4213, time 648.75ms, mfu 4.16%
iter 600: loss 6.7221, time 647.43ms, mfu 4.18%
iter 610: loss 7.3826, time 648.29ms, mfu 4.19%
iter 620: loss 6.8833, time 650.38ms, mfu 4.20%
iter 630: loss 6.0348, time 649.79ms, mfu 4.21%
iter 640: loss 6.7904, time 648.16ms, mfu 4.23%
iter 650: loss 6.7667, time 648.18ms, mfu 4.24%
iter 660: loss 6.9081, time 650.24ms, mfu 4.24%
iter 670: loss 6.9266, time 672.70ms, mfu 4.24%
iter 680: loss 6.6397, time 649.41ms, mfu 4.24%
iter 690: loss 7.0402, time 647.81ms, mfu 4.25%
iter 700: loss 7.0264, time 648.51ms, mfu 4.26%
iter 710: loss 6.9581, time 649.04ms, mfu 4.27%
iter 720: loss 7.2319, time 650.48ms, mfu 4.27%
iter 730: loss 6.5307, time 700.55ms, mfu 4.24%
iter 740: loss 7.0567, time 648.99ms, mfu 4.25%
iter 750: loss 6.5104, time 649.76ms, mfu 4.26%
iter 760: loss 6.9827, time 650.50ms, mfu 4.26%
iter 770: loss 6.7582, time 650.30ms, mfu 4.27%
iter 780: loss 6.2964, time 651.48ms, mfu 4.27%
iter 790: loss 6.8163, time 649.37ms, mfu 4.28%
iter 800: loss 7.4385, time 648.84ms, mfu 4.28%
iter 810: loss 7.5509, time 649.28ms, mfu 4.29%
iter 820: loss 6.8549, time 650.19ms, mfu 4.29%
iter 830: loss 6.4918, time 649.56ms, mfu 4.29%
iter 840: loss 7.4381, time 648.41ms, mfu 4.30%
iter 850: loss 6.8601, time 650.09ms, mfu 4.30%
iter 860: loss 6.5197, time 654.14ms, mfu 4.30%
iter 870: loss 7.0679, time 650.30ms, mfu 4.30%
iter 880: loss 6.5604, time 649.08ms, mfu 4.30%
iter 890: loss 6.7709, time 649.63ms, mfu 4.30%
iter 900: loss 6.6677, time 648.02ms, mfu 4.31%
iter 910: loss 6.8670, time 650.26ms, mfu 4.31%
iter 920: loss 6.5579, time 648.03ms, mfu 4.31%
iter 930: loss 6.3995, time 648.18ms, mfu 4.31%
iter 940: loss 6.1027, time 651.79ms, mfu 4.31%
iter 950: loss 6.1722, time 650.28ms, mfu 4.31%
iter 960: loss 6.6650, time 650.14ms, mfu 4.31%
iter 970: loss 6.5238, time 649.60ms, mfu 4.31%
iter 980: loss 6.5203, time 648.83ms, mfu 4.31%
iter 990: loss 6.6605, time 648.87ms, mfu 4.31%
step 1000: train loss 6.5726, val loss 6.5870
saving checkpoint to out
iter 1000: loss 5.9734, time 17064.04ms, mfu 3.90%
iter 1010: loss 6.5846, time 646.07ms, mfu 3.94%
