
step 0: train loss 10.9873, val loss 10.9915
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
iter 0: loss 10.9988, time 17891.50ms, mfu -100.00%
iter 10: loss 9.2298, time 649.31ms, mfu 4.32%
iter 20: loss 9.1100, time 649.63ms, mfu 4.32%
iter 30: loss 8.6183, time 652.05ms, mfu 4.32%
iter 40: loss 8.6409, time 649.67ms, mfu 4.32%
iter 50: loss 8.7785, time 652.74ms, mfu 4.32%
iter 60: loss 9.3346, time 652.34ms, mfu 4.31%
iter 70: loss 9.6320, time 651.93ms, mfu 4.31%
iter 80: loss 9.0675, time 652.69ms, mfu 4.31%
iter 90: loss 10.8445, time 651.75ms, mfu 4.31%
iter 100: loss 8.6896, time 654.50ms, mfu 4.31%
iter 110: loss 9.0270, time 655.17ms, mfu 4.31%
iter 120: loss 8.4707, time 654.92ms, mfu 4.30%
iter 130: loss 8.2826, time 654.94ms, mfu 4.30%
iter 140: loss 8.3874, time 654.88ms, mfu 4.30%
iter 150: loss 9.2542, time 655.22ms, mfu 4.30%
iter 160: loss 8.3806, time 654.87ms, mfu 4.30%
iter 170: loss 8.1279, time 654.17ms, mfu 4.30%
iter 180: loss 8.2771, time 653.26ms, mfu 4.30%
iter 190: loss 8.1586, time 655.04ms, mfu 4.29%
iter 200: loss 7.5417, time 654.55ms, mfu 4.29%
iter 210: loss 7.8682, time 652.81ms, mfu 4.29%
iter 220: loss 8.4710, time 671.02ms, mfu 4.28%
iter 230: loss 8.0503, time 654.79ms, mfu 4.28%
iter 240: loss 7.0327, time 654.91ms, mfu 4.28%
iter 250: loss 7.1126, time 654.17ms, mfu 4.28%
iter 260: loss 7.2882, time 653.60ms, mfu 4.28%
iter 270: loss 7.6310, time 654.82ms, mfu 4.28%
iter 280: loss 7.4548, time 655.81ms, mfu 4.28%
iter 290: loss 7.4307, time 682.84ms, mfu 4.27%
iter 300: loss 7.4522, time 654.27ms, mfu 4.27%
iter 310: loss 6.8057, time 653.40ms, mfu 4.27%
iter 320: loss 7.2859, time 654.63ms, mfu 4.27%
iter 330: loss 7.4665, time 654.20ms, mfu 4.27%
iter 340: loss 7.6788, time 653.10ms, mfu 4.28%
iter 350: loss 7.2171, time 665.95ms, mfu 4.27%
iter 360: loss 7.4009, time 654.06ms, mfu 4.27%
iter 370: loss 7.1939, time 654.40ms, mfu 4.27%
iter 380: loss 7.3760, time 653.91ms, mfu 4.27%
iter 390: loss 8.5149, time 653.18ms, mfu 4.28%
