step 0: train loss 10.9873, val loss 10.9915
iter 0: loss 10.9988, time 17138.53ms, mfu -100.00%
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
iter 10: loss 9.2923, time 645.91ms, mfu 4.34%
iter 20: loss 9.1051, time 645.17ms, mfu 4.34%
iter 30: loss 8.8547, time 645.48ms, mfu 4.34%
iter 40: loss 13.2708, time 647.11ms, mfu 4.34%
iter 50: loss 9.8322, time 646.15ms, mfu 4.34%
iter 60: loss 10.8385, time 647.59ms, mfu 4.34%
iter 70: loss 9.7027, time 648.69ms, mfu 4.34%
iter 80: loss 10.0670, time 648.62ms, mfu 4.34%
iter 90: loss 10.2736, time 648.98ms, mfu 4.34%
iter 100: loss 10.3053, time 649.58ms, mfu 4.34%
iter 110: loss 10.0152, time 648.93ms, mfu 4.33%
iter 120: loss 8.3202, time 651.39ms, mfu 4.33%
iter 130: loss 8.4263, time 648.98ms, mfu 4.33%
iter 140: loss 7.9254, time 653.65ms, mfu 4.33%
iter 150: loss 8.3655, time 650.80ms, mfu 4.33%
iter 160: loss 8.1087, time 652.92ms, mfu 4.32%
iter 170: loss 7.7440, time 651.57ms, mfu 4.32%
iter 180: loss 8.1425, time 650.64ms, mfu 4.32%
iter 190: loss 8.6303, time 654.43ms, mfu 4.32%
iter 200: loss 8.0231, time 656.31ms, mfu 4.31%
iter 210: loss 8.4392, time 653.09ms, mfu 4.31%
iter 220: loss 8.3020, time 653.27ms, mfu 4.31%
iter 230: loss 7.9647, time 653.21ms, mfu 4.31%
iter 240: loss 7.2911, time 656.96ms, mfu 4.30%
iter 250: loss 7.5449, time 652.44ms, mfu 4.30%
iter 260: loss 7.6012, time 656.38ms, mfu 4.30%
iter 270: loss 8.1281, time 656.80ms, mfu 4.30%
iter 280: loss 7.5530, time 657.33ms, mfu 4.29%
iter 290: loss 7.4249, time 657.94ms, mfu 4.29%
iter 300: loss 7.8907, time 656.64ms, mfu 4.29%
iter 310: loss 7.0278, time 655.41ms, mfu 4.29%
iter 320: loss 7.5607, time 657.06ms, mfu 4.29%
iter 330: loss 7.9450, time 657.31ms, mfu 4.28%
iter 340: loss 7.9125, time 656.56ms, mfu 4.28%
iter 350: loss 7.4564, time 658.22ms, mfu 4.28%
iter 360: loss 7.6611, time 657.43ms, mfu 4.28%
iter 370: loss 7.5897, time 658.15ms, mfu 4.28%
iter 380: loss 7.4860, time 657.25ms, mfu 4.28%
iter 390: loss 8.5038, time 657.58ms, mfu 4.28%
iter 400: loss 7.5711, time 657.61ms, mfu 4.28%
iter 410: loss 7.1530, time 657.83ms, mfu 4.27%
iter 420: loss 7.9502, time 656.74ms, mfu 4.27%
iter 430: loss 7.8654, time 656.38ms, mfu 4.27%
iter 440: loss 7.4018, time 657.68ms, mfu 4.27%
iter 450: loss 7.1203, time 656.67ms, mfu 4.27%
iter 460: loss 7.0212, time 657.12ms, mfu 4.27%
iter 470: loss 8.0612, time 654.63ms, mfu 4.27%
iter 480: loss 6.9550, time 662.38ms, mfu 4.27%
iter 490: loss 7.2132, time 656.95ms, mfu 4.27%
step 500: train loss 7.1799, val loss 7.2073
saving checkpoint to out
iter 500: loss 7.2401, time 17385.29ms, mfu 3.86%
iter 510: loss 7.4033, time 653.02ms, mfu 3.90%
iter 520: loss 6.7801, time 652.10ms, mfu 3.94%
iter 530: loss 7.4422, time 654.67ms, mfu 3.98%
iter 540: loss 7.4508, time 653.82ms, mfu 4.01%
iter 550: loss 7.1196, time 655.64ms, mfu 4.04%
iter 560: loss 6.9610, time 655.00ms, mfu 4.06%
iter 570: loss 6.8663, time 654.61ms, mfu 4.08%
iter 580: loss 6.9415, time 657.08ms, mfu 4.10%
iter 590: loss 6.6632, time 656.85ms, mfu 4.12%
iter 600: loss 6.9195, time 655.07ms, mfu 4.13%
iter 610: loss 7.5754, time 654.42ms, mfu 4.15%
iter 620: loss 7.0521, time 656.06ms, mfu 4.16%
iter 630: loss 6.2706, time 657.54ms, mfu 4.17%
iter 640: loss 6.9838, time 658.16ms, mfu 4.18%
iter 650: loss 6.9499, time 657.52ms, mfu 4.19%
iter 660: loss 7.0469, time 657.93ms, mfu 4.20%
iter 670: loss 7.0702, time 687.19ms, mfu 4.19%
iter 680: loss 6.8425, time 657.21ms, mfu 4.19%
iter 690: loss 7.1096, time 657.94ms, mfu 4.20%
iter 700: loss 7.2487, time 657.68ms, mfu 4.21%
iter 710: loss 7.0134, time 656.20ms, mfu 4.21%
iter 720: loss 7.2923, time 658.43ms, mfu 4.22%
iter 730: loss 6.6663, time 655.00ms, mfu 4.23%
iter 740: loss 7.0708, time 657.30ms, mfu 4.23%
iter 750: loss 6.5943, time 659.27ms, mfu 4.23%
iter 760: loss 7.1970, time 654.50ms, mfu 4.24%
iter 770: loss 6.8252, time 657.09ms, mfu 4.24%
iter 780: loss 6.3498, time 658.97ms, mfu 4.24%
iter 790: loss 6.8619, time 657.73ms, mfu 4.24%
iter 800: loss 7.6106, time 658.29ms, mfu 4.25%
iter 810: loss 7.6206, time 657.81ms, mfu 4.25%
iter 820: loss 6.9735, time 657.68ms, mfu 4.25%
iter 830: loss 6.5928, time 657.37ms, mfu 4.25%
iter 840: loss 7.5625, time 658.09ms, mfu 4.25%
iter 850: loss 6.9772, time 657.34ms, mfu 4.25%
iter 860: loss 6.5775, time 655.13ms, mfu 4.26%
iter 870: loss 7.1143, time 658.05ms, mfu 4.26%
iter 880: loss 6.5646, time 655.29ms, mfu 4.26%
iter 890: loss 6.7165, time 658.56ms, mfu 4.26%
iter 900: loss 6.6739, time 658.00ms, mfu 4.26%
iter 910: loss 7.0331, time 657.82ms, mfu 4.26%
iter 920: loss 6.5414, time 655.72ms, mfu 4.26%
iter 930: loss 6.5418, time 657.02ms, mfu 4.26%
iter 940: loss 6.3647, time 657.80ms, mfu 4.26%
iter 950: loss 6.2749, time 659.02ms, mfu 4.26%
iter 960: loss 6.6982, time 656.97ms, mfu 4.26%
iter 970: loss 6.5923, time 656.65ms, mfu 4.26%
iter 980: loss 6.5493, time 658.31ms, mfu 4.26%
iter 990: loss 6.7526, time 657.89ms, mfu 4.26%
step 1000: train loss 6.6106, val loss 6.6254
saving checkpoint to out
iter 1000: loss 6.0310, time 17281.88ms, mfu 3.85%
iter 1010: loss 6.6424, time 652.73ms, mfu 3.90%
iter 1020: loss 6.8355, time 656.68ms, mfu 3.94%
iter 1030: loss 7.0212, time 657.42ms, mfu 3.97%
iter 1040: loss 6.4971, time 657.44ms, mfu 4.00%
