step 0: train loss 10.9873, val loss 10.9915
iter 0: loss 10.9988, time 16496.77ms, mfu -100.00%
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
iter 10: loss 9.2311, time 643.69ms, mfu 4.36%
iter 20: loss 9.3761, time 645.05ms, mfu 4.36%
iter 30: loss 8.5777, time 645.47ms, mfu 4.36%
iter 40: loss 8.7518, time 647.34ms, mfu 4.35%
iter 50: loss 8.2457, time 646.73ms, mfu 4.35%
iter 60: loss 8.7656, time 648.23ms, mfu 4.35%
iter 70: loss 9.0379, time 649.53ms, mfu 4.35%
iter 80: loss 9.1410, time 648.20ms, mfu 4.34%
iter 90: loss 9.7126, time 649.02ms, mfu 4.34%
iter 100: loss 11.9147, time 646.85ms, mfu 4.34%
iter 110: loss 9.4317, time 647.02ms, mfu 4.34%
iter 120: loss 8.6843, time 647.37ms, mfu 4.34%
iter 130: loss 8.5118, time 649.36ms, mfu 4.34%
iter 140: loss 7.8428, time 647.75ms, mfu 4.34%
iter 150: loss 8.1221, time 650.96ms, mfu 4.34%
iter 160: loss 8.0810, time 649.36ms, mfu 4.33%
iter 170: loss 8.0409, time 649.82ms, mfu 4.33%
iter 180: loss 8.1270, time 648.38ms, mfu 4.33%
iter 190: loss 7.6619, time 647.78ms, mfu 4.33%
iter 200: loss 8.5101, time 648.48ms, mfu 4.33%
iter 210: loss 8.0245, time 647.79ms, mfu 4.33%
iter 220: loss 11.8032, time 648.35ms, mfu 4.33%
iter 230: loss 8.3133, time 649.64ms, mfu 4.33%
iter 240: loss 6.8969, time 648.69ms, mfu 4.33%
iter 250: loss 7.5705, time 648.24ms, mfu 4.33%
iter 260: loss 7.4698, time 651.14ms, mfu 4.33%
iter 270: loss 8.0348, time 647.87ms, mfu 4.33%
iter 280: loss 7.5435, time 651.08ms, mfu 4.33%
iter 290: loss 7.5158, time 650.47ms, mfu 4.32%
iter 300: loss 7.3146, time 648.88ms, mfu 4.32%
iter 310: loss 6.7286, time 647.81ms, mfu 4.32%
iter 320: loss 7.4670, time 650.55ms, mfu 4.32%
iter 330: loss 7.6960, time 648.68ms, mfu 4.32%
iter 340: loss 7.6730, time 651.04ms, mfu 4.32%
iter 350: loss 7.1929, time 647.95ms, mfu 4.32%
iter 360: loss 7.3195, time 649.11ms, mfu 4.32%
iter 370: loss 7.3578, time 648.29ms, mfu 4.32%
iter 380: loss 7.1993, time 649.11ms, mfu 4.32%
iter 390: loss 8.5116, time 648.70ms, mfu 4.32%
iter 400: loss 7.5712, time 653.33ms, mfu 4.32%
iter 410: loss 7.0479, time 664.04ms, mfu 4.31%
iter 420: loss 7.8964, time 648.67ms, mfu 4.31%
iter 430: loss 7.8108, time 649.92ms, mfu 4.31%
iter 440: loss 7.4575, time 649.48ms, mfu 4.31%
iter 450: loss 6.9293, time 649.75ms, mfu 4.31%
iter 460: loss 6.7818, time 650.39ms, mfu 4.31%
iter 470: loss 7.8667, time 649.31ms, mfu 4.31%
iter 480: loss 7.0232, time 670.50ms, mfu 4.30%
iter 490: loss 6.9443, time 651.11ms, mfu 4.30%
step 500: train loss 7.0385, val loss 7.0707
saving checkpoint to out
iter 500: loss 7.0322, time 17282.24ms, mfu 3.89%
iter 510: loss 7.0235, time 648.79ms, mfu 3.93%
iter 520: loss 6.7232, time 646.90ms, mfu 3.97%
iter 530: loss 7.3445, time 649.21ms, mfu 4.01%
iter 540: loss 7.2612, time 647.57ms, mfu 4.04%
iter 550: loss 7.0715, time 647.47ms, mfu 4.07%
iter 560: loss 6.8299, time 648.71ms, mfu 4.09%
iter 570: loss 6.7646, time 649.08ms, mfu 4.12%
iter 580: loss 6.7582, time 650.85ms, mfu 4.14%
iter 590: loss 6.5552, time 650.79ms, mfu 4.15%
iter 600: loss 6.8490, time 649.02ms, mfu 4.17%
iter 610: loss 7.4058, time 652.59ms, mfu 4.18%
iter 620: loss 7.0231, time 647.84ms, mfu 4.20%
iter 630: loss 5.9951, time 648.72ms, mfu 4.21%
iter 640: loss 6.7921, time 650.74ms, mfu 4.22%
iter 650: loss 6.9554, time 650.29ms, mfu 4.23%
iter 660: loss 7.0490, time 649.48ms, mfu 4.24%
iter 670: loss 6.9875, time 682.72ms, mfu 4.23%
iter 680: loss 6.6572, time 649.39ms, mfu 4.24%
iter 690: loss 7.0677, time 648.72ms, mfu 4.24%
iter 700: loss 7.2340, time 651.43ms, mfu 4.25%
iter 710: loss 7.1070, time 649.51ms, mfu 4.26%
iter 720: loss 7.2816, time 650.89ms, mfu 4.26%
iter 730: loss 6.7098, time 685.21ms, mfu 4.25%
iter 740: loss 7.2034, time 649.55ms, mfu 4.25%
iter 750: loss 6.7034, time 649.23ms, mfu 4.26%
iter 760: loss 7.2255, time 648.95ms, mfu 4.27%
iter 770: loss 6.8863, time 650.69ms, mfu 4.27%
iter 780: loss 6.4184, time 648.69ms, mfu 4.28%
iter 790: loss 6.9901, time 649.63ms, mfu 4.28%
iter 800: loss 7.5873, time 650.48ms, mfu 4.28%
iter 810: loss 7.6184, time 649.49ms, mfu 4.29%
iter 820: loss 7.0551, time 651.78ms, mfu 4.29%
iter 830: loss 6.5101, time 649.08ms, mfu 4.29%
iter 840: loss 7.5716, time 650.74ms, mfu 4.29%
iter 850: loss 6.8442, time 649.29ms, mfu 4.30%
iter 860: loss 6.5586, time 649.57ms, mfu 4.30%
iter 870: loss 7.1676, time 651.21ms, mfu 4.30%
iter 880: loss 6.6331, time 648.94ms, mfu 4.30%
iter 890: loss 6.6894, time 652.11ms, mfu 4.30%
iter 900: loss 6.7819, time 650.80ms, mfu 4.30%
iter 910: loss 6.9072, time 649.25ms, mfu 4.30%
iter 920: loss 6.4365, time 649.23ms, mfu 4.31%
iter 930: loss 6.4687, time 649.96ms, mfu 4.31%
iter 940: loss 6.2505, time 648.73ms, mfu 4.31%
iter 950: loss 6.2238, time 649.48ms, mfu 4.31%
iter 960: loss 6.6613, time 649.77ms, mfu 4.31%
iter 970: loss 6.7100, time 651.59ms, mfu 4.31%
iter 980: loss 6.5117, time 648.99ms, mfu 4.31%
iter 990: loss 6.7972, time 649.37ms, mfu 4.31%
step 1000: train loss 6.6208, val loss 6.6393
saving checkpoint to out
iter 1000: loss 6.0328, time 17288.28ms, mfu 3.90%
iter 1010: loss 6.7787, time 647.82ms, mfu 3.94%
iter 1020: loss 6.7839, time 650.45ms, mfu 3.98%
iter 1030: loss 7.2401, time 647.32ms, mfu 4.01%
iter 1040: loss 6.5637, time 648.13ms, mfu 4.05%
iter 1050: loss 6.5813, time 648.95ms, mfu 4.07%
iter 1060: loss 6.1463, time 647.74ms, mfu 4.10%
iter 1070: loss 6.2581, time 648.10ms, mfu 4.12%
iter 1080: loss 6.4842, time 650.19ms, mfu 4.14%
iter 1090: loss 6.6542, time 647.74ms, mfu 4.16%
iter 1100: loss 6.4399, time 649.31ms, mfu 4.18%
iter 1110: loss 6.5717, time 648.38ms, mfu 4.19%
iter 1120: loss 6.3766, time 648.74ms, mfu 4.20%
iter 1130: loss 6.6691, time 649.35ms, mfu 4.22%
iter 1140: loss 6.9855, time 649.73ms, mfu 4.23%
iter 1150: loss 6.4223, time 648.80ms, mfu 4.24%
iter 1160: loss 6.6555, time 651.26ms, mfu 4.24%
iter 1170: loss 6.7628, time 650.14ms, mfu 4.25%
iter 1180: loss 6.2115, time 650.05ms, mfu 4.26%
iter 1190: loss 6.5431, time 801.52ms, mfu 4.18%
iter 1200: loss 6.7871, time 648.25ms, mfu 4.20%
iter 1210: loss 6.6101, time 650.09ms, mfu 4.21%
iter 1220: loss 6.5840, time 651.36ms, mfu 4.22%
iter 1230: loss 6.2040, time 648.59ms, mfu 4.23%
iter 1240: loss 6.4954, time 650.69ms, mfu 4.24%
iter 1250: loss 6.2988, time 649.32ms, mfu 4.25%
iter 1260: loss 6.5330, time 650.77ms, mfu 4.25%
iter 1270: loss 6.0804, time 651.55ms, mfu 4.26%
iter 1280: loss 6.3405, time 649.70ms, mfu 4.26%
iter 1290: loss 6.5575, time 649.72ms, mfu 4.27%
iter 1300: loss 6.3714, time 648.65ms, mfu 4.27%
iter 1310: loss 6.1106, time 650.58ms, mfu 4.28%
iter 1320: loss 6.5062, time 650.69ms, mfu 4.28%
iter 1330: loss 6.2676, time 651.14ms, mfu 4.28%
iter 1340: loss 5.9700, time 649.66ms, mfu 4.29%
iter 1350: loss 5.9729, time 650.51ms, mfu 4.29%
iter 1360: loss 6.5455, time 649.98ms, mfu 4.29%
iter 1370: loss 6.7092, time 648.59ms, mfu 4.30%
iter 1380: loss 6.0484, time 649.01ms, mfu 4.30%
iter 1390: loss 6.3509, time 650.40ms, mfu 4.30%
iter 1400: loss 6.2787, time 649.57ms, mfu 4.30%
iter 1410: loss 6.2743, time 651.50ms, mfu 4.30%
iter 1420: loss 5.9894, time 648.80ms, mfu 4.30%
iter 1430: loss 6.7917, time 649.41ms, mfu 4.31%
iter 1440: loss 6.2828, time 648.95ms, mfu 4.31%
iter 1450: loss 6.9821, time 649.06ms, mfu 4.31%
iter 1460: loss 6.3390, time 649.90ms, mfu 4.31%
iter 1470: loss 6.4862, time 649.12ms, mfu 4.31%
iter 1480: loss 6.8910, time 649.54ms, mfu 4.31%
iter 1490: loss 6.2707, time 649.66ms, mfu 4.31%
step 1500: train loss 6.3451, val loss 6.3695
saving checkpoint to out
iter 1500: loss 6.2437, time 17237.72ms, mfu 3.90%
iter 1510: loss 6.2571, time 651.00ms, mfu 3.94%
iter 1520: loss 6.5038, time 646.81ms, mfu 3.98%
iter 1530: loss 6.2497, time 650.69ms, mfu 4.01%
iter 1540: loss 6.5696, time 647.66ms, mfu 4.04%
iter 1550: loss 5.9599, time 650.24ms, mfu 4.07%
iter 1560: loss 6.1233, time 648.62ms, mfu 4.10%
iter 1570: loss 7.0746, time 648.95ms, mfu 4.12%
iter 1580: loss 6.2696, time 647.53ms, mfu 4.14%
iter 1590: loss 6.0441, time 648.97ms, mfu 4.16%
iter 1600: loss 6.2826, time 651.01ms, mfu 4.17%
iter 1610: loss 6.2468, time 652.01ms, mfu 4.19%
iter 1620: loss 6.0930, time 649.49ms, mfu 4.20%
iter 1630: loss 5.9237, time 650.74ms, mfu 4.21%
iter 1640: loss 6.2197, time 650.08ms, mfu 4.22%
iter 1650: loss 6.2390, time 649.54ms, mfu 4.23%
iter 1660: loss 6.2692, time 649.29ms, mfu 4.24%
iter 1670: loss 5.9617, time 649.91ms, mfu 4.25%
iter 1680: loss 6.5184, time 649.73ms, mfu 4.25%
iter 1690: loss 6.5472, time 649.41ms, mfu 4.26%
iter 1700: loss 6.3071, time 649.80ms, mfu 4.27%
iter 1710: loss 6.4217, time 650.44ms, mfu 4.27%
iter 1720: loss 6.3778, time 649.36ms, mfu 4.28%
iter 1730: loss 6.2732, time 650.59ms, mfu 4.28%
iter 1740: loss 6.6740, time 649.34ms, mfu 4.28%
iter 1750: loss 6.6427, time 649.71ms, mfu 4.29%
iter 1760: loss 6.0946, time 648.25ms, mfu 4.29%
iter 1770: loss 6.3447, time 648.70ms, mfu 4.29%
iter 1780: loss 6.1495, time 650.52ms, mfu 4.30%
iter 1790: loss 5.7909, time 648.84ms, mfu 4.30%
iter 1800: loss 6.2114, time 649.26ms, mfu 4.30%
iter 1810: loss 6.2665, time 648.63ms, mfu 4.30%
iter 1820: loss 6.1796, time 649.45ms, mfu 4.31%
iter 1830: loss 5.9173, time 649.75ms, mfu 4.31%
iter 1840: loss 6.1047, time 650.50ms, mfu 4.31%
iter 1850: loss 6.0137, time 649.41ms, mfu 4.31%
iter 1860: loss 6.0820, time 649.12ms, mfu 4.31%
iter 1870: loss 6.6010, time 649.16ms, mfu 4.31%
iter 1880: loss 6.2419, time 649.42ms, mfu 4.31%
iter 1890: loss 6.4457, time 649.10ms, mfu 4.31%
iter 1900: loss 6.1715, time 649.44ms, mfu 4.31%
iter 1910: loss 5.9742, time 649.55ms, mfu 4.31%
iter 1920: loss 5.5439, time 652.16ms, mfu 4.31%
iter 1930: loss 5.9941, time 651.24ms, mfu 4.31%
iter 1940: loss 5.9713, time 648.96ms, mfu 4.31%
iter 1950: loss 6.2234, time 650.41ms, mfu 4.31%
iter 1960: loss 5.8985, time 648.58ms, mfu 4.31%
iter 1970: loss 6.2545, time 649.72ms, mfu 4.31%
iter 1980: loss 6.7212, time 648.95ms, mfu 4.32%
iter 1990: loss 5.8911, time 648.06ms, mfu 4.32%
step 2000: train loss 6.1008, val loss 6.1071
saving checkpoint to out
iter 2000: loss 6.4683, time 17255.07ms, mfu 3.90%
iter 2010: loss 5.8418, time 647.68ms, mfu 3.94%
iter 2020: loss 6.5464, time 650.50ms, mfu 3.98%
iter 2030: loss 5.9613, time 648.06ms, mfu 4.02%
iter 2040: loss 5.7664, time 647.92ms, mfu 4.05%
iter 2050: loss 6.0964, time 648.50ms, mfu 4.08%
iter 2060: loss 5.9255, time 649.67ms, mfu 4.10%
iter 2070: loss 6.4998, time 648.35ms, mfu 4.12%
iter 2080: loss 6.4465, time 648.11ms, mfu 4.14%
iter 2090: loss 5.8834, time 649.59ms, mfu 4.16%
iter 2100: loss 6.0250, time 651.00ms, mfu 4.18%
iter 2110: loss 5.8045, time 650.88ms, mfu 4.19%
iter 2120: loss 6.0621, time 649.58ms, mfu 4.20%
iter 2130: loss 6.3266, time 648.82ms, mfu 4.21%
iter 2140: loss 6.0680, time 651.29ms, mfu 4.22%
iter 2150: loss 6.4694, time 648.56ms, mfu 4.23%
iter 2160: loss 5.8039, time 649.35ms, mfu 4.24%
iter 2170: loss 6.2093, time 651.43ms, mfu 4.25%
iter 2180: loss 6.0153, time 648.44ms, mfu 4.26%
iter 2190: loss 6.4529, time 649.56ms, mfu 4.26%
iter 2200: loss 6.1257, time 650.78ms, mfu 4.27%
iter 2210: loss 6.1052, time 649.49ms, mfu 4.27%
iter 2220: loss 6.1582, time 650.72ms, mfu 4.28%
iter 2230: loss 6.0580, time 649.50ms, mfu 4.28%
iter 2240: loss 6.1023, time 648.99ms, mfu 4.29%
iter 2250: loss 5.8169, time 648.52ms, mfu 4.29%
iter 2260: loss 6.2649, time 649.45ms, mfu 4.29%
iter 2270: loss 5.6436, time 649.15ms, mfu 4.30%
iter 2280: loss 5.9085, time 649.30ms, mfu 4.30%
iter 2290: loss 6.4044, time 648.90ms, mfu 4.30%
iter 2300: loss 5.8034, time 648.63ms, mfu 4.30%
iter 2310: loss 6.0139, time 648.73ms, mfu 4.30%
iter 2320: loss 6.3451, time 648.59ms, mfu 4.31%
iter 2330: loss 5.7641, time 650.85ms, mfu 4.31%
iter 2340: loss 6.4971, time 648.74ms, mfu 4.31%
iter 2350: loss 5.9356, time 649.38ms, mfu 4.31%
iter 2360: loss 6.6381, time 649.21ms, mfu 4.31%
iter 2370: loss 5.9517, time 648.67ms, mfu 4.31%
iter 2380: loss 6.1383, time 649.41ms, mfu 4.31%
iter 2390: loss 5.8908, time 649.57ms, mfu 4.31%
iter 2400: loss 5.9812, time 649.82ms, mfu 4.31%
iter 2410: loss 5.9163, time 650.98ms, mfu 4.31%
iter 2420: loss 6.2376, time 649.89ms, mfu 4.31%
iter 2430: loss 5.7566, time 651.22ms, mfu 4.31%
iter 2440: loss 6.7246, time 650.83ms, mfu 4.31%
iter 2450: loss 5.8097, time 650.48ms, mfu 4.31%
iter 2460: loss 5.1501, time 648.26ms, mfu 4.31%
iter 2470: loss 5.8175, time 650.14ms, mfu 4.31%
iter 2480: loss 6.4629, time 651.61ms, mfu 4.31%
iter 2490: loss 5.7063, time 648.97ms, mfu 4.31%
step 2500: train loss 5.9849, val loss 6.0251
saving checkpoint to out
iter 2500: loss 6.1372, time 17270.46ms, mfu 3.90%
iter 2510: loss 5.8951, time 649.43ms, mfu 3.94%
iter 2520: loss 5.9961, time 649.25ms, mfu 3.98%
iter 2530: loss 5.6583, time 647.11ms, mfu 4.01%
iter 2540: loss 6.4584, time 647.66ms, mfu 4.05%
iter 2550: loss 5.8434, time 648.63ms, mfu 4.07%
iter 2560: loss 6.0118, time 648.56ms, mfu 4.10%
iter 2570: loss 6.1627, time 648.90ms, mfu 4.12%
iter 2580: loss 6.0896, time 648.00ms, mfu 4.14%
iter 2590: loss 6.0501, time 649.01ms, mfu 4.16%
iter 2600: loss 5.1903, time 648.06ms, mfu 4.18%
iter 2610: loss 5.9128, time 650.21ms, mfu 4.19%
iter 2620: loss 6.6615, time 651.62ms, mfu 4.20%
iter 2630: loss 6.2861, time 649.51ms, mfu 4.21%
iter 2640: loss 5.5016, time 650.87ms, mfu 4.22%
iter 2650: loss 5.5447, time 651.06ms, mfu 4.23%
iter 2660: loss 6.0831, time 650.60ms, mfu 4.24%
iter 2670: loss 5.9256, time 648.48ms, mfu 4.25%
iter 2680: loss 5.9435, time 648.94ms, mfu 4.26%
iter 2690: loss 6.0944, time 651.09ms, mfu 4.26%
iter 2700: loss 6.1592, time 648.92ms, mfu 4.27%
iter 2710: loss 6.2598, time 649.71ms, mfu 4.27%
iter 2720: loss 6.0884, time 648.44ms, mfu 4.28%
iter 2730: loss 5.7749, time 651.20ms, mfu 4.28%
iter 2740: loss 5.9609, time 649.99ms, mfu 4.28%
iter 2750: loss 6.2711, time 650.45ms, mfu 4.29%
iter 2760: loss 5.6901, time 651.18ms, mfu 4.29%
iter 2770: loss 5.7443, time 648.67ms, mfu 4.29%
iter 2780: loss 5.7786, time 650.11ms, mfu 4.30%
iter 2790: loss 5.3708, time 648.20ms, mfu 4.30%
iter 2800: loss 5.9394, time 648.80ms, mfu 4.30%
iter 2810: loss 6.1535, time 651.84ms, mfu 4.30%
iter 2820: loss 6.4235, time 649.70ms, mfu 4.30%
iter 2830: loss 5.9603, time 648.72ms, mfu 4.31%
iter 2840: loss 5.4249, time 650.46ms, mfu 4.31%
iter 2850: loss 5.6162, time 648.29ms, mfu 4.31%
iter 2860: loss 5.6459, time 650.02ms, mfu 4.31%
iter 2870: loss 5.5741, time 649.85ms, mfu 4.31%
iter 2880: loss 5.6153, time 649.15ms, mfu 4.31%
iter 2890: loss 5.8143, time 648.75ms, mfu 4.31%
iter 2900: loss 5.8371, time 650.80ms, mfu 4.31%
iter 2910: loss 6.0768, time 651.38ms, mfu 4.31%
iter 2920: loss 5.8199, time 648.93ms, mfu 4.31%
iter 2930: loss 5.9925, time 650.48ms, mfu 4.31%
iter 2940: loss 5.7852, time 648.52ms, mfu 4.31%
iter 2950: loss 5.3313, time 650.34ms, mfu 4.31%
iter 2960: loss 5.3558, time 648.87ms, mfu 4.31%
iter 2970: loss 5.7212, time 649.94ms, mfu 4.32%
iter 2980: loss 5.8893, time 648.98ms, mfu 4.32%
