step 0: train loss 10.9873, val loss 10.9915
iter 0: loss 10.9988, time 16406.84ms, mfu -100.00%
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
iter 10: loss 9.7378, time 648.83ms, mfu 4.32%
iter 20: loss 9.1114, time 649.86ms, mfu 4.32%
iter 30: loss 8.6737, time 652.56ms, mfu 4.32%
iter 40: loss 8.5826, time 655.43ms, mfu 4.32%
iter 50: loss 8.4384, time 656.38ms, mfu 4.31%
iter 60: loss 8.6626, time 658.02ms, mfu 4.31%
iter 70: loss 8.7254, time 657.34ms, mfu 4.30%
iter 80: loss 8.7676, time 654.66ms, mfu 4.30%
iter 90: loss 10.2053, time 659.06ms, mfu 4.30%
iter 100: loss 8.5631, time 658.98ms, mfu 4.29%
iter 110: loss 10.3739, time 659.02ms, mfu 4.29%
iter 120: loss 9.7242, time 660.05ms, mfu 4.29%
iter 130: loss 8.7081, time 660.21ms, mfu 4.28%
iter 140: loss 9.0834, time 660.41ms, mfu 4.28%
iter 150: loss 8.9539, time 658.29ms, mfu 4.28%
iter 160: loss 11.6480, time 659.89ms, mfu 4.27%
iter 170: loss 9.1959, time 660.34ms, mfu 4.27%
iter 180: loss 9.3256, time 660.18ms, mfu 4.27%
iter 190: loss 8.4610, time 659.51ms, mfu 4.27%
iter 200: loss 8.0896, time 660.19ms, mfu 4.27%
iter 210: loss 9.4674, time 658.06ms, mfu 4.27%
iter 220: loss 10.5402, time 659.21ms, mfu 4.26%
iter 230: loss 8.8290, time 660.53ms, mfu 4.26%
iter 240: loss 7.4358, time 660.43ms, mfu 4.26%
