
step 0: train loss 10.9873, val loss 10.9915
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
iter 0: loss 10.9988, time 17232.62ms, mfu -100.00%
iter 10: loss 9.2311, time 647.80ms, mfu 4.33%
iter 20: loss 9.3761, time 649.17ms, mfu 4.33%
iter 30: loss 8.5777, time 647.48ms, mfu 4.33%
iter 40: loss 8.7518, time 648.02ms, mfu 4.33%
iter 50: loss 8.2457, time 647.50ms, mfu 4.33%
iter 60: loss 8.7656, time 647.71ms, mfu 4.33%
iter 70: loss 9.0379, time 647.57ms, mfu 4.33%
iter 80: loss 9.1410, time 649.26ms, mfu 4.33%
iter 90: loss 9.7126, time 649.19ms, mfu 4.33%
iter 100: loss 11.9147, time 647.60ms, mfu 4.33%
iter 110: loss 9.7434, time 649.73ms, mfu 4.33%
iter 120: loss 8.3449, time 647.92ms, mfu 4.33%
iter 130: loss 8.5841, time 647.08ms, mfu 4.33%
iter 140: loss 8.3908, time 647.70ms, mfu 4.33%
iter 150: loss 8.1690, time 647.92ms, mfu 4.33%
iter 160: loss 9.4851, time 648.84ms, mfu 4.33%
iter 170: loss 7.8430, time 648.52ms, mfu 4.33%
iter 180: loss 8.3873, time 649.95ms, mfu 4.33%
iter 190: loss 8.2364, time 651.67ms, mfu 4.32%
iter 200: loss 8.0920, time 651.05ms, mfu 4.32%
iter 210: loss 8.1221, time 649.26ms, mfu 4.32%
iter 220: loss 8.1457, time 648.39ms, mfu 4.32%
iter 230: loss 7.9930, time 650.72ms, mfu 4.32%
iter 240: loss 7.3634, time 652.45ms, mfu 4.32%
iter 250: loss 7.3692, time 650.46ms, mfu 4.32%
iter 260: loss 7.5702, time 651.71ms, mfu 4.32%
iter 270: loss 7.9873, time 650.08ms, mfu 4.32%
iter 280: loss 7.2911, time 651.10ms, mfu 4.32%
iter 290: loss 7.6735, time 667.93ms, mfu 4.31%
iter 300: loss 7.7504, time 651.07ms, mfu 4.31%
iter 310: loss 6.8988, time 650.13ms, mfu 4.31%
iter 320: loss 7.4353, time 648.42ms, mfu 4.31%
iter 330: loss 7.8102, time 650.02ms, mfu 4.31%
iter 340: loss 7.9880, time 649.26ms, mfu 4.31%
