
step 0: train loss 10.9873, val loss 10.9915
iter 0: loss 11.0254, time 23154.87ms, mfu -100.00%
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
iter 10: loss 11.0103, time 6431.38ms, mfu 5.23%
iter 20: loss 10.9849, time 6433.39ms, mfu 5.23%
iter 30: loss 11.0064, time 6435.45ms, mfu 5.23%
iter 40: loss 11.0056, time 6487.39ms, mfu 5.23%
iter 50: loss 10.9853, time 6447.68ms, mfu 5.23%
iter 60: loss 10.9863, time 6449.01ms, mfu 5.23%
iter 70: loss 10.9814, time 6593.36ms, mfu 5.22%
iter 80: loss 10.9987, time 6446.18ms, mfu 5.22%
iter 90: loss 10.9898, time 6435.17ms, mfu 5.22%
iter 100: loss 10.9780, time 6599.77ms, mfu 5.21%
iter 110: loss 10.9792, time 6644.98ms, mfu 5.19%
iter 120: loss 11.0148, time 6435.21ms, mfu 5.20%
iter 130: loss 10.9469, time 6435.54ms, mfu 5.20%
iter 140: loss 10.9625, time 6436.69ms, mfu 5.20%
iter 150: loss 10.9721, time 6436.18ms, mfu 5.21%
iter 160: loss 10.9754, time 6437.56ms, mfu 5.21%
iter 170: loss 10.9807, time 6435.98ms, mfu 5.21%
iter 180: loss 10.9402, time 6437.14ms, mfu 5.21%
iter 190: loss 10.9269, time 6434.91ms, mfu 5.21%
iter 200: loss 10.9655, time 6434.32ms, mfu 5.22%
iter 210: loss 10.9464, time 6435.46ms, mfu 5.22%
iter 220: loss 10.9377, time 6437.04ms, mfu 5.22%
iter 230: loss 10.8568, time 6759.79ms, mfu 5.19%
iter 240: loss 10.8946, time 6434.29ms, mfu 5.20%
iter 250: loss 10.9286, time 6433.97ms, mfu 5.20%
iter 260: loss 10.9435, time 6434.33ms, mfu 5.20%
iter 270: loss 10.9163, time 6437.01ms, mfu 5.21%
iter 280: loss 10.9254, time 6434.41ms, mfu 5.21%
iter 290: loss 10.9053, time 6434.04ms, mfu 5.21%
iter 300: loss 10.8983, time 6437.30ms, mfu 5.21%
iter 310: loss 10.8761, time 6434.87ms, mfu 5.22%
iter 320: loss 10.8617, time 6433.15ms, mfu 5.22%
iter 330: loss 10.8622, time 6908.47ms, mfu 5.18%
iter 340: loss 10.8749, time 6435.68ms, mfu 5.19%
iter 350: loss 10.8539, time 6434.17ms, mfu 5.19%
iter 360: loss 10.8464, time 6432.93ms, mfu 5.20%
iter 370: loss 10.8364, time 6433.51ms, mfu 5.20%
iter 380: loss 10.8629, time 7038.09ms, mfu 5.16%
iter 390: loss 10.8812, time 6431.78ms, mfu 5.17%
iter 400: loss 10.8444, time 6432.29ms, mfu 5.17%
iter 410: loss 10.7952, time 6433.45ms, mfu 5.18%
iter 420: loss 10.7788, time 7069.97ms, mfu 5.14%
iter 430: loss 10.7990, time 6433.24ms, mfu 5.15%
iter 440: loss 10.7841, time 6431.34ms, mfu 5.16%
iter 450: loss 10.7840, time 6433.18ms, mfu 5.16%
iter 460: loss 10.7479, time 6433.19ms, mfu 5.17%
iter 470: loss 10.7316, time 6433.11ms, mfu 5.18%
iter 480: loss 10.7805, time 6433.53ms, mfu 5.18%
iter 490: loss 10.7219, time 6433.25ms, mfu 5.19%
step 500: train loss 10.7304, val loss 10.7261
saving checkpoint to out
iter 500: loss 10.6201, time 23214.33ms, mfu 4.81%
iter 510: loss 10.7456, time 6432.09ms, mfu 4.86%
