
step 0: train loss 10.9873, val loss 10.9915
iter 0: loss 11.0254, time 22676.20ms, mfu -100.00%
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
iter 10: loss 10.7136, time 6578.90ms, mfu 5.12%
iter 20: loss 10.0414, time 6617.81ms, mfu 5.11%
iter 30: loss 9.6112, time 6629.09ms, mfu 5.11%
iter 40: loss 9.2456, time 6634.96ms, mfu 5.11%
iter 50: loss 9.1805, time 6633.49ms, mfu 5.10%
iter 60: loss 8.8626, time 6694.79ms, mfu 5.10%
iter 70: loss 8.9890, time 6708.23ms, mfu 5.09%
iter 80: loss 8.7992, time 6634.18ms, mfu 5.09%
iter 90: loss 8.8959, time 6639.13ms, mfu 5.09%
iter 100: loss 8.5616, time 6634.92ms, mfu 5.08%
iter 110: loss 8.5825, time 6809.84ms, mfu 5.07%
iter 120: loss 8.8350, time 6637.40ms, mfu 5.07%
iter 130: loss 8.0791, time 6639.01ms, mfu 5.07%
iter 140: loss 8.0100, time 6638.70ms, mfu 5.07%
iter 150: loss 8.1692, time 6640.25ms, mfu 5.07%
iter 160: loss 8.1094, time 6641.01ms, mfu 5.07%
iter 170: loss 8.2316, time 6644.73ms, mfu 5.07%
iter 180: loss 8.1588, time 6645.55ms, mfu 5.07%
iter 190: loss 7.5832, time 6646.41ms, mfu 5.07%
iter 200: loss 8.1417, time 6644.10ms, mfu 5.07%
iter 210: loss 8.1889, time 6640.47ms, mfu 5.07%
iter 220: loss 7.7821, time 6639.16ms, mfu 5.07%
iter 230: loss 7.3092, time 7059.17ms, mfu 5.04%
iter 240: loss 7.5629, time 6640.56ms, mfu 5.04%
iter 250: loss 8.4855, time 6649.86ms, mfu 5.04%
iter 260: loss 8.2987, time 6651.35ms, mfu 5.05%
iter 270: loss 7.5554, time 6647.99ms, mfu 5.05%
iter 280: loss 7.5122, time 6652.65ms, mfu 5.05%
iter 290: loss 7.6899, time 6649.65ms, mfu 5.05%
iter 300: loss 7.7488, time 6648.34ms, mfu 5.05%
iter 310: loss 7.7894, time 6652.56ms, mfu 5.05%
iter 320: loss 7.0422, time 6648.03ms, mfu 5.05%
iter 330: loss 7.3253, time 6649.90ms, mfu 5.05%
iter 340: loss 8.0947, time 6644.17ms, mfu 5.06%
iter 350: loss 7.4207, time 6643.41ms, mfu 5.06%
iter 360: loss 7.7480, time 6642.09ms, mfu 5.06%
iter 370: loss 7.4740, time 6653.68ms, mfu 5.06%
iter 380: loss 7.2968, time 7429.18ms, mfu 5.01%
iter 390: loss 7.9069, time 6652.91ms, mfu 5.01%
iter 400: loss 7.3710, time 7533.87ms, mfu 4.96%
iter 410: loss 7.7491, time 6657.37ms, mfu 4.97%
iter 420: loss 7.3649, time 7522.02ms, mfu 4.92%
iter 430: loss 6.8266, time 6680.16ms, mfu 4.93%
iter 440: loss 7.0263, time 6663.87ms, mfu 4.94%
iter 450: loss 7.2914, time 6658.93ms, mfu 4.95%
iter 460: loss 6.8973, time 6664.86ms, mfu 4.96%
iter 470: loss 7.3002, time 6653.35ms, mfu 4.97%
iter 480: loss 7.4862, time 6650.94ms, mfu 4.98%
iter 490: loss 7.5944, time 7745.89ms, mfu 4.92%
step 500: train loss 7.1215, val loss 7.1315
saving checkpoint to out
iter 500: loss 6.6179, time 23494.60ms, mfu 4.57%
iter 510: loss 7.0348, time 6645.87ms, mfu 4.62%
iter 520: loss 6.9386, time 6651.44ms, mfu 4.66%
iter 530: loss 7.2464, time 6659.43ms, mfu 4.70%
iter 540: loss 7.1362, time 6656.39ms, mfu 4.74%
