
step 0: train loss 10.9873, val loss 10.9915
iter 0: loss 11.0254, time 22347.50ms, mfu -100.00%
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
iter 10: loss 10.4743, time 6439.18ms, mfu 5.23%
iter 20: loss 9.6733, time 6445.02ms, mfu 5.23%
iter 30: loss 9.3230, time 6445.23ms, mfu 5.23%
iter 40: loss 9.0289, time 6481.83ms, mfu 5.22%
iter 50: loss 9.0060, time 6446.12ms, mfu 5.22%
iter 60: loss 8.6473, time 6444.05ms, mfu 5.22%
iter 70: loss 8.7748, time 6549.79ms, mfu 5.22%
iter 80: loss 8.5475, time 6448.97ms, mfu 5.22%
iter 90: loss 8.6786, time 6444.96ms, mfu 5.22%
iter 100: loss 8.2975, time 6575.97ms, mfu 5.21%
iter 110: loss 8.2851, time 6618.80ms, mfu 5.19%
iter 120: loss 8.5805, time 6446.29ms, mfu 5.20%
iter 130: loss 7.8297, time 6450.14ms, mfu 5.20%
iter 140: loss 7.6906, time 6454.66ms, mfu 5.20%
iter 150: loss 7.8581, time 6451.69ms, mfu 5.20%
iter 160: loss 7.8512, time 6452.53ms, mfu 5.20%
iter 170: loss 7.9258, time 6450.10ms, mfu 5.21%
iter 180: loss 7.9965, time 6452.26ms, mfu 5.21%
iter 190: loss 7.3204, time 6453.47ms, mfu 5.21%
iter 200: loss 7.9254, time 6453.07ms, mfu 5.21%
iter 210: loss 8.0348, time 6451.49ms, mfu 5.21%
iter 220: loss 7.6284, time 6454.30ms, mfu 5.21%
iter 230: loss 7.1122, time 6779.91ms, mfu 5.19%
iter 240: loss 7.4230, time 6452.83ms, mfu 5.19%
iter 250: loss 8.2751, time 6451.83ms, mfu 5.19%
iter 260: loss 8.1518, time 6450.06ms, mfu 5.19%
iter 270: loss 7.4222, time 6448.45ms, mfu 5.20%
iter 280: loss 7.4122, time 6448.48ms, mfu 5.20%
iter 290: loss 7.6371, time 6447.71ms, mfu 5.20%
iter 300: loss 7.6334, time 6449.50ms, mfu 5.20%
iter 310: loss 7.6167, time 6447.26ms, mfu 5.21%
iter 320: loss 6.8663, time 6450.75ms, mfu 5.21%
iter 330: loss 7.1847, time 6967.84ms, mfu 5.17%
iter 340: loss 7.9315, time 6452.98ms, mfu 5.17%
iter 350: loss 7.3180, time 6453.40ms, mfu 5.18%
iter 360: loss 7.6334, time 6452.70ms, mfu 5.18%
iter 370: loss 7.3857, time 6451.63ms, mfu 5.19%
iter 380: loss 7.2005, time 7045.39ms, mfu 5.14%
iter 390: loss 7.7991, time 6456.54ms, mfu 5.15%
iter 400: loss 7.2293, time 6456.06ms, mfu 5.16%
iter 410: loss 7.6545, time 6455.37ms, mfu 5.16%
iter 420: loss 7.3021, time 7428.90ms, mfu 5.10%
iter 430: loss 6.7209, time 6455.74ms, mfu 5.11%
iter 440: loss 6.9532, time 6455.37ms, mfu 5.12%
iter 450: loss 7.1863, time 6456.80ms, mfu 5.13%
