
step 0: train loss 10.9873, val loss 10.9915
iter 0: loss 11.0254, time 23023.00ms, mfu -100.00%
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
iter 10: loss 9.6151, time 6415.65ms, mfu 5.25%
iter 20: loss 9.0222, time 6431.37ms, mfu 5.25%
iter 30: loss 9.0400, time 6440.64ms, mfu 5.24%
iter 40: loss 8.7269, time 6493.72ms, mfu 5.24%
iter 50: loss 8.5047, time 6439.58ms, mfu 5.24%
iter 60: loss 8.4942, time 6444.86ms, mfu 5.24%
iter 70: loss 8.5057, time 6539.56ms, mfu 5.23%
iter 80: loss 8.4707, time 6447.34ms, mfu 5.23%
iter 90: loss 9.2555, time 6450.63ms, mfu 5.23%
iter 100: loss 9.0427, time 6542.85ms, mfu 5.22%
iter 110: loss 10.2915, time 6600.44ms, mfu 5.21%
iter 120: loss 8.7211, time 6442.75ms, mfu 5.21%
iter 130: loss 8.8338, time 6443.70ms, mfu 5.21%
iter 140: loss 8.4346, time 6443.24ms, mfu 5.21%
iter 150: loss 8.1505, time 6440.17ms, mfu 5.21%
iter 160: loss 8.3547, time 6441.52ms, mfu 5.21%
iter 170: loss 7.9877, time 6445.17ms, mfu 5.21%
iter 180: loss 7.9628, time 6446.61ms, mfu 5.22%
iter 190: loss 7.6611, time 6451.34ms, mfu 5.22%
iter 200: loss 8.0012, time 6451.41ms, mfu 5.22%
iter 210: loss 8.2716, time 6449.62ms, mfu 5.22%
iter 220: loss 7.8866, time 6452.07ms, mfu 5.22%
iter 230: loss 7.4107, time 6779.29ms, mfu 5.19%
iter 240: loss 7.5157, time 6455.49ms, mfu 5.19%
iter 250: loss 8.3473, time 6455.72ms, mfu 5.20%
iter 260: loss 8.2759, time 6457.16ms, mfu 5.20%
iter 270: loss 7.4335, time 6455.30ms, mfu 5.20%
iter 280: loss 7.8797, time 6454.50ms, mfu 5.20%
iter 290: loss 7.7691, time 6456.35ms, mfu 5.20%
iter 300: loss 7.5664, time 6455.87ms, mfu 5.20%
iter 310: loss 7.5530, time 6460.31ms, mfu 5.20%
iter 320: loss 6.8882, time 6456.96ms, mfu 5.21%
iter 330: loss 7.2858, time 6935.07ms, mfu 5.17%
iter 340: loss 8.3367, time 6468.93ms, mfu 5.17%
iter 350: loss 7.3825, time 6470.82ms, mfu 5.18%
iter 360: loss 7.6259, time 6471.75ms, mfu 5.18%
iter 370: loss 7.3833, time 6469.57ms, mfu 5.18%
iter 380: loss 7.0705, time 6994.63ms, mfu 5.14%
iter 390: loss 7.9336, time 6468.63ms, mfu 5.15%
iter 400: loss 7.3594, time 6474.11ms, mfu 5.16%
iter 410: loss 7.7249, time 6468.93ms, mfu 5.16%
iter 420: loss 7.2906, time 7109.86ms, mfu 5.12%
iter 430: loss 6.6641, time 6470.84ms, mfu 5.13%
iter 440: loss 6.9373, time 6473.57ms, mfu 5.13%
iter 450: loss 7.2511, time 6470.56ms, mfu 5.14%
iter 460: loss 6.8584, time 6472.76ms, mfu 5.15%
iter 470: loss 7.1151, time 6472.44ms, mfu 5.15%
iter 480: loss 7.3388, time 6472.85ms, mfu 5.16%
iter 490: loss 7.3134, time 6470.12ms, mfu 5.16%
step 500: train loss 7.2451, val loss 7.2413
saving checkpoint to out
iter 500: loss 6.9530, time 23010.67ms, mfu 4.79%
iter 510: loss 6.9962, time 6455.09ms, mfu 4.83%
iter 520: loss 6.8991, time 6472.22ms, mfu 4.87%
iter 530: loss 7.0990, time 6468.54ms, mfu 4.90%
iter 540: loss 7.2029, time 6472.82ms, mfu 4.93%
iter 550: loss 7.2418, time 6470.09ms, mfu 4.96%
iter 560: loss 6.6016, time 6467.79ms, mfu 4.99%
iter 570: loss 6.8012, time 6470.80ms, mfu 5.01%
iter 580: loss 7.1501, time 6473.04ms, mfu 5.03%
iter 590: loss 6.8320, time 6471.59ms, mfu 5.04%
iter 600: loss 7.0979, time 6471.65ms, mfu 5.06%
iter 610: loss 6.8997, time 6470.20ms, mfu 5.07%
iter 620: loss 6.8101, time 6472.68ms, mfu 5.09%
iter 630: loss 6.5593, time 6471.02ms, mfu 5.10%
iter 640: loss 6.7663, time 6467.45ms, mfu 5.11%
iter 650: loss 7.2463, time 6470.15ms, mfu 5.12%
iter 660: loss 6.7161, time 6470.07ms, mfu 5.13%
iter 670: loss 6.6309, time 7374.86ms, mfu 5.07%
iter 680: loss 7.4645, time 6469.39ms, mfu 5.08%
iter 690: loss 7.4162, time 6469.80ms, mfu 5.10%
iter 700: loss 6.8496, time 6470.27ms, mfu 5.11%
iter 710: loss 6.5715, time 6472.36ms, mfu 5.12%
iter 720: loss 6.5523, time 6470.34ms, mfu 5.12%
iter 730: loss 7.2733, time 6470.49ms, mfu 5.13%
iter 740: loss 6.8490, time 6467.43ms, mfu 5.14%
iter 750: loss 6.9851, time 6470.78ms, mfu 5.15%
iter 760: loss 6.8366, time 6468.95ms, mfu 5.15%
iter 770: loss 6.3411, time 6470.58ms, mfu 5.16%
iter 780: loss 6.2879, time 6468.02ms, mfu 5.16%
iter 790: loss 6.4880, time 6468.66ms, mfu 5.17%
iter 800: loss 6.2863, time 6473.35ms, mfu 5.17%
iter 810: loss 6.4422, time 6470.94ms, mfu 5.17%
iter 820: loss 6.6686, time 6469.15ms, mfu 5.18%
iter 830: loss 6.9956, time 6470.88ms, mfu 5.18%
iter 840: loss 6.6329, time 6465.97ms, mfu 5.18%
iter 850: loss 6.6782, time 6472.21ms, mfu 5.18%
iter 860: loss 6.3232, time 6469.67ms, mfu 5.19%
iter 870: loss 6.3248, time 6469.74ms, mfu 5.19%
iter 880: loss 6.7864, time 6470.71ms, mfu 5.19%
iter 890: loss 6.6820, time 6468.83ms, mfu 5.19%
iter 900: loss 6.9663, time 6470.81ms, mfu 5.19%
iter 910: loss 6.5485, time 6470.25ms, mfu 5.19%
iter 920: loss 6.2152, time 6468.16ms, mfu 5.19%
iter 930: loss 6.3740, time 6465.78ms, mfu 5.20%
iter 940: loss 6.1454, time 6463.59ms, mfu 5.20%
iter 950: loss 6.8136, time 6464.94ms, mfu 5.20%
iter 960: loss 6.3776, time 6466.33ms, mfu 5.20%
iter 970: loss 6.5101, time 6463.74ms, mfu 5.20%
iter 980: loss 6.1856, time 6464.38ms, mfu 5.20%
iter 990: loss 6.4734, time 6465.55ms, mfu 5.20%
step 1000: train loss 6.5940, val loss 6.5811
saving checkpoint to out
iter 1000: loss 6.5724, time 23042.65ms, mfu 4.83%
iter 1010: loss 6.4626, time 6448.11ms, mfu 4.87%
iter 1020: loss 6.1999, time 6449.20ms, mfu 4.90%
iter 1030: loss 6.4527, time 6450.00ms, mfu 4.93%
iter 1040: loss 6.7324, time 6452.89ms, mfu 4.96%
iter 1050: loss 6.3474, time 6451.91ms, mfu 4.99%
iter 1060: loss 7.1673, time 6452.55ms, mfu 5.01%
iter 1070: loss 6.5036, time 6452.11ms, mfu 5.03%
iter 1080: loss 6.3090, time 6452.48ms, mfu 5.05%
iter 1090: loss 7.0611, time 6450.35ms, mfu 5.07%
iter 1100: loss 6.9621, time 6448.46ms, mfu 5.08%
iter 1110: loss 6.7931, time 6449.80ms, mfu 5.10%
iter 1120: loss 6.0400, time 6452.36ms, mfu 5.11%
iter 1130: loss 6.8144, time 6450.63ms, mfu 5.12%
iter 1140: loss 6.5666, time 6450.22ms, mfu 5.13%
iter 1150: loss 6.6681, time 6450.56ms, mfu 5.14%
iter 1160: loss 6.5519, time 6450.47ms, mfu 5.15%
iter 1170: loss 6.6771, time 6450.98ms, mfu 5.15%
iter 1180: loss 6.2862, time 6451.33ms, mfu 5.16%
iter 1190: loss 6.1146, time 6451.02ms, mfu 5.17%
iter 1200: loss 5.9160, time 6448.20ms, mfu 5.17%
iter 1210: loss 6.2575, time 6449.71ms, mfu 5.18%
iter 1220: loss 6.3048, time 6449.94ms, mfu 5.18%
iter 1230: loss 5.7955, time 6450.01ms, mfu 5.18%
iter 1240: loss 5.9137, time 6450.52ms, mfu 5.19%
iter 1250: loss 6.2369, time 6451.64ms, mfu 5.19%
iter 1260: loss 6.3834, time 6451.31ms, mfu 5.19%
iter 1270: loss 6.6866, time 6452.45ms, mfu 5.20%
iter 1280: loss 6.7910, time 6450.46ms, mfu 5.20%
iter 1290: loss 6.2927, time 6449.35ms, mfu 5.20%
iter 1300: loss 6.2722, time 6450.58ms, mfu 5.20%
iter 1310: loss 6.4838, time 6451.30ms, mfu 5.20%
iter 1320: loss 6.3432, time 6450.91ms, mfu 5.21%
iter 1330: loss 6.5493, time 6450.24ms, mfu 5.21%
iter 1340: loss 5.8084, time 6452.97ms, mfu 5.21%
iter 1350: loss 6.0161, time 6451.24ms, mfu 5.21%
iter 1360: loss 6.8209, time 6454.26ms, mfu 5.21%
iter 1370: loss 6.8046, time 6450.54ms, mfu 5.21%
iter 1380: loss 6.3515, time 6451.06ms, mfu 5.21%
iter 1390: loss 6.5409, time 6451.13ms, mfu 5.21%
iter 1400: loss 6.3108, time 6450.19ms, mfu 5.21%
iter 1410: loss 6.1241, time 6448.57ms, mfu 5.21%
iter 1420: loss 6.5836, time 6449.83ms, mfu 5.21%
iter 1430: loss 7.8865, time 6448.80ms, mfu 5.21%
iter 1440: loss 5.2600, time 6450.96ms, mfu 5.22%
iter 1450: loss 6.0606, time 6450.33ms, mfu 5.22%
iter 1460: loss 6.3104, time 6448.16ms, mfu 5.22%
iter 1470: loss 6.3827, time 8578.69ms, mfu 5.09%
iter 1480: loss 6.7779, time 6448.73ms, mfu 5.10%
iter 1490: loss 6.2114, time 6449.92ms, mfu 5.11%
step 1500: train loss 6.3608, val loss 6.3588
saving checkpoint to out
iter 1500: loss 6.4923, time 22794.00ms, mfu 4.75%
iter 1510: loss 6.3521, time 6446.76ms, mfu 4.80%
iter 1520: loss 6.3080, time 6449.59ms, mfu 4.84%
iter 1530: loss 6.3076, time 6451.55ms, mfu 4.88%
iter 1540: loss 6.7662, time 6451.45ms, mfu 4.91%
iter 1550: loss 5.4056, time 6450.23ms, mfu 4.94%
iter 1560: loss 6.5672, time 6449.24ms, mfu 4.97%
iter 1570: loss 6.1824, time 6451.49ms, mfu 4.99%
iter 1580: loss 6.4744, time 6449.74ms, mfu 5.02%
iter 1590: loss 5.9674, time 6449.11ms, mfu 5.04%
iter 1600: loss 6.0339, time 6450.08ms, mfu 5.06%
iter 1610: loss 5.6827, time 6451.01ms, mfu 5.07%
iter 1620: loss 6.3703, time 6453.21ms, mfu 5.09%
iter 1630: loss 5.7162, time 6452.65ms, mfu 5.10%
iter 1640: loss 6.0939, time 6454.14ms, mfu 5.11%
iter 1650: loss 6.1813, time 6451.81ms, mfu 5.12%
iter 1660: loss 6.8141, time 6450.44ms, mfu 5.13%
iter 1670: loss 6.0319, time 6451.21ms, mfu 5.14%
iter 1680: loss 6.3818, time 6450.18ms, mfu 5.15%
iter 1690: loss 6.4485, time 6451.46ms, mfu 5.15%
iter 1700: loss 6.5887, time 6453.44ms, mfu 5.16%
iter 1710: loss 6.3040, time 6450.95ms, mfu 5.17%
iter 1720: loss 6.3919, time 6451.33ms, mfu 5.17%
iter 1730: loss 6.6352, time 6452.35ms, mfu 5.18%
iter 1740: loss 6.3852, time 6453.39ms, mfu 5.18%
iter 1750: loss 5.5743, time 6450.15ms, mfu 5.18%
iter 1760: loss 6.2981, time 6449.24ms, mfu 5.19%
iter 1770: loss 6.0710, time 6445.48ms, mfu 5.19%
