
step 0: train loss 10.9873, val loss 10.9915
iter 0: loss 11.0254, time 31543.96ms, mfu -100.00%
iter 10: loss 10.9537, time 7149.86ms, mfu 4.71%
iter 20: loss 10.7420, time 7405.94ms, mfu 4.69%
iter 30: loss 10.5091, time 7344.27ms, mfu 4.68%
iter 40: loss 10.1664, time 7145.24ms, mfu 4.68%
iter 50: loss 9.9475, time 7228.37ms, mfu 4.68%
iter 60: loss 9.6542, time 6824.44ms, mfu 4.71%
iter 70: loss 9.6364, time 6990.28ms, mfu 4.72%
iter 80: loss 9.4695, time 6943.60ms, mfu 4.73%
iter 90: loss 9.3849, time 6940.52ms, mfu 4.74%
iter 100: loss 9.0324, time 6944.27ms, mfu 4.75%
iter 110: loss 9.0987, time 6993.39ms, mfu 4.76%
iter 120: loss 9.2329, time 7035.49ms, mfu 4.76%
iter 130: loss 8.7428, time 6937.18ms, mfu 4.77%
iter 140: loss 8.7140, time 7212.20ms, mfu 4.76%
iter 150: loss 8.7760, time 6971.34ms, mfu 4.77%
iter 160: loss 8.7448, time 6956.20ms, mfu 4.77%
iter 170: loss 8.7702, time 6947.14ms, mfu 4.78%
iter 180: loss 8.5804, time 6873.50ms, mfu 4.79%
iter 190: loss 8.3785, time 6852.06ms, mfu 4.81%
iter 200: loss 8.8056, time 6884.97ms, mfu 4.81%
iter 210: loss 8.7660, time 6912.89ms, mfu 4.82%
iter 220: loss 8.3076, time 6870.34ms, mfu 4.83%
iter 230: loss 8.1247, time 7052.50ms, mfu 4.82%
iter 240: loss 8.2400, time 6952.18ms, mfu 4.82%
iter 250: loss 8.9107, time 6882.88ms, mfu 4.83%
iter 260: loss 8.9060, time 6971.56ms, mfu 4.83%
iter 270: loss 8.1857, time 6926.96ms, mfu 4.83%
iter 280: loss 8.1631, time 6840.65ms, mfu 4.84%
iter 290: loss 8.1404, time 6990.85ms, mfu 4.84%
iter 300: loss 8.3669, time 6866.40ms, mfu 4.85%
iter 310: loss 8.4699, time 7336.21ms, mfu 4.82%
iter 320: loss 7.6185, time 6928.00ms, mfu 4.82%
iter 330: loss 7.9774, time 6986.03ms, mfu 4.82%
iter 340: loss 8.4925, time 6931.34ms, mfu 4.83%
iter 350: loss 7.9995, time 6966.55ms, mfu 4.83%
iter 360: loss 8.2526, time 7023.59ms, mfu 4.82%
iter 370: loss 8.0932, time 6961.21ms, mfu 4.83%
iter 380: loss 7.9481, time 6865.27ms, mfu 4.83%
iter 390: loss 8.6726, time 6925.29ms, mfu 4.84%
iter 400: loss 7.8912, time 6916.74ms, mfu 4.84%
iter 410: loss 8.2359, time 6865.12ms, mfu 4.85%
iter 420: loss 7.9598, time 6869.60ms, mfu 4.85%
iter 430: loss 7.4864, time 6976.86ms, mfu 4.85%
iter 440: loss 7.6544, time 6847.97ms, mfu 4.86%
iter 450: loss 7.8513, time 6985.99ms, mfu 4.85%
iter 460: loss 7.6028, time 6851.98ms, mfu 4.86%
iter 470: loss 7.9895, time 6843.05ms, mfu 4.86%
iter 480: loss 8.0703, time 6848.35ms, mfu 4.87%
iter 490: loss 8.0740, time 6866.94ms, mfu 4.87%
step 500: train loss 7.7144, val loss 7.7294
saving checkpoint to out
iter 500: loss 7.1654, time 24403.55ms, mfu 4.52%
iter 510: loss 7.7701, time 6859.60ms, mfu 4.56%
iter 520: loss 7.5123, time 6859.68ms, mfu 4.60%
iter 530: loss 7.7877, time 6862.19ms, mfu 4.63%
iter 540: loss 7.6297, time 6954.48ms, mfu 4.65%
iter 550: loss 7.8127, time 6848.30ms, mfu 4.68%
iter 560: loss 7.3096, time 6866.33ms, mfu 4.70%
iter 570: loss 7.4578, time 6958.78ms, mfu 4.71%
iter 580: loss 7.8366, time 6855.59ms, mfu 4.73%
iter 590: loss 7.4004, time 6863.87ms, mfu 4.75%
iter 600: loss 7.5923, time 6863.64ms, mfu 4.76%
iter 610: loss 7.6520, time 6858.48ms, mfu 4.78%
iter 620: loss 7.5147, time 6877.06ms, mfu 4.79%
iter 630: loss 7.3009, time 6929.03ms, mfu 4.80%
iter 640: loss 7.2493, time 6866.90ms, mfu 4.81%
iter 650: loss 7.8072, time 6868.30ms, mfu 4.82%
iter 660: loss 7.3819, time 6849.83ms, mfu 4.83%
iter 670: loss 7.2166, time 6851.04ms, mfu 4.84%
iter 680: loss 8.0737, time 6881.92ms, mfu 4.84%
iter 690: loss 8.0245, time 6891.95ms, mfu 4.85%
iter 700: loss 7.1950, time 6859.31ms, mfu 4.85%
iter 710: loss 7.1986, time 6859.18ms, mfu 4.86%
iter 720: loss 7.1176, time 6834.48ms, mfu 4.86%
iter 730: loss 7.9278, time 6841.09ms, mfu 4.87%
iter 740: loss 7.5059, time 6844.27ms, mfu 4.87%
iter 750: loss 7.6332, time 6830.62ms, mfu 4.88%
iter 760: loss 7.4869, time 6830.54ms, mfu 4.89%
iter 770: loss 6.9691, time 6852.25ms, mfu 4.89%
iter 780: loss 6.7966, time 6856.76ms, mfu 4.89%
iter 790: loss 7.0916, time 6860.50ms, mfu 4.89%
iter 800: loss 6.9477, time 6841.90ms, mfu 4.89%
iter 810: loss 7.0673, time 6850.86ms, mfu 4.90%
iter 820: loss 7.2767, time 6861.26ms, mfu 4.90%
iter 830: loss 7.5233, time 6845.65ms, mfu 4.90%
iter 840: loss 7.0901, time 6843.93ms, mfu 4.90%
iter 850: loss 7.0678, time 6839.80ms, mfu 4.90%
iter 860: loss 7.0418, time 6839.35ms, mfu 4.91%
iter 870: loss 6.9123, time 6841.13ms, mfu 4.91%
iter 880: loss 7.3506, time 6841.66ms, mfu 4.91%
iter 890: loss 7.2792, time 6843.06ms, mfu 4.91%
iter 900: loss 7.5824, time 6839.26ms, mfu 4.91%
iter 910: loss 7.1180, time 6843.83ms, mfu 4.91%
iter 920: loss 6.7018, time 6839.30ms, mfu 4.91%
iter 930: loss 6.9692, time 6846.22ms, mfu 4.91%
iter 940: loss 6.7616, time 6835.59ms, mfu 4.91%
iter 950: loss 7.2571, time 6835.24ms, mfu 4.92%
iter 960: loss 6.8466, time 6838.74ms, mfu 4.92%
iter 970: loss 7.0740, time 6925.62ms, mfu 4.91%
iter 980: loss 6.5747, time 6936.72ms, mfu 4.90%
iter 990: loss 7.0384, time 6928.36ms, mfu 4.90%
step 1000: train loss 7.1074, val loss 7.0989
saving checkpoint to out
iter 1000: loss 7.1243, time 23986.53ms, mfu 4.55%
iter 1010: loss 6.9207, time 6907.19ms, mfu 4.58%
iter 1020: loss 6.5130, time 6925.89ms, mfu 4.61%
iter 1030: loss 6.9547, time 6915.87ms, mfu 4.64%
iter 1040: loss 7.1269, time 6913.60ms, mfu 4.66%
iter 1050: loss 6.9398, time 6954.41ms, mfu 4.68%
iter 1060: loss 7.5624, time 6928.20ms, mfu 4.70%
iter 1070: loss 6.9298, time 6926.09ms, mfu 4.71%
iter 1080: loss 6.7746, time 6933.57ms, mfu 4.73%
iter 1090: loss 7.3778, time 6840.10ms, mfu 4.75%
iter 1100: loss 7.2631, time 6862.81ms, mfu 4.76%
iter 1110: loss 7.1793, time 6838.55ms, mfu 4.78%
iter 1120: loss 6.6525, time 6842.74ms, mfu 4.79%
iter 1130: loss 7.3728, time 6845.23ms, mfu 4.80%
iter 1140: loss 7.2163, time 6844.95ms, mfu 4.82%
iter 1150: loss 7.3613, time 6843.29ms, mfu 4.83%
iter 1160: loss 7.2005, time 6878.78ms, mfu 4.83%
iter 1170: loss 7.0477, time 6846.94ms, mfu 4.84%
iter 1180: loss 6.6935, time 6847.39ms, mfu 4.85%
iter 1190: loss 6.5562, time 6850.57ms, mfu 4.86%
iter 1200: loss 6.3380, time 6841.41ms, mfu 4.86%
iter 1210: loss 6.7630, time 6849.20ms, mfu 4.87%
iter 1220: loss 6.8256, time 6841.79ms, mfu 4.87%
iter 1230: loss 6.2764, time 6843.79ms, mfu 4.88%
iter 1240: loss 6.3698, time 6844.35ms, mfu 4.88%
iter 1250: loss 6.8385, time 6842.85ms, mfu 4.89%
iter 1260: loss 6.8158, time 6845.73ms, mfu 4.89%
iter 1270: loss 7.1741, time 6848.25ms, mfu 4.89%
iter 1280: loss 7.2466, time 6852.22ms, mfu 4.89%
iter 1290: loss 6.8518, time 6849.20ms, mfu 4.90%
iter 1300: loss 6.8346, time 6935.86ms, mfu 4.89%
iter 1310: loss 6.9905, time 6938.85ms, mfu 4.89%
iter 1320: loss 6.8142, time 6960.15ms, mfu 4.88%
iter 1330: loss 7.0280, time 6940.64ms, mfu 4.88%
iter 1340: loss 6.1660, time 6914.89ms, mfu 4.88%
iter 1350: loss 6.4514, time 6828.53ms, mfu 4.88%
iter 1360: loss 7.1932, time 6869.33ms, mfu 4.89%
iter 1370: loss 7.3252, time 6849.91ms, mfu 4.89%
iter 1380: loss 6.9444, time 6855.30ms, mfu 4.89%
iter 1390: loss 7.2477, time 6857.66ms, mfu 4.89%
iter 1400: loss 6.8740, time 6851.46ms, mfu 4.89%
iter 1410: loss 6.6030, time 6856.16ms, mfu 4.90%
iter 1420: loss 6.9011, time 6851.32ms, mfu 4.90%
iter 1430: loss 8.0822, time 6847.90ms, mfu 4.90%
iter 1440: loss 5.7064, time 6852.12ms, mfu 4.90%
iter 1450: loss 6.5133, time 6859.13ms, mfu 4.90%
iter 1460: loss 6.9856, time 6868.13ms, mfu 4.90%
iter 1470: loss 6.7167, time 6864.16ms, mfu 4.90%
iter 1480: loss 7.1023, time 6858.61ms, mfu 4.90%
iter 1490: loss 6.7202, time 6859.35ms, mfu 4.90%
step 1500: train loss 6.7582, val loss 6.7669
saving checkpoint to out
iter 1500: loss 6.9255, time 23586.41ms, mfu 4.56%
iter 1510: loss 6.8000, time 6816.73ms, mfu 4.59%
iter 1520: loss 6.8256, time 6837.94ms, mfu 4.63%
iter 1530: loss 6.7810, time 6838.38ms, mfu 4.66%
iter 1540: loss 7.1195, time 6829.73ms, mfu 4.68%
iter 1550: loss 5.8875, time 6829.70ms, mfu 4.71%
iter 1560: loss 7.1285, time 6830.99ms, mfu 4.73%
iter 1570: loss 6.6348, time 6831.25ms, mfu 4.75%
iter 1580: loss 7.0257, time 6831.47ms, mfu 4.77%
iter 1590: loss 6.3873, time 6829.40ms, mfu 4.78%
iter 1600: loss 6.5993, time 6840.97ms, mfu 4.80%
iter 1610: loss 6.0806, time 6849.67ms, mfu 4.81%
iter 1620: loss 6.8247, time 6860.67ms, mfu 4.82%
iter 1630: loss 6.1443, time 6857.88ms, mfu 4.83%
iter 1640: loss 6.5090, time 6857.39ms, mfu 4.84%
iter 1650: loss 6.5645, time 6832.19ms, mfu 4.85%
iter 1660: loss 7.3397, time 6848.68ms, mfu 4.85%
iter 1670: loss 6.5773, time 6848.17ms, mfu 4.86%
iter 1680: loss 6.7271, time 6849.90ms, mfu 4.86%
iter 1690: loss 6.9041, time 6850.56ms, mfu 4.87%
iter 1700: loss 6.9689, time 6852.81ms, mfu 4.87%
iter 1710: loss 6.5259, time 6858.32ms, mfu 4.88%
iter 1720: loss 6.6196, time 6861.47ms, mfu 4.88%
iter 1730: loss 7.0314, time 6849.68ms, mfu 4.88%
iter 1740: loss 6.8269, time 6852.68ms, mfu 4.89%
iter 1750: loss 5.9338, time 6854.69ms, mfu 4.89%
iter 1760: loss 6.8260, time 6856.64ms, mfu 4.89%
iter 1770: loss 6.4780, time 6855.24ms, mfu 4.89%
iter 1780: loss 6.8452, time 6851.89ms, mfu 4.89%
iter 1790: loss 6.9543, time 6862.27ms, mfu 4.90%
iter 1800: loss 6.4781, time 6851.48ms, mfu 4.90%
iter 1810: loss 6.5100, time 6855.78ms, mfu 4.90%
iter 1820: loss 6.4942, time 6857.79ms, mfu 4.90%
iter 1830: loss 6.7132, time 6855.17ms, mfu 4.90%
iter 1840: loss 6.6490, time 6861.75ms, mfu 4.90%
iter 1850: loss 6.7543, time 6873.26ms, mfu 4.90%
iter 1860: loss 6.8767, time 6858.89ms, mfu 4.90%
iter 1870: loss 6.4865, time 6861.28ms, mfu 4.90%
iter 1880: loss 7.0062, time 6857.97ms, mfu 4.90%
iter 1890: loss 6.7957, time 6857.42ms, mfu 4.90%
iter 1900: loss 7.1605, time 6856.97ms, mfu 4.90%
iter 1910: loss 6.8003, time 6856.93ms, mfu 4.90%
iter 1920: loss 6.0628, time 6853.99ms, mfu 4.91%
iter 1930: loss 6.2807, time 6853.58ms, mfu 4.91%
iter 1940: loss 6.4151, time 6861.58ms, mfu 4.91%
iter 1950: loss 6.9070, time 6860.57ms, mfu 4.91%
iter 1960: loss 6.6386, time 6858.13ms, mfu 4.91%
iter 1970: loss 6.4356, time 6856.82ms, mfu 4.91%
iter 1980: loss 6.5983, time 6858.38ms, mfu 4.91%
iter 1990: loss 6.3406, time 6857.66ms, mfu 4.91%
step 2000: train loss 6.5845, val loss 6.6021
saving checkpoint to out
iter 2000: loss 6.3050, time 23636.72ms, mfu 4.56%
iter 2010: loss 6.4221, time 6844.30ms, mfu 4.59%
iter 2020: loss 6.9483, time 6860.53ms, mfu 4.63%
iter 2030: loss 7.0625, time 6853.79ms, mfu 4.65%
iter 2040: loss 7.3508, time 6857.87ms, mfu 4.68%
iter 2050: loss 6.3964, time 6858.29ms, mfu 4.70%
iter 2060: loss 6.4759, time 6864.42ms, mfu 4.72%
iter 2070: loss 6.7243, time 6859.68ms, mfu 4.74%
iter 2080: loss 6.5851, time 6865.41ms, mfu 4.76%
iter 2090: loss 6.7157, time 6863.29ms, mfu 4.77%
iter 2100: loss 6.7157, time 6864.39ms, mfu 4.79%
iter 2110: loss 6.8585, time 6866.50ms, mfu 4.80%
iter 2120: loss 6.2241, time 6871.50ms, mfu 4.81%
iter 2130: loss 6.8278, time 6863.86ms, mfu 4.82%
iter 2140: loss 6.6657, time 6862.73ms, mfu 4.83%
iter 2150: loss 6.8539, time 6864.89ms, mfu 4.83%
iter 2160: loss 6.3446, time 6862.91ms, mfu 4.84%
iter 2170: loss 6.1619, time 6868.74ms, mfu 4.85%
