
step 0: train loss 10.9873, val loss 10.9915
iter 0: loss 11.0254, time 35332.97ms, mfu -100.00%
iter 10: loss 10.8972, time 10639.81ms, mfu 3.16%
iter 20: loss 10.5303, time 12267.76ms, mfu 3.12%
iter 30: loss 10.1737, time 11396.22ms, mfu 3.11%
iter 40: loss 9.7695, time 13012.59ms, mfu 3.05%
iter 50: loss 9.5783, time 11752.59ms, mfu 3.03%
iter 60: loss 9.2308, time 10571.09ms, mfu 3.05%
iter 70: loss 9.2570, time 11132.45ms, mfu 3.05%
iter 80: loss 9.0917, time 10063.09ms, mfu 3.08%
iter 90: loss 9.1223, time 9992.82ms, mfu 3.11%
iter 100: loss 8.8049, time 10360.71ms, mfu 3.12%
iter 110: loss 8.8695, time 11247.23ms, mfu 3.11%
iter 120: loss 9.0728, time 11051.63ms, mfu 3.10%
iter 130: loss 8.4847, time 14951.68ms, mfu 3.02%
iter 140: loss 8.4701, time 11368.37ms, mfu 3.01%
iter 150: loss 8.5926, time 10803.17ms, mfu 3.02%
iter 160: loss 8.5338, time 13404.21ms, mfu 2.97%
iter 170: loss 8.5836, time 10623.08ms, mfu 2.99%
iter 180: loss 8.4226, time 11077.25ms, mfu 3.00%
iter 190: loss 8.1104, time 10311.65ms, mfu 3.02%
iter 200: loss 8.5765, time 11032.67ms, mfu 3.03%
iter 210: loss 8.5683, time 9865.22ms, mfu 3.06%
iter 220: loss 8.1120, time 12252.46ms, mfu 3.03%
iter 230: loss 7.7842, time 11217.91ms, mfu 3.03%
iter 240: loss 7.9692, time 10646.29ms, mfu 3.04%
iter 250: loss 8.7332, time 10687.38ms, mfu 3.05%
iter 260: loss 8.6772, time 14403.15ms, mfu 2.98%
iter 270: loss 7.9068, time 10254.82ms, mfu 3.01%
iter 280: loss 7.8791, time 12465.25ms, mfu 2.98%
iter 290: loss 7.9564, time 11282.29ms, mfu 2.98%
iter 300: loss 8.0940, time 10285.96ms, mfu 3.01%
iter 310: loss 8.1540, time 11227.87ms, mfu 3.01%
iter 320: loss 7.3206, time 12614.81ms, mfu 2.97%
iter 330: loss 7.6705, time 10893.01ms, mfu 2.99%
iter 340: loss 8.2830, time 12510.50ms, mfu 2.96%
iter 350: loss 7.7531, time 9996.93ms, mfu 3.00%
iter 360: loss 8.0255, time 10308.35ms, mfu 3.02%
iter 370: loss 7.8122, time 12303.60ms, mfu 3.00%
iter 380: loss 7.6376, time 11228.67ms, mfu 3.00%
iter 390: loss 8.3144, time 11371.78ms, mfu 2.99%
iter 400: loss 7.6063, time 11151.73ms, mfu 3.00%
iter 410: loss 7.9787, time 12011.55ms, mfu 2.98%
iter 420: loss 7.6587, time 10341.18ms, mfu 3.00%
iter 430: loss 7.1603, time 11904.82ms, mfu 2.99%
iter 440: loss 7.3440, time 11466.33ms, mfu 2.98%
iter 450: loss 7.5564, time 10895.14ms, mfu 2.99%
iter 460: loss 7.2520, time 10535.31ms, mfu 3.01%
iter 470: loss 7.6262, time 10989.16ms, mfu 3.02%
iter 480: loss 7.7053, time 10731.72ms, mfu 3.03%
iter 490: loss 7.8115, time 9413.28ms, mfu 3.08%
step 500: train loss 7.4150, val loss 7.4331
saving checkpoint to out
iter 500: loss 6.8985, time 31052.12ms, mfu 2.88%
iter 510: loss 7.3851, time 11924.60ms, mfu 2.88%
iter 520: loss 7.2047, time 10834.29ms, mfu 2.90%
iter 530: loss 7.4754, time 10858.22ms, mfu 2.92%
iter 540: loss 7.3662, time 10824.53ms, mfu 2.94%
iter 550: loss 7.5504, time 10979.26ms, mfu 2.95%
iter 560: loss 6.9396, time 10070.20ms, mfu 2.99%
iter 570: loss 7.1666, time 12202.13ms, mfu 2.97%
iter 580: loss 7.4870, time 9441.89ms, mfu 3.03%
iter 590: loss 7.1871, time 11670.31ms, mfu 3.01%
iter 600: loss 7.3285, time 10372.69ms, mfu 3.04%
iter 610: loss 7.4103, time 11135.78ms, mfu 3.04%
iter 620: loss 7.2393, time 10973.77ms, mfu 3.04%
iter 630: loss 6.9963, time 11182.30ms, mfu 3.04%
iter 640: loss 6.9572, time 10115.73ms, mfu 3.07%
iter 650: loss 7.5493, time 9808.42ms, mfu 3.10%
iter 660: loss 7.1314, time 11005.03ms, mfu 3.10%
iter 670: loss 6.9222, time 10155.01ms, mfu 3.12%
iter 680: loss 7.7760, time 11746.27ms, mfu 3.09%
iter 690: loss 7.7435, time 10449.98ms, mfu 3.11%
iter 700: loss 7.0129, time 11543.01ms, mfu 3.09%
iter 710: loss 6.8939, time 9384.84ms, mfu 3.14%
iter 720: loss 6.8683, time 12542.47ms, mfu 3.09%
iter 730: loss 7.6183, time 11380.38ms, mfu 3.08%
iter 740: loss 7.2168, time 11389.15ms, mfu 3.07%
iter 750: loss 7.3346, time 11477.43ms, mfu 3.05%
iter 760: loss 7.2172, time 10853.25ms, mfu 3.06%
iter 770: loss 6.6785, time 11710.44ms, mfu 3.04%
iter 780: loss 6.5417, time 12331.28ms, mfu 3.01%
iter 790: loss 6.8012, time 11361.83ms, mfu 3.00%
iter 800: loss 6.6621, time 11128.06ms, mfu 3.01%
iter 810: loss 6.7606, time 12087.18ms, mfu 2.98%
iter 820: loss 7.0491, time 10396.94ms, mfu 3.01%
iter 830: loss 7.2865, time 10392.83ms, mfu 3.03%
iter 840: loss 6.8660, time 11723.51ms, mfu 3.02%
iter 850: loss 6.8348, time 10789.02ms, mfu 3.03%
iter 860: loss 6.7576, time 10265.51ms, mfu 3.05%
iter 870: loss 6.7066, time 10865.79ms, mfu 3.06%
iter 880: loss 7.0944, time 11066.95ms, mfu 3.06%
iter 890: loss 7.1113, time 9833.88ms, mfu 3.09%
iter 900: loss 7.3529, time 10012.59ms, mfu 3.12%
iter 910: loss 6.8827, time 10714.40ms, mfu 3.12%
iter 920: loss 6.5371, time 10962.09ms, mfu 3.12%
iter 930: loss 6.7554, time 9733.58ms, mfu 3.15%
iter 940: loss 6.5275, time 11676.85ms, mfu 3.12%
iter 950: loss 7.0387, time 11814.50ms, mfu 3.10%
iter 960: loss 6.6286, time 11184.55ms, mfu 3.09%
iter 970: loss 6.8350, time 9512.46ms, mfu 3.13%
iter 980: loss 6.3979, time 12111.11ms, mfu 3.10%
iter 990: loss 6.8174, time 11098.82ms, mfu 3.09%
step 1000: train loss 6.8959, val loss 6.8790
saving checkpoint to out
iter 1000: loss 6.8904, time 30863.12ms, mfu 2.89%
iter 1010: loss 6.6957, time 9610.18ms, mfu 2.95%
iter 1020: loss 6.3499, time 10112.74ms, mfu 2.99%
iter 1030: loss 6.7814, time 10224.85ms, mfu 3.02%
iter 1040: loss 6.9612, time 11130.90ms, mfu 3.02%
iter 1050: loss 6.7510, time 10930.39ms, mfu 3.03%
iter 1060: loss 7.4396, time 10805.24ms, mfu 3.04%
iter 1070: loss 6.7985, time 9455.81ms, mfu 3.09%
iter 1080: loss 6.5673, time 11541.72ms, mfu 3.07%
iter 1090: loss 7.2418, time 9956.96ms, mfu 3.10%
iter 1100: loss 7.1088, time 12060.45ms, mfu 3.07%
iter 1110: loss 7.0365, time 10148.01ms, mfu 3.10%
iter 1120: loss 6.4582, time 12722.28ms, mfu 3.05%
iter 1130: loss 7.1647, time 10759.32ms, mfu 3.06%
iter 1140: loss 7.0365, time 11039.00ms, mfu 3.06%
iter 1150: loss 7.1037, time 11295.54ms, mfu 3.05%
iter 1160: loss 6.9208, time 11092.40ms, mfu 3.05%
iter 1170: loss 6.7801, time 10701.46ms, mfu 3.06%
iter 1180: loss 6.5629, time 11592.36ms, mfu 3.04%
iter 1190: loss 6.4214, time 11545.57ms, mfu 3.03%
iter 1200: loss 6.2288, time 11518.81ms, mfu 3.02%
iter 1210: loss 6.5810, time 11822.63ms, mfu 3.00%
iter 1220: loss 6.6306, time 9856.72ms, mfu 3.04%
iter 1230: loss 6.1774, time 11560.50ms, mfu 3.03%
iter 1240: loss 6.2228, time 11688.73ms, mfu 3.02%
iter 1250: loss 6.6246, time 11455.41ms, mfu 3.01%
iter 1260: loss 6.6443, time 9416.94ms, mfu 3.06%
iter 1270: loss 6.9993, time 10235.12ms, mfu 3.09%
iter 1280: loss 7.0698, time 10198.32ms, mfu 3.11%
iter 1290: loss 6.6757, time 11183.33ms, mfu 3.10%
iter 1300: loss 6.6239, time 12349.12ms, mfu 3.06%
iter 1310: loss 6.8631, time 11916.31ms, mfu 3.04%
iter 1320: loss 6.6220, time 10454.16ms, mfu 3.06%
iter 1330: loss 6.8479, time 10657.74ms, mfu 3.07%
iter 1340: loss 5.9696, time 10313.50ms, mfu 3.09%
iter 1350: loss 6.2373, time 11333.26ms, mfu 3.07%
iter 1360: loss 7.0259, time 10759.44ms, mfu 3.08%
iter 1370: loss 7.0866, time 11245.41ms, mfu 3.07%
iter 1380: loss 6.7090, time 11077.43ms, mfu 3.07%
iter 1390: loss 6.9487, time 10350.88ms, mfu 3.09%
iter 1400: loss 6.6733, time 10032.26ms, mfu 3.11%
iter 1410: loss 6.4956, time 10353.81ms, mfu 3.13%
iter 1420: loss 6.7891, time 10958.02ms, mfu 3.12%
iter 1430: loss 7.9715, time 12782.20ms, mfu 3.07%
iter 1440: loss 5.4610, time 10577.50ms, mfu 3.08%
iter 1450: loss 6.3497, time 10447.61ms, mfu 3.10%
iter 1460: loss 6.7395, time 9952.29ms, mfu 3.13%
iter 1470: loss 6.5491, time 11049.98ms, mfu 3.12%
iter 1480: loss 6.9334, time 10501.19ms, mfu 3.13%
iter 1490: loss 6.5269, time 10471.40ms, mfu 3.14%
step 1500: train loss 6.5736, val loss 6.5783
saving checkpoint to out
iter 1500: loss 6.7362, time 31667.94ms, mfu 2.93%
iter 1510: loss 6.6100, time 10747.72ms, mfu 2.95%
iter 1520: loss 6.6433, time 9478.59ms, mfu 3.01%
iter 1530: loss 6.5501, time 9585.37ms, mfu 3.06%
iter 1540: loss 6.9848, time 10832.03ms, mfu 3.06%
iter 1550: loss 5.7124, time 10612.48ms, mfu 3.08%
iter 1560: loss 6.9456, time 10676.99ms, mfu 3.08%
iter 1570: loss 6.4651, time 9605.53ms, mfu 3.13%
iter 1580: loss 6.8727, time 10190.30ms, mfu 3.14%
iter 1590: loss 6.1873, time 11198.86ms, mfu 3.13%
iter 1600: loss 6.4420, time 11927.61ms, mfu 3.10%
iter 1610: loss 5.9552, time 10354.60ms, mfu 3.11%
iter 1620: loss 6.6554, time 10248.18ms, mfu 3.13%
iter 1630: loss 5.9962, time 12497.65ms, mfu 3.09%
iter 1640: loss 6.4179, time 11731.86ms, mfu 3.07%
iter 1650: loss 6.4131, time 9574.46ms, mfu 3.11%
iter 1660: loss 7.1920, time 11456.41ms, mfu 3.09%
iter 1670: loss 6.4220, time 9653.68ms, mfu 3.13%
iter 1680: loss 6.6247, time 10813.16ms, mfu 3.13%
iter 1690: loss 6.8029, time 10238.14ms, mfu 3.15%
iter 1700: loss 6.8228, time 9401.88ms, mfu 3.19%
iter 1710: loss 6.4428, time 10381.98ms, mfu 3.20%
iter 1720: loss 6.5095, time 9648.83ms, mfu 3.22%
iter 1730: loss 6.8868, time 10058.28ms, mfu 3.24%
iter 1740: loss 6.6964, time 9838.16ms, mfu 3.26%
iter 1750: loss 5.7942, time 11949.00ms, mfu 3.21%
iter 1760: loss 6.6271, time 11051.64ms, mfu 3.19%
iter 1770: loss 6.3784, time 9723.03ms, mfu 3.22%
iter 1780: loss 6.7086, time 9780.04ms, mfu 3.24%
iter 1790: loss 6.7192, time 10641.16ms, mfu 3.24%
iter 1800: loss 6.3110, time 10355.43ms, mfu 3.24%
iter 1810: loss 6.3461, time 10911.61ms, mfu 3.22%
iter 1820: loss 6.3345, time 10190.71ms, mfu 3.23%
iter 1830: loss 6.5508, time 9837.43ms, mfu 3.25%
iter 1840: loss 6.4759, time 9715.67ms, mfu 3.27%
iter 1850: loss 6.6569, time 9493.84ms, mfu 3.30%
iter 1860: loss 6.6931, time 10748.27ms, mfu 3.28%
iter 1870: loss 6.3378, time 10218.50ms, mfu 3.28%
iter 1880: loss 6.8446, time 9445.01ms, mfu 3.31%
iter 1890: loss 6.6414, time 10964.80ms, mfu 3.29%
iter 1900: loss 6.9300, time 10437.63ms, mfu 3.28%
iter 1910: loss 6.6569, time 10977.22ms, mfu 3.26%
iter 1920: loss 5.8903, time 10226.34ms, mfu 3.26%
iter 1930: loss 6.1164, time 10427.53ms, mfu 3.26%
