
step 0: train loss 10.9873, val loss 10.9915
iter 0: loss 11.0254, time 22626.38ms, mfu -100.00%
iter 10: loss 10.9700, time 6971.86ms, mfu 4.83%
iter 20: loss 10.8093, time 6996.29ms, mfu 4.83%
iter 30: loss 10.6351, time 7038.39ms, mfu 4.82%
iter 40: loss 10.3585, time 7044.54ms, mfu 4.82%
iter 50: loss 10.1576, time 6945.68ms, mfu 4.82%
iter 60: loss 9.8880, time 6938.22ms, mfu 4.82%
iter 70: loss 9.8415, time 6931.52ms, mfu 4.83%
iter 80: loss 9.6867, time 6937.41ms, mfu 4.83%
iter 90: loss 9.6013, time 6941.57ms, mfu 4.83%
iter 100: loss 9.2749, time 6968.90ms, mfu 4.83%
iter 110: loss 9.3102, time 6953.67ms, mfu 4.83%
iter 120: loss 9.3670, time 6962.63ms, mfu 4.83%
iter 130: loss 8.9528, time 6939.11ms, mfu 4.83%
iter 140: loss 8.9042, time 6926.13ms, mfu 4.84%
iter 150: loss 8.8843, time 6933.42ms, mfu 4.84%
iter 160: loss 8.8755, time 6966.55ms, mfu 4.84%
iter 170: loss 8.8805, time 6952.24ms, mfu 4.84%
iter 180: loss 8.6682, time 6932.55ms, mfu 4.84%
iter 190: loss 8.5030, time 6943.77ms, mfu 4.84%
iter 200: loss 8.9045, time 6945.68ms, mfu 4.84%
iter 210: loss 8.8607, time 6939.29ms, mfu 4.84%
iter 220: loss 8.4169, time 6962.75ms, mfu 4.84%
iter 230: loss 8.2908, time 6951.79ms, mfu 4.84%
iter 240: loss 8.3617, time 6934.44ms, mfu 4.84%
iter 250: loss 9.0228, time 6928.59ms, mfu 4.84%
iter 260: loss 8.9844, time 6939.20ms, mfu 4.85%
iter 270: loss 8.3034, time 6943.85ms, mfu 4.85%
iter 280: loss 8.2988, time 6946.21ms, mfu 4.85%
iter 290: loss 8.2434, time 6926.82ms, mfu 4.85%
iter 300: loss 8.4931, time 6937.09ms, mfu 4.85%
iter 310: loss 8.5932, time 6930.23ms, mfu 4.85%
iter 320: loss 7.7433, time 6939.22ms, mfu 4.85%
iter 330: loss 8.1169, time 6959.64ms, mfu 4.85%
iter 340: loss 8.6039, time 6980.66ms, mfu 4.85%
iter 350: loss 8.1235, time 6937.13ms, mfu 4.85%
