
step 0: train loss 10.9873, val loss 10.9915
iter 0: loss 11.0254, time 22595.04ms, mfu -100.00%
iter 10: loss 10.6853, time 6912.61ms, mfu 4.87%
iter 20: loss 10.1279, time 6954.09ms, mfu 4.87%
iter 30: loss 9.7532, time 6950.89ms, mfu 4.86%
iter 40: loss 9.3849, time 6954.53ms, mfu 4.86%
iter 50: loss 9.1538, time 6943.61ms, mfu 4.86%
iter 60: loss 8.7069, time 6950.19ms, mfu 4.86%
iter 70: loss 8.7240, time 6947.57ms, mfu 4.86%
iter 80: loss 8.4216, time 6955.37ms, mfu 4.86%
iter 90: loss 8.4283, time 6946.51ms, mfu 4.86%
iter 100: loss 8.0589, time 7039.83ms, mfu 4.85%
iter 110: loss 7.9300, time 7003.52ms, mfu 4.84%
iter 120: loss 8.2947, time 6970.32ms, mfu 4.84%
iter 130: loss 7.4552, time 6951.87ms, mfu 4.84%
iter 140: loss 7.1843, time 6957.96ms, mfu 4.84%
iter 150: loss 7.3131, time 6971.56ms, mfu 4.84%
iter 160: loss 7.3261, time 6971.29ms, mfu 4.84%
iter 170: loss 7.3235, time 7013.04ms, mfu 4.84%
iter 180: loss 7.4943, time 7044.74ms, mfu 4.83%
iter 190: loss 6.6210, time 7047.24ms, mfu 4.82%
iter 200: loss 7.2957, time 7038.87ms, mfu 4.82%
iter 210: loss 7.3860, time 7006.25ms, mfu 4.82%
iter 220: loss 7.0376, time 7014.78ms, mfu 4.82%
iter 230: loss 6.3441, time 7041.61ms, mfu 4.81%
iter 240: loss 6.6513, time 7027.37ms, mfu 4.81%
iter 250: loss 7.5792, time 6976.39ms, mfu 4.81%
iter 260: loss 7.3212, time 6970.39ms, mfu 4.81%
iter 270: loss 6.6649, time 6965.21ms, mfu 4.82%
iter 280: loss 6.6574, time 6967.35ms, mfu 4.82%
iter 290: loss 6.8473, time 6965.77ms, mfu 4.82%
iter 300: loss 6.8063, time 6976.28ms, mfu 4.82%
iter 310: loss 6.5006, time 6974.88ms, mfu 4.82%
iter 320: loss 6.1110, time 6964.00ms, mfu 4.82%
iter 330: loss 6.3876, time 6943.67ms, mfu 4.82%
iter 340: loss 7.0689, time 6946.90ms, mfu 4.83%
iter 350: loss 6.4649, time 6968.97ms, mfu 4.83%
iter 360: loss 6.7368, time 6956.88ms, mfu 4.83%
iter 370: loss 6.5098, time 6953.86ms, mfu 4.83%
iter 380: loss 6.2580, time 6944.86ms, mfu 4.83%
iter 390: loss 6.6779, time 6944.97ms, mfu 4.83%
iter 400: loss 6.3238, time 6938.12ms, mfu 4.83%
iter 410: loss 6.7777, time 6943.73ms, mfu 4.84%
iter 420: loss 6.4008, time 6943.51ms, mfu 4.84%
iter 430: loss 5.8248, time 6946.34ms, mfu 4.84%
iter 440: loss 6.0728, time 6960.98ms, mfu 4.84%
iter 450: loss 6.2846, time 6957.85ms, mfu 4.84%
iter 460: loss 5.9183, time 6959.02ms, mfu 4.84%
iter 470: loss 6.3069, time 6961.50ms, mfu 4.84%
iter 480: loss 6.3768, time 6956.50ms, mfu 4.84%
iter 490: loss 6.5804, time 6958.58ms, mfu 4.84%
step 500: train loss 6.1654, val loss 6.1690
saving checkpoint to out
iter 500: loss 5.7804, time 23226.13ms, mfu 4.50%
iter 510: loss 6.1539, time 6990.22ms, mfu 4.53%
iter 520: loss 5.8779, time 6996.71ms, mfu 4.56%
iter 530: loss 6.2115, time 6994.27ms, mfu 4.58%
iter 540: loss 5.9525, time 6969.60ms, mfu 4.61%
iter 550: loss 6.2810, time 6965.04ms, mfu 4.63%
iter 560: loss 5.5571, time 6956.96ms, mfu 4.65%
iter 570: loss 5.8777, time 6953.64ms, mfu 4.67%
iter 580: loss 6.3709, time 6979.36ms, mfu 4.69%
iter 590: loss 6.0303, time 6985.94ms, mfu 4.70%
iter 600: loss 6.2067, time 6964.80ms, mfu 4.71%
iter 610: loss 6.1786, time 6977.71ms, mfu 4.72%
iter 620: loss 5.9959, time 7010.64ms, mfu 4.73%
iter 630: loss 5.8056, time 6971.75ms, mfu 4.74%
iter 640: loss 5.8143, time 6971.82ms, mfu 4.75%
iter 650: loss 6.3255, time 6972.94ms, mfu 4.76%
iter 660: loss 6.0506, time 7000.34ms, mfu 4.76%
iter 670: loss 5.8228, time 6986.62ms, mfu 4.77%
iter 680: loss 6.3935, time 6969.52ms, mfu 4.77%
iter 690: loss 6.5933, time 7034.02ms, mfu 4.78%
iter 700: loss 5.9421, time 6968.68ms, mfu 4.78%
iter 710: loss 5.5839, time 7014.82ms, mfu 4.78%
iter 720: loss 5.6346, time 6967.26ms, mfu 4.79%
iter 730: loss 6.3937, time 6983.53ms, mfu 4.79%
iter 740: loss 5.9226, time 7004.97ms, mfu 4.79%
iter 750: loss 5.8817, time 6966.93ms, mfu 4.80%
iter 760: loss 5.8467, time 6971.14ms, mfu 4.80%
iter 770: loss 5.3669, time 6990.53ms, mfu 4.80%
iter 780: loss 5.4789, time 6983.91ms, mfu 4.80%
iter 790: loss 5.7099, time 6960.58ms, mfu 4.81%
iter 800: loss 5.3215, time 6947.60ms, mfu 4.81%
iter 810: loss 5.5346, time 6967.26ms, mfu 4.81%
iter 820: loss 5.8434, time 6960.73ms, mfu 4.82%
iter 830: loss 5.9263, time 6946.19ms, mfu 4.82%
iter 840: loss 5.6291, time 6971.73ms, mfu 4.82%
iter 850: loss 5.5793, time 6991.75ms, mfu 4.82%
iter 860: loss 5.4074, time 6977.07ms, mfu 4.82%
iter 870: loss 5.4165, time 6957.64ms, mfu 4.82%
iter 880: loss 5.5781, time 6947.34ms, mfu 4.82%
iter 890: loss 5.7492, time 6966.63ms, mfu 4.82%
iter 900: loss 6.0475, time 6982.71ms, mfu 4.82%
iter 910: loss 5.6631, time 6959.89ms, mfu 4.83%
iter 920: loss 5.3111, time 6931.13ms, mfu 4.83%
iter 930: loss 5.2095, time 6930.45ms, mfu 4.83%
iter 940: loss 5.1313, time 6946.57ms, mfu 4.83%
iter 950: loss 5.6042, time 6966.03ms, mfu 4.83%
iter 960: loss 5.3447, time 6960.65ms, mfu 4.83%
iter 970: loss 5.5191, time 6973.21ms, mfu 4.83%
iter 980: loss 5.2097, time 6975.73ms, mfu 4.83%
iter 990: loss 5.5991, time 6957.36ms, mfu 4.83%
step 1000: train loss 5.5408, val loss 5.5186
saving checkpoint to out
iter 1000: loss 5.6582, time 23534.37ms, mfu 4.49%
iter 1010: loss 5.2683, time 6989.90ms, mfu 4.52%
iter 1020: loss 5.0434, time 6975.57ms, mfu 4.56%
iter 1030: loss 5.3612, time 6979.65ms, mfu 4.58%
iter 1040: loss 5.5598, time 6991.53ms, mfu 4.61%
iter 1050: loss 5.2657, time 6984.71ms, mfu 4.63%
iter 1060: loss 6.0274, time 6978.68ms, mfu 4.65%
iter 1070: loss 5.3841, time 6996.20ms, mfu 4.66%
iter 1080: loss 5.2905, time 6984.16ms, mfu 4.68%
iter 1090: loss 5.8634, time 6971.21ms, mfu 4.69%
iter 1100: loss 5.2558, time 6989.15ms, mfu 4.71%
iter 1110: loss 5.6635, time 6968.68ms, mfu 4.72%
iter 1120: loss 4.9733, time 6976.51ms, mfu 4.73%
iter 1130: loss 5.5301, time 6982.80ms, mfu 4.74%
iter 1140: loss 5.3775, time 6953.03ms, mfu 4.75%
iter 1150: loss 5.4779, time 6969.38ms, mfu 4.76%
iter 1160: loss 5.5067, time 6989.63ms, mfu 4.76%
iter 1170: loss 5.1555, time 6964.69ms, mfu 4.77%
iter 1180: loss 5.2584, time 6960.16ms, mfu 4.78%
iter 1190: loss 4.9979, time 6940.52ms, mfu 4.78%
iter 1200: loss 4.9121, time 6964.32ms, mfu 4.79%
iter 1210: loss 5.2449, time 6958.26ms, mfu 4.79%
iter 1220: loss 5.0450, time 6948.51ms, mfu 4.80%
iter 1230: loss 4.9117, time 6952.57ms, mfu 4.80%
iter 1240: loss 4.7273, time 6961.68ms, mfu 4.81%
iter 1250: loss 4.9248, time 6923.77ms, mfu 4.81%
iter 1260: loss 5.1229, time 6920.57ms, mfu 4.82%
iter 1270: loss 5.6009, time 6939.67ms, mfu 4.82%
iter 1280: loss 5.6878, time 6952.74ms, mfu 4.82%
iter 1290: loss 4.9719, time 6939.36ms, mfu 4.83%
iter 1300: loss 4.9093, time 6925.11ms, mfu 4.83%
iter 1310: loss 5.2775, time 6939.20ms, mfu 4.83%
iter 1320: loss 5.1372, time 6954.72ms, mfu 4.83%
iter 1330: loss 5.2601, time 6945.41ms, mfu 4.83%
iter 1340: loss 4.5943, time 6923.97ms, mfu 4.84%
iter 1350: loss 4.7097, time 6942.37ms, mfu 4.84%
iter 1360: loss 5.4236, time 6964.65ms, mfu 4.84%
iter 1370: loss 5.4386, time 6966.62ms, mfu 4.84%
iter 1380: loss 4.9546, time 6982.39ms, mfu 4.84%
iter 1390: loss 5.0988, time 6967.25ms, mfu 4.84%
iter 1400: loss 4.8837, time 6965.40ms, mfu 4.83%
iter 1410: loss 4.9173, time 6964.90ms, mfu 4.83%
iter 1420: loss 5.2462, time 6971.89ms, mfu 4.83%
iter 1430: loss 6.1109, time 6977.55ms, mfu 4.83%
iter 1440: loss 4.1653, time 6979.36ms, mfu 4.83%
iter 1450: loss 4.7705, time 6964.26ms, mfu 4.83%
iter 1460: loss 4.7723, time 6952.78ms, mfu 4.83%
iter 1470: loss 4.9242, time 6960.03ms, mfu 4.83%
iter 1480: loss 5.2573, time 6967.68ms, mfu 4.83%
iter 1490: loss 4.8778, time 6980.30ms, mfu 4.83%
step 1500: train loss 4.8398, val loss 4.8425
saving checkpoint to out
iter 1500: loss 4.6631, time 23408.84ms, mfu 4.49%
iter 1510: loss 4.8653, time 6988.66ms, mfu 4.53%
iter 1520: loss 4.7417, time 6965.67ms, mfu 4.56%
iter 1530: loss 4.8257, time 7005.25ms, mfu 4.58%
iter 1540: loss 4.9702, time 6975.00ms, mfu 4.61%
iter 1550: loss 4.1047, time 6968.40ms, mfu 4.63%
iter 1560: loss 5.1926, time 6959.53ms, mfu 4.65%
iter 1570: loss 4.6911, time 6949.08ms, mfu 4.67%
iter 1580: loss 4.8683, time 6972.80ms, mfu 4.68%
iter 1590: loss 4.5596, time 6964.38ms, mfu 4.70%
iter 1600: loss 4.3541, time 7006.15ms, mfu 4.71%
iter 1610: loss 4.2496, time 6956.05ms, mfu 4.72%
iter 1620: loss 4.5899, time 6947.77ms, mfu 4.74%
iter 1630: loss 4.3380, time 6989.54ms, mfu 4.74%
iter 1640: loss 4.5862, time 6965.24ms, mfu 4.75%
iter 1650: loss 4.9452, time 6978.70ms, mfu 4.76%
iter 1660: loss 5.3973, time 6948.75ms, mfu 4.77%
iter 1670: loss 4.5154, time 6955.88ms, mfu 4.78%
iter 1680: loss 4.7730, time 6958.77ms, mfu 4.78%
iter 1690: loss 4.9543, time 6969.51ms, mfu 4.79%
iter 1700: loss 4.9487, time 6982.41ms, mfu 4.79%
iter 1710: loss 4.6677, time 6997.85ms, mfu 4.79%
iter 1720: loss 4.7068, time 6968.77ms, mfu 4.80%
iter 1730: loss 4.7209, time 6954.31ms, mfu 4.80%
iter 1740: loss 4.8076, time 6979.05ms, mfu 4.80%
iter 1750: loss 4.1443, time 7001.98ms, mfu 4.80%
iter 1760: loss 4.4758, time 6967.01ms, mfu 4.81%
iter 1770: loss 4.5544, time 7007.20ms, mfu 4.81%
iter 1780: loss 4.6851, time 6952.97ms, mfu 4.81%
iter 1790: loss 4.5456, time 6975.84ms, mfu 4.81%
iter 1800: loss 4.4251, time 6977.49ms, mfu 4.81%
iter 1810: loss 4.4342, time 6973.26ms, mfu 4.81%
iter 1820: loss 4.5058, time 6959.31ms, mfu 4.82%
iter 1830: loss 4.6841, time 6953.90ms, mfu 4.82%
iter 1840: loss 4.5452, time 6968.76ms, mfu 4.82%
iter 1850: loss 4.8010, time 6962.23ms, mfu 4.82%
iter 1860: loss 4.7093, time 6943.06ms, mfu 4.82%
iter 1870: loss 4.3823, time 6944.65ms, mfu 4.83%
iter 1880: loss 5.1809, time 6958.65ms, mfu 4.83%
iter 1890: loss 4.7644, time 6970.00ms, mfu 4.83%
iter 1900: loss 4.7793, time 6997.78ms, mfu 4.83%
iter 1910: loss 4.7438, time 6967.94ms, mfu 4.83%
iter 1920: loss 4.2502, time 6969.36ms, mfu 4.83%
iter 1930: loss 4.3446, time 6948.08ms, mfu 4.83%
iter 1940: loss 4.5823, time 6958.15ms, mfu 4.83%
iter 1950: loss 4.9022, time 6990.25ms, mfu 4.83%
iter 1960: loss 4.5876, time 6953.07ms, mfu 4.83%
iter 1970: loss 4.5015, time 6958.73ms, mfu 4.83%
iter 1980: loss 4.7112, time 6984.32ms, mfu 4.83%
iter 1990: loss 4.4052, time 6994.87ms, mfu 4.83%
step 2000: train loss 4.3998, val loss 4.4348
saving checkpoint to out
iter 2000: loss 4.2295, time 23341.42ms, mfu 4.49%
iter 2010: loss 4.2676, time 6952.66ms, mfu 4.52%
iter 2020: loss 4.1657, time 6968.10ms, mfu 4.56%
iter 2030: loss 4.3189, time 6955.58ms, mfu 4.58%
iter 2040: loss 4.6692, time 6967.04ms, mfu 4.61%
iter 2050: loss 4.4915, time 6953.77ms, mfu 4.63%
iter 2060: loss 4.4636, time 6969.56ms, mfu 4.65%
iter 2070: loss 4.7172, time 6961.25ms, mfu 4.67%
iter 2080: loss 4.2604, time 6977.64ms, mfu 4.69%
iter 2090: loss 4.2787, time 6965.64ms, mfu 4.70%
iter 2100: loss 4.5149, time 6986.65ms, mfu 4.71%
iter 2110: loss 4.5104, time 6979.72ms, mfu 4.72%
iter 2120: loss 4.1911, time 6966.43ms, mfu 4.73%
iter 2130: loss 3.7410, time 6944.20ms, mfu 4.75%
iter 2140: loss 4.6014, time 6949.12ms, mfu 4.76%
iter 2150: loss 4.3909, time 6942.55ms, mfu 4.76%
iter 2160: loss 4.2931, time 6967.52ms, mfu 4.77%
iter 2170: loss 4.1643, time 6982.74ms, mfu 4.78%
iter 2180: loss 4.2359, time 6959.32ms, mfu 4.78%
iter 2190: loss 4.3853, time 6953.50ms, mfu 4.79%
iter 2200: loss 3.8777, time 6943.16ms, mfu 4.79%
iter 2210: loss 4.4589, time 6947.76ms, mfu 4.80%
iter 2220: loss 4.0335, time 6968.30ms, mfu 4.80%
iter 2230: loss 3.9523, time 6969.43ms, mfu 4.81%
iter 2240: loss 3.8280, time 6990.55ms, mfu 4.81%
iter 2250: loss 4.6122, time 6976.52ms, mfu 4.81%
iter 2260: loss 3.9786, time 6963.10ms, mfu 4.81%
iter 2270: loss 4.6554, time 6957.83ms, mfu 4.81%
iter 2280: loss 4.5046, time 6944.02ms, mfu 4.82%
iter 2290: loss 4.3007, time 6958.93ms, mfu 4.82%
iter 2300: loss 4.2431, time 6954.21ms, mfu 4.82%
iter 2310: loss 3.8807, time 6956.89ms, mfu 4.82%
iter 2320: loss 4.4244, time 6943.43ms, mfu 4.83%
iter 2330: loss 4.4687, time 6945.38ms, mfu 4.83%
iter 2340: loss 4.5915, time 6967.71ms, mfu 4.83%
iter 2350: loss 4.0924, time 6996.48ms, mfu 4.83%
iter 2360: loss 4.4133, time 6964.80ms, mfu 4.83%
iter 2370: loss 4.1564, time 6946.05ms, mfu 4.83%
iter 2380: loss 4.1680, time 6946.07ms, mfu 4.83%
iter 2390: loss 4.4068, time 6941.64ms, mfu 4.83%
iter 2400: loss 4.1190, time 6950.14ms, mfu 4.83%
iter 2410: loss 4.3730, time 6953.83ms, mfu 4.83%
iter 2420: loss 4.1081, time 6985.07ms, mfu 4.83%
iter 2430: loss 4.0364, time 6989.36ms, mfu 4.83%
iter 2440: loss 4.4134, time 6978.60ms, mfu 4.83%
iter 2450: loss 4.1684, time 6968.86ms, mfu 4.83%
iter 2460: loss 4.9064, time 6961.36ms, mfu 4.83%
iter 2470: loss 4.2534, time 6944.02ms, mfu 4.83%
iter 2480: loss 4.3712, time 6976.60ms, mfu 4.83%
iter 2490: loss 4.2996, time 6967.87ms, mfu 4.83%
step 2500: train loss 4.2059, val loss 4.2154
saving checkpoint to out
iter 2500: loss 4.2825, time 23444.36ms, mfu 4.49%
iter 2510: loss 4.1442, time 6929.47ms, mfu 4.53%
iter 2520: loss 4.0876, time 6940.61ms, mfu 4.56%
iter 2530: loss 3.9224, time 6965.95ms, mfu 4.59%
iter 2540: loss 3.8518, time 6988.27ms, mfu 4.61%
iter 2550: loss 4.1672, time 6974.96ms, mfu 4.63%
iter 2560: loss 4.1500, time 6951.11ms, mfu 4.65%
iter 2570: loss 4.0283, time 6947.17ms, mfu 4.67%
iter 2580: loss 3.7304, time 6966.61ms, mfu 4.69%
iter 2590: loss 4.3595, time 6955.77ms, mfu 4.70%
iter 2600: loss 4.2565, time 6994.80ms, mfu 4.71%
iter 2610: loss 4.3590, time 6961.27ms, mfu 4.73%
iter 2620: loss 4.3024, time 6960.26ms, mfu 4.74%
iter 2630: loss 4.1703, time 6958.39ms, mfu 4.75%
iter 2640: loss 3.8942, time 6956.23ms, mfu 4.76%
iter 2650: loss 4.2018, time 6994.15ms, mfu 4.76%
iter 2660: loss 4.2419, time 7010.42ms, mfu 4.77%
iter 2670: loss 4.1829, time 6963.05ms, mfu 4.77%
iter 2680: loss 3.7946, time 6962.77ms, mfu 4.78%
iter 2690: loss 4.3542, time 6980.36ms, mfu 4.78%
iter 2700: loss 3.9429, time 6999.65ms, mfu 4.79%
iter 2710: loss 3.4566, time 6990.98ms, mfu 4.79%
iter 2720: loss 4.2580, time 6955.32ms, mfu 4.79%
iter 2730: loss 4.1584, time 6968.21ms, mfu 4.80%
iter 2740: loss 3.3689, time 6972.59ms, mfu 4.80%
iter 2750: loss 3.7103, time 6979.74ms, mfu 4.80%
iter 2760: loss 4.3343, time 6972.77ms, mfu 4.81%
iter 2770: loss 3.7469, time 6966.02ms, mfu 4.81%
iter 2780: loss 4.3152, time 6957.51ms, mfu 4.81%
