
step 0: train loss 10.9873, val loss 10.9915
iter 0: loss 11.0254, time 21904.57ms, mfu -100.00%
iter 10: loss 10.4236, time 6242.41ms, mfu 5.39%
iter 20: loss 9.7658, time 6259.56ms, mfu 5.39%
iter 30: loss 9.5172, time 6262.54ms, mfu 5.39%
iter 40: loss 9.1770, time 6264.52ms, mfu 5.39%
iter 50: loss 9.1487, time 6275.27ms, mfu 5.39%
iter 60: loss 8.6684, time 6273.28ms, mfu 5.38%
iter 70: loss 8.7779, time 6257.81ms, mfu 5.38%
iter 80: loss 8.5182, time 6275.98ms, mfu 5.38%
iter 90: loss 8.3866, time 6280.83ms, mfu 5.38%
iter 100: loss 8.0665, time 6282.73ms, mfu 5.38%
iter 110: loss 7.9007, time 6282.60ms, mfu 5.38%
iter 120: loss 8.0581, time 6284.31ms, mfu 5.37%
iter 130: loss 7.2881, time 6286.88ms, mfu 5.37%
iter 140: loss 6.9960, time 6285.91ms, mfu 5.37%
iter 150: loss 7.0033, time 6287.20ms, mfu 5.37%
iter 160: loss 6.9838, time 6289.15ms, mfu 5.37%
iter 170: loss 6.8361, time 6288.32ms, mfu 5.37%
iter 180: loss 7.0852, time 6289.74ms, mfu 5.36%
iter 190: loss 6.2585, time 6287.26ms, mfu 5.36%
iter 200: loss 6.8350, time 6287.98ms, mfu 5.36%
iter 210: loss 6.8919, time 6287.51ms, mfu 5.36%
iter 220: loss 6.5576, time 6289.00ms, mfu 5.36%
iter 230: loss 5.9330, time 6288.76ms, mfu 5.36%
iter 240: loss 6.2349, time 6287.86ms, mfu 5.36%
iter 250: loss 7.1569, time 6289.06ms, mfu 5.36%
iter 260: loss 6.8400, time 6287.85ms, mfu 5.36%
iter 270: loss 6.2521, time 6286.34ms, mfu 5.36%
iter 280: loss 6.2224, time 6284.56ms, mfu 5.36%
iter 290: loss 6.3773, time 6283.74ms, mfu 5.36%
iter 300: loss 6.2995, time 6280.36ms, mfu 5.36%
iter 310: loss 6.0295, time 6278.04ms, mfu 5.36%
iter 320: loss 5.7291, time 6278.86ms, mfu 5.36%
iter 330: loss 5.9608, time 6280.62ms, mfu 5.36%
iter 340: loss 6.5021, time 6280.28ms, mfu 5.36%
iter 350: loss 5.9860, time 6279.28ms, mfu 5.36%
iter 360: loss 6.2449, time 6280.02ms, mfu 5.36%
iter 370: loss 5.9855, time 6278.29ms, mfu 5.36%
iter 380: loss 5.7550, time 6278.61ms, mfu 5.36%
iter 390: loss 6.1752, time 6278.51ms, mfu 5.36%
iter 400: loss 5.8563, time 6277.71ms, mfu 5.36%
iter 410: loss 6.2984, time 6281.18ms, mfu 5.36%
iter 420: loss 5.8961, time 6283.65ms, mfu 5.36%
iter 430: loss 5.3986, time 6281.04ms, mfu 5.36%
iter 440: loss 5.5609, time 6278.85ms, mfu 5.36%
iter 450: loss 5.7759, time 6276.87ms, mfu 5.36%
iter 460: loss 5.4830, time 6277.30ms, mfu 5.36%
iter 470: loss 5.7965, time 6277.76ms, mfu 5.36%
iter 480: loss 5.9439, time 6278.40ms, mfu 5.36%
iter 490: loss 5.9687, time 6282.02ms, mfu 5.36%
step 500: train loss 5.5889, val loss 5.5886
saving checkpoint to out
iter 500: loss 5.2493, time 26716.21ms, mfu 4.95%
iter 510: loss 5.5145, time 6280.69ms, mfu 4.99%
iter 520: loss 5.2108, time 6282.51ms, mfu 5.03%
iter 530: loss 5.6333, time 6282.22ms, mfu 5.06%
iter 540: loss 5.2996, time 6283.70ms, mfu 5.09%
iter 550: loss 5.5471, time 6286.05ms, mfu 5.12%
